date,open,high,low,close,volume
2020-07-27,20.33,20.68,19.89,20.62,254151
2020-07-28,20.53,20.65,19.99,20.05,190559
2020-07-29,19.99,20.68,19.99,20.68,106024
2020-07-30,20.08,20.22,19.74,20.14,198513
2020-07-31,20.08,20.14,19.2,19.41,156311
2020-08-03,19.49,20.15,19.33,19.93,155807
2020-08-04,19.92,20.15,19.79,19.86,300309
2020-08-05,20.09,20.51,19.9,20.48,511576
2020-08-06,20.22,20.43,20.08,20.26,106904
2020-08-07,20.08,20.77,19.78,20.76,174014
2020-08-10,20.83,21.93,20.83,21.58,361579
2020-08-11,22.57,22.91,21.96,22.0,309234
2020-08-12,22.45,22.54,21.11,21.71,154738
2020-08-13,21.25,21.72,21.23,21.67,105990
2020-08-14,21.4,22.13,21.22,21.88,98876
2020-08-17,21.79,21.81,21.24,21.37,156176
2020-08-18,21.36,21.51,20.95,21.02,94060
2020-08-19,20.98,21.49,20.98,21.18,287505
2020-08-20,20.76,21.15,20.76,21.0,106247
2020-08-21,20.94,21.29,20.89,20.97,111136
2020-08-24,21.01,22.15,21.01,22.15,246004
2020-08-25,22.55,22.55,21.68,21.84,114221
2020-08-26,21.7,21.94,21.35,21.44,69479
2020-08-27,21.5,22.57,21.5,22.47,162866
2020-08-28,22.58,22.72,22.33,22.61,64853
2020-08-31,22.47,22.47,21.78,21.79,111825
2020-09-01,21.52,22.09,21.41,21.81,123366
2020-09-02,21.69,21.93,21.51,21.77,133072
2020-09-03,22.26,22.68,21.58,22.04,606323
2020-09-04,22.52,23.22,22.26,22.94,317204
2020-09-08,22.55,22.88,22.2,22.37,206412
2020-09-09,22.53,22.67,22.06,22.46,138064
2020-09-10,22.61,23.3,22.21,22.31,266086
2020-09-11,22.28,22.67,22.17,22.61,75172
2020-09-14,23.02,23.94,22.86,23.65,151905
2020-09-15,23.75,23.75,23.22,23.24,73224
2020-09-16,23.38,24.48,22.94,24.2,254475
2020-09-17,23.63,24.3,23.62,24.24,103422
2020-09-18,24.2,24.31,23.74,23.9,95031
2020-09-21,22.87,22.95,22.51,22.74,250496
2020-09-22,22.66,23.03,22.04,22.47,123149
2020-09-23,22.71,23.05,21.91,22.01,162017
2020-09-24,21.75,22.31,21.23,21.73,157061
2020-09-25,21.62,22.15,21.61,22.04,105404
2020-09-28,22.74,23.02,22.55,22.57,98736
2020-09-29,22.65,22.76,22.19,22.42,73939
2020-09-30,22.83,23.34,22.79,22.97,208500
2020-10-01,23.15,23.42,22.91,23.35,173427
2020-10-02,22.7,24.2,22.7,24.08,175986
2020-10-05,24.51,24.97,24.42,24.9,174163
2020-10-06,25.26,25.46,23.84,24.13,286582
2020-10-07,24.51,25.17,24.51,24.8,351862
2020-10-08,25.05,25.58,24.92,25.56,144848
2020-10-09,25.65,25.86,25.15,25.29,217046
2020-10-12,25.41,25.52,25.22,25.29,217564
2020-10-13,25.09,25.34,24.84,25.06,229403
2020-10-14,25.13,25.47,25.03,25.15,136062
2020-10-15,24.78,25.55,24.66,25.54,119066
2020-10-16,25.72,26.19,25.64,25.76,153258
2020-10-19,25.88,26.3,25.47,25.5,371121
2020-10-20,24.57,24.92,24.07,24.22,779284
2020-10-21,24.2,24.22,23.51,23.58,350694
2020-10-22,23.81,24.61,23.81,24.53,230146
2020-10-23,24.72,24.92,23.83,24.33,346858
2020-10-26,23.93,23.93,23.14,23.58,307795
2020-10-27,23.59,23.67,23.02,23.02,282211
2020-10-28,22.26,22.65,21.83,22.04,281688
2020-10-29,22.03,22.45,21.73,22.33,186698
2020-10-30,22.28,22.41,21.65,22.13,193205
2020-11-02,22.44,23.16,22.44,22.97,191306
2020-11-03,23.51,23.83,23.38,23.58,208698
2020-11-04,22.93,24.16,22.29,23.47,256217
2020-11-05,23.74,24.47,23.74,24.31,152993
2020-11-06,24.42,24.56,23.58,23.71,199519
2020-11-09,26.51,27.42,26.32,26.39,432496
2020-11-10,26.43,26.85,26.17,26.23,236884
