date,open,high,low,close,volume
2020-07-27,46.52,47.09,46.31,46.44,61263
2020-07-28,46.31,46.57,45.86,46.01,40366
2020-07-29,46.05,46.72,45.73,46.43,46647
2020-07-30,45.66,46.1,45.05,46.1,68785
2020-07-31,45.66,45.84,44.92,45.4,98132
2020-08-03,45.14,45.14,43.77,44.83,87840
2020-08-04,44.91,46.58,44.86,46.53,80475
2020-08-05,47.1,47.38,46.46,47.35,90990
2020-08-06,47.1,48.87,47.1,48.53,87750
2020-08-07,48.05,50.49,48.05,49.7,222373
2020-08-10,50.38,52.02,50.3,51.73,185046
2020-08-11,50.81,53.75,50.28,52.31,373926
2020-08-12,52.58,52.6,51.17,51.39,102125
2020-08-13,50.97,51.65,50.3,50.38,63966
2020-08-14,50.2,51.56,49.79,51.2,99413
2020-08-17,51.46,51.69,50.82,51.38,105112
2020-08-18,51.49,52.09,50.81,51.24,87801
2020-08-19,50.85,50.98,49.79,49.92,57169
2020-08-20,49.61,50.21,49.18,49.89,51191
2020-08-21,49.7,49.78,49.22,49.41,40820
2020-08-24,49.39,51.16,49.22,51.16,153575
2020-08-25,51.36,51.38,49.29,50.08,281685
2020-08-26,49.55,50.06,48.37,49.44,89561
2020-08-27,49.83,52.37,49.83,51.67,95149
2020-08-28,51.93,53.31,51.65,53.24,96158
2020-08-31,53.1,53.1,51.7,51.8,33043
2020-09-01,50.88,51.89,50.84,51.69,54601
2020-09-02,51.78,52.57,51.29,52.34,120098
2020-09-03,52.93,53.46,51.53,51.94,107629
2020-09-04,52.7,53.03,51.22,51.74,48955
2020-09-08,51.09,52.08,50.98,51.22,74684
2020-09-09,51.54,53.26,50.76,52.82,110988
2020-09-10,53.15,54.26,52.81,53.12,89218
2020-09-11,53.43,53.85,53.31,53.62,43106
2020-09-14,53.93,55.74,53.76,55.59,57626
2020-09-15,55.72,56.46,55.29,56.26,242950
2020-09-16,56.38,59.16,56.38,58.72,145519
2020-09-17,58.14,59.4,57.96,58.82,225803
2020-09-18,59.13,59.79,57.98,58.07,276086
2020-09-21,55.95,56.85,54.57,55.08,230981
2020-09-22,55.49,55.71,54.43,55.06,146057
2020-09-23,55.34,55.68,51.85,52.07,129279
2020-09-24,51.62,53.62,50.79,52.94,72148
2020-09-25,52.16,53.49,52.08,53.35,63378
2020-09-28,54.4,54.53,53.14,53.14,65621
2020-09-29,52.98,53.27,52.3,52.63,61229
2020-09-30,53.24,54.22,53.1,53.57,66641
2020-10-01,53.88,54.6,53.3,54.27,149775
2020-10-02,52.94,54.92,52.84,54.77,53360
2020-10-05,55.18,55.31,54.05,55.03,73971
2020-10-06,55.63,56.92,55.32,56.11,210024
2020-10-07,56.74,57.56,56.6,57.36,102645
2020-10-08,57.74,58.79,57.62,58.77,175506
2020-10-09,58.87,59.51,58.63,58.9,135112
2020-10-12,58.81,58.92,58.17,58.45,79275
2020-10-13,57.77,57.8,56.35,56.43,119255
2020-10-14,57.08,58.66,57.08,57.95,100785
2020-10-15,57.14,58.33,57.14,57.68,102703
2020-10-16,57.78,58.09,56.98,56.98,100029
2020-10-19,57.13,57.47,55.66,55.7,100930
2020-10-20,56.23,56.89,55.77,55.98,80915
2020-10-21,56.09,56.13,55.08,55.31,49905
2020-10-22,55.39,56.5,54.95,56.5,64638
2020-10-23,56.75,56.9,55.25,56.13,103698
2020-10-26,55.25,55.25,52.27,52.64,214479
2020-10-27,52.45,52.9,50.53,50.55,200581
2020-10-28,49.22,49.8,47.41,47.46,216102
2020-10-29,47.26,48.67,46.66,47.94,337257
2020-10-30,47.62,48.0,46.72,47.92,233956
2020-11-02,48.35,49.77,47.93,49.41,219025
2020-11-03,51.87,52.94,50.86,52.2,339328
2020-11-04,52.55,54.04,52.49,52.66,206231
2020-11-05,52.77,53.43,52.05,52.74,119807
2020-11-06,52.8,53.4,52.26,52.7,91336
2020-11-09,58.26,66.35,58.26,61.57,448440
2020-11-10,63.35,63.67,61.61,62.65,113541
2020-11-11,62.14,62.14,58.81,59.31,143315
2020-11-12,58.74,59.91,58.3,58.92,146669
2020-11-13,60.02,62.17,60.0,61.98,180513
2020-11-16,64.71,65.01,62.66,64.94,220502
