date,open,high,low,close,volume
2020-07-27,30.64,31.0,30.57,30.8,111601
2020-07-28,30.7,31.34,30.7,30.94,55346
2020-07-29,31.04,31.43,30.74,31.24,75504
2020-07-30,32.55,33.2,31.62,31.88,206678
2020-07-31,31.89,32.59,31.49,31.94,79850
2020-08-03,31.6,31.78,31.26,31.33,46370
2020-08-04,31.29,31.7,31.29,31.29,52364
2020-08-05,31.54,31.72,30.94,31.08,61648
2020-08-06,30.88,31.27,30.85,31.12,37640
2020-08-07,30.92,31.77,30.9,31.72,52970
2020-08-10,32.09,32.29,31.9,32.26,65794
2020-08-11,32.94,33.32,32.45,32.51,51033
2020-08-12,33.0,33.26,32.49,32.74,39953
2020-08-13,32.52,32.69,32.01,32.19,40673
2020-08-14,31.97,32.4,31.93,32.08,22809
2020-08-17,31.96,32.38,31.76,32.13,60313
2020-08-18,32.14,32.34,31.85,32.14,35551
2020-08-19,32.19,32.58,32.1,32.22,18385
2020-08-20,31.91,32.1,31.63,31.63,11055
2020-08-21,31.34,31.39,30.84,31.33,60854
2020-08-24,31.38,32.37,31.27,32.37,24870
2020-08-25,32.61,32.61,32.04,32.04,29162
2020-08-26,32.06,32.06,31.73,31.9,17543
2020-08-27,32.18,32.4,31.91,31.99,16039
2020-08-28,32.14,32.34,31.88,32.26,21829
2020-08-31,32.09,32.26,31.99,32.08,45238
2020-09-01,31.6,31.66,31.23,31.5,53935
2020-09-02,31.54,32.37,31.54,32.3,37191
2020-09-03,32.48,32.89,32.04,32.35,42542
2020-09-04,32.72,32.79,32.02,32.63,71924
2020-09-08,32.62,32.62,31.99,32.14,20342
2020-09-09,32.35,32.67,31.92,31.93,155153
2020-09-10,31.9,31.9,30.18,30.31,109713
2020-09-11,30.32,30.32,29.45,29.87,47182
2020-09-14,30.13,30.23,29.72,29.8,45709
2020-09-15,29.54,29.74,28.88,29.18,173651
2020-09-16,29.5,29.97,29.38,29.4,53360
2020-09-17,29.09,29.85,29.01,29.83,60123
2020-09-18,29.76,29.91,29.07,29.21,70910
2020-09-21,28.88,28.88,28.17,28.6,173723
2020-09-22,28.55,28.83,28.55,28.68,70428
2020-09-23,28.85,29.0,28.17,28.17,118911
2020-09-24,27.98,28.31,27.35,28.11,176223
2020-09-25,27.91,28.22,27.42,27.78,96144
2020-09-28,28.45,28.64,28.0,28.55,56943
2020-09-29,29.57,29.95,28.55,28.58,86470
2020-09-30,28.76,28.77,28.25,28.62,64980
2020-10-01,28.47,28.6,27.78,27.91,179686
2020-10-02,27.62,29.15,27.6,28.99,134099
2020-10-05,29.23,29.77,28.8,29.75,129054
2020-10-06,30.02,30.62,29.7,29.75,96932
2020-10-07,30.31,31.1,30.24,30.38,141728
2020-10-08,30.38,31.42,30.29,31.32,89506
2020-10-09,31.45,31.54,30.66,30.77,85900
2020-10-12,30.66,30.79,29.96,30.35,146005
2020-10-13,30.29,30.36,30.02,30.12,82668
2020-10-14,29.99,30.29,29.94,30.14,144960
