date,open,high,low,close,volume
2020-07-27,327.1,334.57,326.59,329.72,7951
2020-07-28,331.17,336.99,330.87,331.82,28015
2020-07-29,332.25,338.83,331.01,336.82,9435
2020-07-30,334.12,340.97,331.89,336.99,31352
2020-07-31,336.99,336.99,328.98,335.12,23259
2020-08-03,331.49,340.44,328.31,338.96,33969
2020-08-04,344.28,350.77,338.81,349.1,40915
2020-08-05,353.1,368.72,350.88,366.98,30549
2020-08-06,364.89,369.26,364.21,367.37,21106
2020-08-07,371.51,372.8,365.67,370.08,26842
2020-08-10,374.05,380.4,371.52,375.92,49022
2020-08-11,383.18,393.38,381.12,381.24,87905
2020-08-12,383.82,388.54,383.28,387.73,49447
2020-08-13,384.23,386.03,383.5,385.13,22501
2020-08-14,383.18,388.46,382.8,387.77,23722
2020-08-17,388.32,388.32,380.79,380.84,36896
2020-08-18,378.93,380.49,375.29,375.78,72089
2020-08-19,377.28,380.56,375.07,375.71,69492
2020-08-20,371.66,377.78,371.66,376.47,13695
2020-08-21,376.1,376.84,371.63,371.63,32182
2020-08-24,375.6,381.59,375.36,379.79,97826
2020-08-25,382.13,382.82,376.01,378.09,32213
2020-08-26,378.34,379.12,374.85,377.43,9604
2020-08-27,382.89,390.41,382.89,387.81,30266
2020-08-28,390.23,394.97,389.15,394.16,19108
2020-08-31,394.38,394.38,384.75,389.28,14942
2020-09-01,385.75,392.75,385.65,391.77,12367
2020-09-02,390.3,394.33,386.97,393.38,13351
2020-09-03,394.21,394.89,380.72,384.03,26984
2020-09-04,391.01,394.17,379.81,391.59,22398
2020-09-08,386.87,398.82,385.8,390.66,37659
2020-09-09,391.4,392.69,381.22,389.67,23784
2020-09-10,392.36,396.25,387.35,389.28,18086
2020-09-11,390.75,395.02,390.05,393.45,9506
2020-09-14,397.56,398.65,391.11,394.88,22992
2020-09-15,397.35,397.48,392.64,394.95,11820
2020-09-16,393.0,408.91,393.0,403.54,35956
2020-09-17,405.37,411.45,400.69,403.32,34405
2020-09-18,403.77,405.45,393.24,393.42,31034
2020-09-21,383.47,383.47,369.42,379.34,43493
2020-09-22,386.83,390.52,382.56,390.52,18479
2020-09-23,388.73,392.25,372.83,372.97,27923
2020-09-24,367.11,378.72,365.81,372.77,19622
2020-09-25,371.36,386.22,370.89,384.93,13209
2020-09-28,393.9,397.72,387.57,387.57,16513
2020-09-29,387.8,389.46,380.05,380.46,15331
2020-09-30,381.79,383.85,366.87,369.37,43964
2020-10-01,373.96,381.12,369.52,374.38,46924
2020-10-02,367.65,380.15,365.95,377.99,21674
2020-10-05,381.27,384.35,378.42,378.89,23754
2020-10-06,386.29,390.76,373.84,374.02,23118
2020-10-07,384.36,385.29,379.36,380.16,19708
2020-10-08,382.61,382.91,376.02,381.66,31042
2020-10-09,383.04,383.86,376.56,377.16,18635
2020-10-12,378.55,380.05,375.5,377.73,39920
2020-10-13,375.02,375.02,365.13,368.02,52650
2020-10-14,372.32,379.33,371.98,376.2,39486
2020-10-15,370.98,384.75,370.98,381.81,28540
2020-10-16,387.23,387.23,379.6,382.81,122260
2020-10-19,384.21,389.86,375.67,376.83,33978
2020-10-20,380.8,387.7,380.55,384.13,33516
2020-10-21,383.27,383.27,373.87,375.54,45923
2020-10-22,379.65,385.05,378.54,383.8,28282
2020-10-23,384.18,391.73,383.43,390.05,43325
2020-10-26,386.28,386.28,374.06,375.57,61646
2020-10-27,375.61,375.61,360.62,360.92,88117
2020-10-28,354.35,361.99,353.51,355.83,67063
2020-10-29,356.94,371.73,356.17,371.43,42857
2020-10-30,370.36,374.76,364.21,371.12,45820
2020-11-02,374.29,385.36,374.29,384.29,30800
2020-11-03,391.62,398.35,391.62,395.34,33471
2020-11-04,397.59,403.64,392.22,397.96,27323
2020-11-05,402.73,405.27,399.99,404.12,18842
2020-11-06,402.96,407.14,400.91,405.68,31658
2020-11-09,447.24,475.67,442.01,442.01,108943
2020-11-10,446.68,450.27,439.04,446.68,89479
2020-11-11,447.2,447.2,430.51,436.43,55194
2020-11-12,421.88,442.44,415.19,432.62,54767
2020-11-13,436.16,442.19,432.33,440.79,41025
2020-11-16,454.24,457.97,445.41,445.7,88651
2020-11-17,440.29,454.38,440.16,449.57,36425
2020-11-18,457.61,466.59,453.96,457.7,55724
2020-11-19,454.37,460.57,448.77,459.39,14981
2020-11-20,462.08,462.74,444.7,446.33,30572
2020-11-23,451.29,466.21,451.29,461.65,17993
2020-11-24,470.53,481.63,470.53,478.61,44255
2020-11-25,468.05,474.37,466.85,469.42,31234
2020-11-27,470.84,470.84,459.57,460.52,9248
2020-11-30,460.24,460.39,447.8,449.87,19088
2020-12-01,457.83,465.85,453.84,461.79,27214
2020-12-02,458.33,466.32,457.64,462.3,30887
2020-12-03,463.12,476.97,463.09,464.43,33441
2020-12-04,473.43,476.91,469.17,470.75,17853
2020-12-07,469.32,470.76,462.4,467.0,15996
2020-12-08,472.86,473.91,463.19,467.98,19285
2020-12-09,469.27,469.27,457.53,463.15,16117
2020-12-10,459.47,471.11,459.47,467.84,27478
2020-12-11,465.25,472.6,462.73,468.14,17055
2020-12-14,471.12,471.73,463.05,463.35,39550
2020-12-15,467.08,480.69,463.38,477.25,38611
2020-12-16,478.27,478.37,468.15,470.08,16409
2020-12-17,470.08,470.96,463.27,465.12,17455
2020-12-18,464.15,474.99,463.91,473.37,17235
2020-12-21,459.58,468.53,457.0,466.55,24490
2020-12-22,465.36,469.36,463.94,463.94,7251
2020-12-23,468.96,478.86,468.96,475.61,11797
2020-12-24,470.5,472.76,468.51,472.76,2709
2020-12-28,473.71,476.19,471.47,475.13,5657
2020-12-29,477.22,477.22,468.05,473.08,8751
2020-12-30,480.37,480.37,474.59,479.32,11973
2020-12-31,477.04,484.12,477.04,481.13,7401
2021-01-04,475.52,476.47,452.35,456.9,26657
2021-01-05,464.55,467.87,459.21,465.64,11042
2021-01-06,467.66,477.06,463.74,465.77,13527
2021-01-07,468.44,480.42,468.44,470.49,17468
2021-01-08,472.02,477.5,470.55,476.41,17225
2021-01-11,474.1,477.87,473.49,476.27,8052
2021-01-12,477.47,481.66,476.78,480.91,11663
2021-01-13,478.65,479.9,470.31,475.05,15905
2021-01-14,471.66,479.64,470.43,471.32,22093
2021-01-15,463.21,465.01,454.56,455.09,23023
2021-01-19,462.33,462.33,445.72,445.72,30014
2021-01-20,446.61,455.05,446.37,449.06,29613
2021-01-21,449.03,449.03,440.88,447.0,15369
2021-01-22,444.72,449.83,443.47,448.9,13353
2021-01-25,443.78,444.54,432.73,435.72,26224
2021-01-26,440.53,442.18,423.01,423.01,20059
2021-01-27,416.46,423.52,402.34,402.34,54956
2021-01-28,410.55,435.49,409.72,433.92,36999
