date,open,high,low,close,volume
2020-07-27,82.66,86.86,82.66,86.19,149512
2020-07-28,85.35,85.94,84.36,85.0,81057
2020-07-29,85.96,87.74,85.7,86.54,91064
2020-07-30,85.65,86.72,84.33,86.55,98899
2020-07-31,86.16,86.97,84.26,86.94,67045
2020-08-03,87.77,89.22,87.7,88.16,55252
2020-08-04,88.23,88.23,86.71,87.44,37452
2020-08-05,88.08,88.8,87.46,88.59,54427
2020-08-06,88.86,90.01,87.53,88.67,37030
2020-08-07,88.09,88.89,83.77,85.53,55414
2020-08-10,85.96,86.27,84.11,85.07,45996
2020-08-11,84.91,85.93,84.1,84.29,59965
2020-08-12,85.08,87.82,84.71,87.57,39886
2020-08-13,87.77,88.75,87.06,87.92,38391
2020-08-14,87.93,91.19,87.7,88.11,26558
2020-08-17,88.99,90.36,88.64,89.85,39573
2020-08-18,90.09,90.28,87.99,89.21,73378
2020-08-19,89.4,90.05,88.08,88.19,14389
2020-08-20,86.33,87.18,86.14,86.74,28816
2020-08-21,86.44,86.52,85.56,85.99,33760
2020-08-24,86.86,87.76,86.26,86.9,27687
2020-08-25,87.21,88.27,87.21,88.27,22212
2020-08-26,88.0,88.16,87.02,87.84,15508
2020-08-27,87.48,87.48,82.86,82.9,48560
2020-08-28,83.65,83.81,82.44,83.79,71205
2020-08-31,84.19,84.26,82.45,83.08,60352
2020-09-01,84.29,85.08,83.03,83.33,63052
2020-09-02,84.44,86.6,83.84,86.48,70114
2020-09-03,84.93,84.93,79.85,80.2,101703
2020-09-04,77.94,79.66,73.85,76.83,222878
2020-09-08,74.27,76.41,73.6,73.93,113313
2020-09-09,75.42,76.45,74.85,75.25,79683
2020-09-10,76.28,76.51,73.41,73.86,68419
2020-09-11,74.23,74.79,72.47,73.26,57266
2020-09-14,74.59,75.38,73.8,75.2,51388
2020-09-15,75.8,76.05,74.67,75.54,35132
2020-09-16,76.04,76.72,74.47,74.66,53251
2020-09-17,72.96,76.01,72.96,75.92,47609
2020-09-18,76.31,76.64,73.86,74.85,57990
2020-09-21,73.58,75.22,72.95,75.16,34711
2020-09-22,75.85,75.85,73.59,74.89,61936
2020-09-23,75.19,76.35,73.54,73.76,72248
2020-09-24,73.31,75.92,73.31,74.58,87676
2020-09-25,74.56,76.4,73.86,76.05,82721
2020-09-28,76.93,77.75,75.9,77.48,81087
2020-09-29,77.96,78.9,77.86,78.17,45772
2020-09-30,77.69,78.65,77.12,77.83,64041
2020-10-01,78.89,79.86,78.65,79.57,79244
2020-10-02,77.14,78.1,76.78,76.91,51066
2020-10-05,77.76,79.5,77.76,79.48,60896
2020-10-06,79.36,81.34,78.84,79.43,101126
2020-10-07,80.48,81.46,80.08,80.56,65126
2020-10-08,80.85,81.57,80.38,80.69,66086
2020-10-09,83.5,84.91,82.88,84.2,106206
2020-10-12,85.08,85.19,84.01,84.75,115114
2020-10-13,84.96,86.72,84.26,85.74,56685
2020-10-14,85.7,86.85,84.95,85.14,43549
2020-10-15,82.7,85.71,82.48,85.38,65780
2020-10-16,86.08,86.08,84.56,84.74,80925
2020-10-19,85.83,86.82,84.19,84.91,96529
2020-10-20,85.78,86.95,85.65,86.04,185250
2020-10-21,86.42,91.06,86.19,90.05,256323
2020-10-22,90.29,90.36,87.71,89.03,108119
2020-10-23,89.24,90.39,89.17,89.95,72657
2020-10-26,88.61,89.63,86.42,87.67,78536
2020-10-27,87.72,87.84,85.04,85.63,82005
2020-10-28,83.89,84.95,83.29,83.75,73972
2020-10-29,83.32,87.39,83.25,86.96,86062
2020-10-30,85.69,86.19,84.24,85.96,93147
2020-11-02,86.78,88.52,86.38,87.69,152507
2020-11-03,88.29,89.67,87.41,87.84,71769
2020-11-04,89.64,94.23,89.0,93.78,145465
2020-11-05,95.42,98.16,95.04,97.28,110937
2020-11-06,96.64,98.5,96.04,98.11,53386
2020-11-09,102.64,103.31,99.1,99.25,122896
2020-11-10,99.53,99.62,95.37,96.02,122754
2020-11-11,98.01,99.47,97.45,98.97,76338
2020-11-12,99.88,99.88,97.65,98.35,73813
2020-11-13,100.18,100.75,98.83,100.04,69599
2020-11-16,100.96,104.86,100.48,104.86,108030
2020-11-17,104.23,104.39,102.62,103.69,57266
2020-11-18,103.67,103.94,102.51,102.59,71289
2020-11-19,102.47,104.27,102.29,104.27,81212
2020-11-20,104.31,105.56,103.82,103.93,55034
2020-11-23,105.59,106.27,104.28,105.99,47355
2020-11-24,107.05,107.19,105.0,106.73,64505
2020-11-25,107.36,107.73,105.95,106.01,61586
2020-11-27,107.32,108.42,106.85,107.17,43355
2020-11-30,107.49,108.2,105.81,108.15,82867
2020-12-01,109.16,113.52,108.98,112.66,143952
2020-12-02,112.13,112.55,110.63,111.62,73185
2020-12-03,112.62,114.77,111.25,111.25,72883
2020-12-04,112.15,113.82,111.69,113.64,53607
2020-12-07,113.89,114.82,112.51,114.74,47256
2020-12-08,114.54,116.42,114.12,116.19,56941
2020-12-09,115.58,115.68,110.82,111.67,53312
2020-12-10,110.8,113.55,110.2,113.16,41901
2020-12-11,111.99,113.47,110.63,112.86,38784
2020-12-14,114.19,115.64,113.45,114.74,48313
2020-12-15,115.3,118.24,115.22,117.95,75313
2020-12-16,117.19,118.23,116.26,117.31,66280
2020-12-17,118.17,119.72,116.53,116.85,53962
2020-12-18,116.82,118.56,116.63,118.42,48367
2020-12-21,115.53,117.64,115.53,117.31,46684
2020-12-22,117.26,117.61,115.69,116.12,47206
2020-12-23,116.81,116.81,114.78,114.78,44028
2020-12-24,115.25,116.35,114.93,116.35,17297
2020-12-28,117.62,117.62,115.08,115.28,28803
2020-12-29,116.16,116.59,114.02,114.69,49371
2020-12-30,115.87,118.13,115.87,117.83,39441
2020-12-31,117.7,117.7,115.99,117.51,61722
2021-01-04,119.23,120.51,115.67,116.72,50539
2021-01-05,116.47,118.97,116.43,118.92,35586
2021-01-06,118.63,122.13,118.44,119.84,68298
2021-01-07,122.04,128.02,122.04,127.22,87292
2021-01-08,128.94,130.57,128.0,129.46,49006
2021-01-11,128.91,133.54,128.28,132.9,60920
2021-01-12,133.46,136.57,133.37,134.41,43454
2021-01-13,134.17,134.46,132.62,133.27,100543
2021-01-14,134.38,136.65,133.84,135.51,82411
2021-01-15,134.98,135.7,132.17,134.49,60869
2021-01-19,136.5,138.51,136.28,137.68,86468
2021-01-20,139.91,139.91,135.04,135.82,91955
2021-01-21,137.33,138.47,136.11,137.2,70421
2021-01-22,136.65,137.37,134.5,135.17,49734
2021-01-25,137.17,138.84,134.91,137.28,70299
2021-01-26,137.79,137.98,135.2,135.2,65847
2021-01-27,132.05,132.59,126.81,127.33,96868
2021-01-28,119.95,120.43,117.23,117.24,273500
2021-01-29,116.55,116.75,110.76,111.02,286973
2021-02-01,114.14,115.41,111.69,115.06,178658
2021-02-02,118.91,119.24,116.17,119.12,107294
2021-02-03,120.65,121.41,117.56,118.19,102119
2021-02-04,119.78,122.97,118.51,122.97,112256
2021-02-05,124.97,125.34,122.29,123.49,76697
2021-02-08,125.33,126.9,124.03,126.35,61754
2021-02-09,126.12,126.83,124.18,125.67,59507
2021-02-10,126.96,128.72,124.7,126.04,103881
2021-02-11,126.84,132.56,126.84,132.4,98439
2021-02-12,132.46,140.74,132.42,139.56,105055
2021-02-16,141.77,144.82,139.86,140.66,129359
2021-02-17,137.56,138.65,131.9,136.48,120198
2021-02-18,133.25,134.95,131.79,133.66,74338
2021-02-19,137.04,140.33,136.82,139.63,74467
2021-02-22,136.58,137.05,129.25,129.8,100544
2021-02-23,124.07,129.11,122.07,127.25,190631
2021-02-24,126.21,131.61,123.68,131.61,109943
2021-02-25,129.67,130.28,122.79,123.14,82778
2021-02-26,124.21,127.18,121.87,126.15,103617
2021-03-01,128.83,131.6,127.9,131.37,92356
2021-03-02,131.2,131.2,124.23,124.27,71264
2021-03-03,124.76,125.85,119.02,119.02,99270
2021-03-04,118.57,118.95,109.08,111.72,157771
2021-03-05,114.52,114.52,104.36,111.62,190244
2021-03-08,110.07,111.38,102.03,102.03,233268
2021-03-09,107.01,112.43,106.86,111.23,167311
2021-03-10,114.11,114.11,106.06,106.64,140518
2021-03-11,109.17,112.42,109.14,111.6,141368
2021-03-12,108.93,111.22,107.96,110.53,84463
2021-03-15,111.27,115.99,111.17,115.42,110575
2021-03-16,117.15,117.54,113.81,114.92,186518
