date,open,high,low,close,volume
2020-07-27,28.13,28.15,27.63,27.85,66410
2020-07-28,27.74,28.23,27.74,28.0,129859
2020-07-29,27.96,29.15,27.72,29.13,287529
2020-07-30,28.28,28.35,27.49,28.26,99013
2020-07-31,28.11,28.47,27.79,28.45,146348
2020-08-03,28.41,28.87,28.02,28.67,194462
2020-08-04,28.63,28.78,27.93,28.2,209689
2020-08-05,28.64,28.79,28.43,28.6,144265
2020-08-06,28.28,28.72,28.21,28.5,124815
2020-08-07,28.37,29.68,28.1,29.65,119895
2020-08-10,29.87,30.43,29.74,29.92,63260
2020-08-11,30.92,31.92,30.72,30.9,164678
2020-08-12,31.58,31.73,30.47,30.98,439347
2020-08-13,30.46,30.55,29.6,29.8,116222
2020-08-14,29.57,30.62,29.44,30.32,61925
2020-08-17,29.98,29.98,29.59,29.76,74793
2020-08-18,29.81,29.86,29.01,29.09,61055
2020-08-19,29.11,29.74,29.06,29.14,64500
2020-08-20,28.81,28.84,28.35,28.6,38306
2020-08-21,28.46,28.8,28.23,28.33,32233
2020-08-24,28.38,29.67,28.34,29.65,61294
2020-08-25,30.23,30.34,29.43,29.8,101651
2020-08-26,29.53,29.59,29.08,29.09,41027
2020-08-27,29.09,30.28,29.09,30.1,96190
2020-08-28,30.36,30.42,29.96,30.4,61563
2020-08-31,30.14,30.17,29.74,29.85,28825
2020-09-01,29.43,30.37,29.34,30.07,82264
2020-09-02,29.8,30.49,29.72,30.26,108360
2020-09-03,30.89,31.48,29.53,29.64,166575
2020-09-04,30.55,30.78,29.69,30.07,190748
2020-09-08,29.67,29.74,28.53,29.1,234375
2020-09-09,29.31,29.31,28.78,29.02,135176
2020-09-10,29.25,29.52,28.57,28.59,63676
2020-09-11,28.6,29.36,28.46,29.31,433201
2020-09-14,29.47,30.6,29.47,30.51,110965
2020-09-15,30.39,30.46,29.92,30.29,95670
2020-09-16,30.18,31.21,29.99,30.92,214322
2020-09-17,30.23,30.72,29.95,30.14,202185
2020-09-18,30.0,30.42,29.84,30.1,110191
2020-09-21,29.21,29.34,28.25,28.68,79003
2020-09-22,28.55,28.93,27.58,27.84,106677
2020-09-23,27.97,28.51,27.21,27.21,141428
2020-09-24,27.41,27.89,26.94,27.22,138574
2020-09-25,26.96,27.8,26.81,27.79,68875
2020-09-28,28.35,29.01,28.26,28.75,80078
2020-09-29,28.61,28.61,27.84,28.41,85895
2020-09-30,28.48,29.35,28.41,29.28,208658
2020-10-01,29.31,29.75,29.08,29.75,528997
2020-10-02,29.19,30.89,29.19,30.71,427335
2020-10-05,31.09,31.78,31.03,31.66,353690
2020-10-06,31.95,32.75,31.22,31.38,261852
2020-10-07,31.86,32.77,31.86,32.32,547580
2020-10-08,32.54,33.14,32.28,33.06,708421
2020-10-09,33.29,33.36,32.65,33.18,506794
2020-10-12,33.01,33.49,32.88,33.37,285825
2020-10-13,33.12,33.23,32.53,32.7,667760
2020-10-14,32.85,33.1,32.32,32.39,600904
2020-10-15,32.99,32.99,31.49,32.33,547893
2020-10-16,32.28,32.4,31.46,31.97,337702
2020-10-19,32.08,32.5,31.77,31.92,194541
2020-10-20,32.37,33.16,32.25,32.33,235690
2020-10-21,32.14,32.35,31.91,32.18,270744
2020-10-22,32.2,33.41,32.08,33.37,253701
2020-10-23,33.7,34.08,33.14,33.73,212970
2020-10-26,33.15,33.25,32.65,33.01,278460
2020-10-27,32.84,32.95,32.04,32.04,272625
2020-10-28,31.36,32.06,31.29,31.54,317023
2020-10-29,31.17,32.33,30.77,32.13,222147
2020-10-30,32.27,32.37,31.65,32.34,398548
2020-11-02,32.73,33.58,32.32,33.38,446017
2020-11-03,34.25,34.67,33.93,34.4,231355
2020-11-04,33.24,33.69,32.24,32.78,332190
2020-11-05,32.94,34.7,32.85,34.51,274941
2020-11-06,34.66,34.7,32.88,32.98,285430
2020-11-09,36.7,38.05,36.7,37.21,441905
2020-11-10,36.48,37.87,36.48,37.64,404814
2020-11-11,37.8,37.8,36.8,37.49,413735
2020-11-12,36.65,36.75,35.36,35.94,165431
2020-11-13,36.23,36.92,36.16,36.58,252407
2020-11-16,37.94,38.07,37.25,37.6,291839
2020-11-17,36.86,37.43,36.48,37.28,186257
2020-11-18,37.41,37.85,36.78,36.78,289829
2020-11-19,36.25,36.44,35.79,36.27,335991
2020-11-20,36.16,36.32,35.7,35.8,231542
2020-11-23,36.39,36.59,36.02,36.4,249416
2020-11-24,37.23,38.08,37.23,37.95,190175
2020-11-25,37.47,37.78,36.95,37.6,120651
2020-11-27,37.68,37.96,37.35,37.52,86085
2020-11-30,37.36,37.56,35.93,35.99,168149
2020-12-01,36.93,37.39,36.66,36.82,225576
2020-12-02,36.42,36.97,36.3,36.84,170027
2020-12-03,36.82,37.02,36.4,36.75,133159
2020-12-04,37.0,37.43,36.78,37.35,436259
2020-12-07,36.89,37.3,36.56,37.07,116776
2020-12-08,36.69,37.24,36.61,36.95,204353
2020-12-09,37.28,37.44,36.88,37.09,187853
2020-12-10,36.78,37.29,36.53,37.16,213204
2020-12-11,36.51,36.63,36.2,36.42,175708
2020-12-14,36.87,36.92,35.49,35.61,170049
2020-12-15,35.79,36.37,35.45,36.2,217916
2020-12-16,36.24,36.63,35.96,36.59,190132
2020-12-17,36.55,36.64,35.9,36.48,176779
2020-12-18,36.38,36.5,35.31,35.58,231758
2020-12-21,35.6,36.13,35.24,35.89,192171
2020-12-22,36.1,36.23,35.63,35.65,126289
2020-12-23,35.92,36.85,35.92,36.68,111412
2020-12-24,36.78,36.78,36.19,36.44,58266
2020-12-28,36.67,37.07,36.49,36.83,71561
2020-12-29,36.75,36.78,36.11,36.19,79367
2020-12-30,36.29,36.82,36.29,36.68,71184
2020-12-31,36.6,37.19,36.41,37.16,80749
2021-01-04,37.17,37.44,36.2,36.54,748019
2021-01-05,36.67,37.16,36.21,36.82,648513
2021-01-06,38.09,39.58,38.08,38.73,737621
2021-01-07,38.92,40.04,38.92,39.9,363291
2021-01-08,39.81,39.86,38.65,39.26,139970
2021-01-11,38.81,39.5,38.54,39.47,194774
2021-01-12,39.86,40.67,39.75,40.51,214150
2021-01-13,40.05,40.5,39.64,40.4,173905
2021-01-14,40.59,41.44,40.58,41.18,158779
2021-01-15,40.38,40.71,39.83,40.27,156451
2021-01-19,40.58,40.58,40.02,40.4,428345
2021-01-20,40.25,40.25,39.71,40.01,228513
2021-01-21,40.07,40.59,39.33,39.57,203471
2021-01-22,38.95,39.74,38.95,39.69,120939
2021-01-25,39.05,39.72,38.78,39.56,116301
2021-01-26,39.91,39.99,38.92,38.92,71736
2021-01-27,38.01,38.32,37.4,37.41,276156
2021-01-28,37.95,38.61,37.69,38.08,190755
2021-01-29,38.04,38.44,36.96,37.2,334573
2021-02-01,37.44,37.54,36.99,37.48,268988
2021-02-02,38.04,39.21,37.97,38.91,218347
2021-02-03,38.8,40.02,38.69,39.92,269016
2021-02-04,40.28,41.52,40.18,41.36,230099
2021-02-05,41.73,41.81,40.77,40.83,111619
2021-02-08,41.02,41.09,40.68,41.04,170056
2021-02-09,40.92,41.45,40.66,41.33,113566
2021-02-10,41.57,42.18,41.4,41.62,158768
2021-02-11,41.63,41.96,40.82,41.23,76284
2021-02-12,41.08,42.27,41.07,42.21,191539
2021-02-16,42.71,43.77,42.47,43.48,341821
2021-02-17,43.35,43.75,43.07,43.5,225260
2021-02-18,43.15,43.71,43.01,43.64,125687
2021-02-19,44.09,45.13,44.01,44.99,319206
2021-02-22,44.97,46.31,44.97,46.18,261834
2021-02-23,46.64,46.78,45.41,45.9,270301
