date,open,high,low,close,volume
2020-07-27,120.59,124.8,120.26,123.81,232018
2020-07-28,124.42,124.59,123.53,123.78,71251
2020-07-29,124.12,124.14,123.56,123.74,36707
2020-07-30,123.57,124.0,123.34,123.52,17959
2020-07-31,123.48,124.22,123.48,124.22,16420
2020-08-03,123.75,124.54,123.51,124.21,33021
2020-08-04,124.52,124.56,123.91,124.41,66675
2020-08-05,124.39,124.39,123.83,124.0,18005
2020-08-06,124.05,124.1,123.7,123.75,28581
2020-08-07,123.85,123.87,123.44,123.63,70361
2020-08-10,123.87,124.53,123.87,123.99,18899
2020-08-11,124.14,124.5,123.47,123.67,22024
2020-08-12,123.88,124.03,123.43,123.83,17691
2020-08-13,123.58,123.82,123.52,123.67,25360
2020-08-14,123.6,123.87,123.51,123.83,22931
2020-08-17,123.91,124.14,123.64,124.12,35568
2020-08-18,124.18,125.12,124.15,124.99,26017
2020-08-19,125.1,126.2,125.1,126.05,69811
2020-08-20,125.85,126.11,125.41,125.65,39922
2020-08-21,124.93,125.31,124.75,124.83,35281
2020-08-24,124.92,126.87,124.64,125.76,63029
2020-08-25,120.85,122.56,120.6,120.9,93998
2020-08-26,120.98,121.09,119.86,120.3,85053
2020-08-27,122.0,123.15,121.94,122.08,116226
2020-08-28,122.91,123.17,122.61,122.71,37787
2020-08-31,122.37,122.37,120.92,121.4,30036
2020-09-01,120.9,122.34,120.85,122.34,31596
2020-09-02,122.45,122.54,120.38,121.32,25045
2020-09-03,121.31,121.55,120.4,120.97,21629
2020-09-04,121.2,121.29,120.14,120.66,20118
2020-09-08,120.4,121.24,120.4,120.67,25849
2020-09-09,108.96,113.85,107.17,112.98,487027
2020-09-10,113.4,114.43,112.38,113.25,170843
2020-09-11,113.22,113.52,112.39,112.79,105281
2020-09-14,112.63,112.96,111.78,112.26,62047
2020-09-15,112.14,113.05,111.86,113.04,39297
2020-09-16,113.33,114.91,112.99,114.91,60316
2020-09-17,114.3,115.04,113.75,114.05,61866
2020-09-18,114.42,116.39,114.15,115.68,59885
2020-09-21,115.06,115.1,114.19,114.65,73691
2020-09-22,114.37,116.13,114.35,115.74,94844
2020-09-23,115.29,116.18,115.29,116.02,64204
2020-09-24,114.89,116.38,114.89,115.65,180105
2020-09-25,115.47,115.6,115.06,115.17,52967
2020-09-28,115.42,116.32,115.42,116.19,10008
2020-09-29,116.03,116.18,115.08,115.93,31864
2020-09-30,115.8,116.05,115.26,115.26,45387
2020-10-01,115.49,115.78,115.24,115.6,57749
2020-10-02,115.18,115.73,115.18,115.61,40859
2020-10-05,115.63,116.59,115.63,116.53,51718
2020-10-06,116.69,116.9,116.05,116.44,69619
2020-10-07,116.64,117.08,116.39,116.98,30276
2020-10-08,117.19,117.47,116.98,117.46,17271
2020-10-09,117.63,117.91,117.15,117.86,28120
2020-10-12,117.89,118.22,117.5,118.07,32970
2020-10-13,117.98,118.52,117.67,118.44,43876
2020-10-14,119.13,119.13,118.27,118.53,54434
2020-10-15,118.68,121.42,118.68,121.12,169879
2020-10-16,121.23,122.97,121.23,122.13,101135
2020-10-19,121.73,122.28,121.57,121.67,64375
2020-10-20,121.94,122.4,121.63,121.8,39340
2020-10-21,122.14,122.68,121.98,122.22,52108
2020-10-22,122.56,122.98,121.99,122.08,75723
2020-10-23,122.15,123.17,121.56,122.98,56498
2020-10-26,122.37,122.92,122.18,122.41,50659
2020-10-27,122.51,128.8,122.36,128.28,638416
2020-10-28,127.84,130.15,127.25,129.36,517296
2020-10-29,130.18,130.31,130.08,130.23,525818
2020-10-30,130.25,130.32,130.16,130.27,272039
2020-11-02,130.28,130.38,130.24,130.38,181419
2020-11-03,130.3,130.49,130.3,130.35,70042
2020-11-04,130.38,130.57,130.37,130.42,94806
2020-11-05,130.48,130.66,130.47,130.6,57328
2020-11-06,130.59,130.63,130.57,130.58,31336
2020-11-09,130.65,130.71,130.54,130.62,53894
2020-11-10,130.6,130.78,130.57,130.62,80774
