date,open,high,low,close,volume
2020-07-27,99.88,101.61,99.84,100.99,91148
2020-07-28,100.41,100.88,99.66,99.91,102231
2020-07-29,100.37,101.64,100.17,101.06,90261
2020-07-30,100.38,101.24,100.09,100.77,92735
2020-07-31,101.12,102.69,100.48,102.69,110199
2020-08-03,102.98,103.95,102.22,102.24,106342
2020-08-04,101.95,103.67,101.84,103.6,72304
2020-08-05,103.93,104.09,102.6,103.27,97808
2020-08-06,102.79,103.5,102.62,103.25,176896
2020-08-07,108.29,112.79,108.29,110.04,604129
2020-08-10,109.86,111.55,108.64,111.06,157439
2020-08-11,111.1,111.1,108.36,108.64,142121
2020-08-12,109.76,111.12,109.7,110.18,78841
2020-08-13,110.55,112.02,109.95,110.24,107397
2020-08-14,110.57,110.94,109.4,110.25,57916
2020-08-17,111.01,112.14,110.79,111.86,172401
2020-08-18,112.44,112.56,110.89,110.9,70977
2020-08-19,111.34,111.55,109.99,110.1,45928
2020-08-20,109.59,110.71,109.59,110.33,67353
2020-08-21,108.77,110.17,108.54,110.09,51680
2020-08-24,110.04,110.98,109.75,110.15,119349
2020-08-25,110.31,110.4,109.63,110.34,59290
2020-08-26,110.21,111.13,109.84,111.1,98444
2020-08-27,111.47,111.47,110.15,110.26,69057
2020-08-28,110.23,111.21,110.15,111.17,34239
2020-08-31,110.64,111.86,110.51,111.65,70963
2020-09-01,111.54,112.12,110.95,111.77,74386
2020-09-02,112.41,113.98,112.06,113.67,91517
2020-09-03,113.55,113.89,108.96,109.87,68649
2020-09-04,110.9,110.9,107.34,109.36,112312
2020-09-08,107.87,108.27,106.26,106.72,154938
2020-09-09,106.85,109.55,106.82,108.28,64409
2020-09-10,108.18,109.89,106.47,106.84,45992
2020-09-11,107.68,108.43,105.64,106.74,44885
2020-09-14,107.86,108.49,106.88,107.37,79939
2020-09-15,107.91,111.04,107.58,110.93,303580
2020-09-16,111.11,112.29,108.53,108.77,310589
2020-09-17,105.89,107.81,105.35,106.95,175872
2020-09-18,107.19,107.41,103.25,105.9,95437
2020-09-21,105.12,105.79,104.15,105.79,195312
2020-09-22,106.49,107.67,105.92,107.54,95882
2020-09-23,107.78,107.8,103.92,104.16,155658
2020-09-24,103.5,107.23,103.5,105.73,182539
2020-09-25,105.26,107.61,105.02,107.18,146693
2020-09-28,108.11,109.47,107.58,109.28,230297
2020-09-29,109.7,109.7,108.5,108.57,119074
2020-09-30,108.32,110.04,107.22,109.36,229771
2020-10-01,109.96,111.28,108.92,110.66,311934
2020-10-02,109.62,110.63,108.09,108.51,285775
2020-10-05,108.77,109.96,108.5,109.78,131255
2020-10-06,109.0,109.46,107.03,107.62,148234
2020-10-07,107.84,109.51,107.84,109.29,130362
2020-10-08,109.77,110.52,109.34,110.52,91838
2020-10-09,110.99,112.38,110.52,112.13,213343
2020-10-12,113.01,116.0,112.36,114.77,345540
2020-10-13,115.45,118.03,114.85,116.28,445614
2020-10-14,116.72,116.72,111.39,111.64,501229
2020-10-15,110.76,110.93,109.1,110.24,232455
2020-10-16,110.65,111.65,109.85,109.92,215789
2020-10-19,110.37,110.39,107.23,107.9,196104
2020-10-20,108.46,109.21,107.77,108.23,134063
2020-10-21,107.66,108.79,107.34,107.55,273503
2020-10-22,107.68,108.76,106.05,106.8,274695
2020-10-23,107.26,107.65,106.11,107.45,109049
2020-10-26,106.26,107.12,105.26,106.92,131302
2020-10-27,106.45,108.58,106.45,107.94,116585
2020-10-28,106.29,107.0,104.87,104.95,160208
2020-10-29,104.5,106.09,104.24,104.8,156712
2020-10-30,103.57,104.95,102.88,104.81,230172
2020-11-02,106.1,106.1,104.01,105.53,174962
2020-11-03,106.37,107.46,105.88,106.34,137592
2020-11-04,108.73,111.7,107.88,110.95,286244
2020-11-05,112.74,114.09,111.2,112.14,451158
2020-11-06,121.22,121.44,117.36,118.02,609278
2020-11-09,119.9,121.39,117.26,117.28,302399
2020-11-10,113.98,117.72,113.52,116.3,251078
2020-11-11,117.27,120.5,116.78,119.7,230802
2020-11-12,119.84,122.17,119.35,121.26,201797
2020-11-13,121.89,122.89,120.84,122.66,250125
2020-11-16,123.6,124.09,122.0,122.99,142432
2020-11-17,124.82,126.21,123.13,123.39,256743
2020-11-18,123.76,124.81,122.29,122.29,175087
2020-11-19,121.79,124.53,121.74,123.59,178974
2020-11-20,123.73,124.62,122.79,123.91,198307
2020-11-23,124.15,124.46,121.37,122.34,368836
2020-11-24,122.14,123.37,120.27,122.42,267350
2020-11-25,122.89,123.92,122.2,123.05,170858
2020-11-27,123.48,126.66,123.24,126.17,127102
2020-11-30,126.09,127.16,124.46,127.16,179059
2020-12-01,127.04,128.04,126.5,127.93,137353
2020-12-02,127.8,128.32,126.62,127.37,146815
2020-12-03,126.19,127.16,125.37,125.4,436892
2020-12-04,126.09,126.16,125.06,126.0,144451
2020-12-07,126.15,127.24,126.15,127.13,116062
2020-12-08,126.9,127.52,126.09,127.27,143119
2020-12-09,128.03,128.03,124.87,125.48,178936
2020-12-10,125.01,126.06,124.42,124.82,94797
2020-12-11,124.76,125.83,124.06,125.47,131758
2020-12-14,125.48,127.15,123.62,123.67,188758
