date,open,high,low,close,volume
2020-07-27,56.59,56.75,56.45,56.45,5103
2020-07-28,56.46,56.63,55.31,55.31,7794
2020-07-29,56.56,57.31,56.56,57.26,5580
2020-07-30,55.84,57.73,55.43,57.06,13239
2020-07-31,54.63,54.63,52.26,52.46,12789
2020-08-03,52.8,55.64,52.8,54.78,5931
2020-08-04,54.61,56.71,54.61,56.71,7308
2020-08-05,60.2,60.2,60.2,60.2,2835
2020-08-06,57.86,58.17,57.86,58.17,4077
2020-08-07,58.68,58.68,58.68,58.68,3366
2020-08-10,60.45,60.45,60.19,60.19,6300
2020-08-12,59.91,59.91,59.78,59.78,2574
2020-08-13,59.65,59.65,59.29,59.29,4167
2020-08-18,59.71,59.71,59.71,59.71,2799
2020-08-24,54.73,54.73,54.73,54.73,1629
2020-08-25,55.3,55.39,55.3,55.39,3717
2020-08-26,54.46,54.47,54.46,54.47,3636
2020-08-27,54.44,54.62,53.92,54.13,12681
2020-08-28,53.87,53.91,53.12,53.37,15669
2020-08-31,53.08,53.4,52.97,53.09,12726
2020-09-01,54.23,54.47,53.7,54.15,9405
2020-09-02,54.57,54.57,54.03,54.29,3789
2020-09-03,54.65,54.65,53.0,53.0,5607
2020-09-04,51.39,51.98,51.39,51.98,6021
2020-09-08,50.54,50.58,50.08,50.08,4203
2020-09-10,49.11,49.11,49.11,49.11,2313
2020-09-14,47.75,47.75,47.75,47.75,2835
2020-09-15,47.17,47.17,46.98,47.12,4365
2020-09-16,47.57,47.57,46.0,46.13,19944
2020-09-17,46.34,46.34,45.79,46.17,10863
2020-09-18,46.25,46.25,45.47,46.24,25272
2020-09-21,44.68,46.51,43.27,46.15,21393
2020-09-22,46.59,46.83,46.0,46.62,19179
2020-09-23,46.42,46.42,45.31,45.31,8514
2020-09-24,45.18,45.18,45.18,45.18,1953
2020-09-29,45.75,45.75,45.75,45.75,2439
2020-09-30,45.88,46.67,45.88,46.67,2961
2020-10-01,45.6,45.6,44.54,45.32,30726
2020-10-02,44.28,45.4,44.28,45.32,24138
2020-10-05,45.9,46.26,45.57,46.26,15876
2020-10-06,46.3,47.52,46.3,47.52,4752
2020-10-07,46.74,48.19,46.74,47.91,11421
2020-10-08,48.56,48.86,48.56,48.86,15039
2020-10-09,49.07,49.07,47.09,47.14,22995
2020-10-12,47.14,47.94,47.01,47.65,10242
2020-10-13,47.58,47.58,46.31,46.39,7146
2020-10-14,47.15,48.64,47.15,47.66,13104
2020-10-15,46.86,48.72,46.86,48.69,16425
2020-10-16,48.95,48.95,48.21,48.21,17757
2020-10-19,47.85,48.62,47.85,48.0,26217
2020-10-20,48.2,48.2,47.33,47.33,15336
2020-10-21,47.55,47.96,46.74,46.74,17271
2020-10-22,47.04,48.56,46.54,48.53,14247
2020-10-23,48.76,49.22,48.76,49.12,5166
2020-10-26,47.57,47.82,46.84,47.78,17289
2020-10-27,48.09,48.09,47.25,47.25,11358
2020-10-28,46.13,46.13,44.56,45.06,27342
2020-10-29,44.73,46.81,44.42,46.81,23490
2020-10-30,46.26,46.61,45.6,45.81,27801
2020-11-02,47.23,47.3,46.89,47.12,13356
2020-11-03,48.54,50.38,47.99,47.99,20844
2020-11-04,47.92,47.92,47.92,47.92,1557
2020-11-05,47.55,51.68,47.55,51.68,15651
2020-11-09,55.43,60.12,55.43,59.69,29745
2020-11-10,58.58,58.58,55.84,56.34,12015
2020-11-11,55.14,55.95,55.01,55.01,16605
2020-11-12,54.57,54.57,54.57,54.57,2835
2020-11-16,57.96,58.17,57.95,58.17,8235
2020-11-18,58.79,59.18,58.79,59.18,3303
2020-11-19,58.84,58.84,58.84,58.84,2196
2020-11-20,58.65,58.7,58.17,58.17,7434
2020-11-23,59.89,60.55,59.67,60.5,13347
2020-11-24,61.76,65.19,61.76,64.23,15498
2020-11-25,64.1,64.1,62.72,62.72,10332
2020-11-27,60.05,60.05,60.05,60.05,4959
2020-11-30,61.81,61.81,61.81,61.81,4635
2020-12-01,63.09,63.09,61.19,61.76,10413
2020-12-02,62.58,62.58,62.58,62.58,1809
2020-12-10,72.0,72.44,71.65,72.44,6444
2020-12-11,71.32,71.38,71.32,71.38,3618
2020-12-14,70.44,71.25,70.44,70.85,4662
2020-12-15,71.27,72.68,71.27,72.68,18153
2020-12-16,74.46,74.46,74.23,74.23,4068
2020-12-17,76.06,76.06,76.06,76.06,5346
2020-12-21,76.68,77.63,75.5,75.5,9396
2020-12-22,75.27,75.8,72.94,72.94,24039
2020-12-23,72.96,72.96,72.96,72.96,2610
2020-12-28,72.72,72.72,72.49,72.49,3978
2020-12-29,71.16,71.16,71.15,71.15,4032
2020-12-30,74.49,74.49,73.5,73.5,5328
2021-01-04,74.61,80.06,74.61,79.19,14031
2021-01-05,84.5,86.22,81.69,82.14,16605
2021-01-06,82.52,83.44,82.42,82.45,8370
2021-01-07,81.7,81.78,80.44,80.44,8766
2021-01-08,80.65,83.87,79.52,83.36,27621
2021-01-11,86.8,89.61,86.8,89.61,11781
2021-01-12,90.55,92.05,90.55,92.05,8784
2021-01-13,91.85,91.85,87.42,87.48,21645
2021-01-14,89.09,89.09,88.76,88.76,12699
2021-01-15,87.66,87.66,87.66,87.66,2853
2021-01-19,88.57,88.57,88.46,88.46,6660
2021-01-20,89.05,89.05,86.8,87.39,10044
2021-01-21,86.07,86.07,85.36,85.36,8640
2021-01-22,86.65,86.65,86.65,86.65,6840
2021-01-26,87.95,87.95,85.66,85.66,12096
2021-01-27,85.98,85.98,82.83,83.57,14139
2021-01-28,83.07,87.0,83.07,87.0,8901
2021-01-29,85.76,87.12,85.74,86.8,41004
2021-02-02,89.38,89.71,89.38,89.71,5778
2021-02-03,89.23,94.46,89.23,94.46,20709
2021-02-04,94.41,101.1,94.3,100.88,24165
2021-02-05,101.93,102.82,101.93,102.82,15255
2021-02-08,104.3,105.96,103.3,105.96,10170
2021-02-09,104.2,106.28,104.2,106.18,19179
2021-02-10,109.77,110.95,108.41,110.85,19008
2021-02-11,112.22,112.53,111.08,111.57,29475
2021-02-12,114.62,116.72,114.05,116.72,23184
2021-02-16,121.43,123.13,120.54,121.09,36711
2021-02-17,122.24,122.24,119.21,120.02,28350
2021-02-18,118.37,118.99,109.81,116.82,23895
2021-02-19,116.18,116.96,114.54,115.24,40275
2021-02-22,113.54,117.76,113.54,113.94,7911
2021-02-23,109.72,116.59,109.72,116.39,19998
2021-02-24,119.37,121.46,119.37,119.39,17064
2021-02-25,120.53,120.71,115.41,115.41,8352
2021-02-26,115.55,115.55,111.28,113.53,12600
2021-03-01,116.7,116.7,114.88,114.88,12456
2021-03-02,117.5,117.5,114.65,114.65,10827
2021-03-03,117.85,123.01,117.85,121.77,25002
2021-03-04,122.85,125.19,120.24,121.63,36162
2021-03-05,123.24,125.4,123.2,124.31,45009
2021-03-08,125.71,130.91,125.6,130.91,74871
2021-03-09,131.75,137.11,130.32,134.22,32310
2021-03-10,134.21,144.03,134.21,142.39,88245
2021-03-11,144.65,149.11,144.65,148.28,31176
2021-03-12,152.65,156.21,149.49,149.7,69363
2021-03-15,154.02,165.1,154.02,162.53,123012
2021-03-16,156.56,172.33,156.56,162.31,149805
2021-03-17,164.19,177.7,164.19,176.54,141687
2021-03-18,169.42,169.42,158.85,161.18,84375
2021-03-19,156.03,177.26,154.54,174.16,124560
2021-03-22,172.85,174.92,164.63,164.97,56106
2021-03-23,159.17,159.17,145.55,148.78,76464
2021-03-24,153.32,158.73,153.32,155.7,27171
2021-03-25,154.79,157.49,149.43,157.46,24921
2021-03-26,159.59,165.29,159.59,164.68,19422
2021-03-29,163.87,163.98,157.3,158.49,30843
2021-03-30,160.51,162.55,160.06,162.45,20169
2021-03-31,163.98,163.98,163.98,163.98,12618
2021-04-01,166.63,170.33,162.65,169.17,22473
2021-04-05,165.33,165.91,163.84,165.66,18792
2021-04-06,170.01,171.49,167.89,167.89,13149
2021-04-07,169.67,169.83,169.67,169.83,19746
2021-04-09,166.38,167.93,165.23,167.58,31023
2021-04-12,167.99,167.99,165.74,167.15,39231
2021-04-13,167.48,167.48,161.46,161.79,8127
2021-04-14,164.45,165.45,164.45,165.45,12861
2021-04-15,168.71,168.71,163.29,165.03,16524
2021-04-16,164.5,165.01,164.5,165.01,15984
2021-04-20,160.53,160.55,151.81,152.8,19845
2021-04-21,152.05,152.5,151.06,152.07,26298
2021-04-22,154.3,156.88,152.33,155.48,25857
2021-04-23,157.16,157.19,155.31,155.61,18693
2021-04-26,156.17,159.8,156.17,159.79,20259
2021-04-27,167.68,167.68,165.24,166.26,22266
2021-04-28,169.08,173.81,169.08,173.28,41877
2021-04-29,173.05,173.66,166.17,166.17,58896
2021-04-30,165.85,168.81,161.87,161.87,45621
2021-05-03,163.04,168.66,163.04,168.55,27135
2021-05-04,165.86,170.72,165.86,170.72,23895
2021-05-05,172.31,178.91,171.91,178.72,31653
2021-05-06,176.4,176.4,167.68,167.68,19206
2021-05-07,175.27,182.88,175.02,182.88,26388
2021-05-10,181.23,182.44,180.91,180.91,11547
2021-05-11,178.18,178.18,178.18,178.18,7263
2021-05-12,176.62,176.62,176.62,176.62,19242
2021-05-13,172.84,172.84,171.28,171.92,19107
2021-05-14,178.66,178.66,174.99,174.99,30141
2021-05-17,171.9,172.86,171.9,172.06,6093
2021-05-18,171.26,171.26,162.69,163.75,33795
2021-05-19,159.22,160.31,157.03,158.77,20862
2021-05-20,164.13,164.49,163.03,163.03,9657
2021-05-21,165.39,166.07,161.86,162.42,46998
2021-05-24,161.05,161.34,156.66,156.66,39933
2021-05-25,159.01,159.01,156.66,156.7,17955
2021-05-26,156.16,156.82,152.51,152.53,28467
2021-05-27,152.52,153.75,151.34,153.46,39762
2021-05-28,153.56,156.82,152.51,152.51,23679
2021-06-01,155.41,156.77,154.82,156.3,22293
2021-06-02,156.56,157.47,155.56,157.46,15075
2021-06-04,154.94,155.61,154.69,154.9,9504
2021-06-07,156.48,158.5,156.48,157.61,35460
2021-06-08,157.45,161.33,157.45,160.15,27504
2021-06-09,158.29,160.94,158.12,158.95,9675
2021-06-10,158.04,158.04,157.59,157.72,5499
2021-06-11,157.87,160.5,157.87,160.5,11430
2021-06-14,161.86,161.86,156.33,156.93,26469
2021-06-15,161.14,162.8,160.42,160.89,29169
2021-06-16,162.83,164.41,161.65,164.24,53199
2021-06-17,159.46,159.46,155.81,157.79,44838
2021-06-18,159.89,160.41,157.47,157.47,44253
2021-06-21,162.89,166.06,162.89,166.06,35469
2021-06-22,167.96,168.47,166.19,166.19,35352
2021-06-23,168.46,169.69,168.2,168.2,40140
2021-06-24,171.31,171.42,165.27,165.93,60777
2021-06-25,166.98,166.98,164.75,164.75,27486
2021-06-28,162.08,162.08,161.66,161.66,6102
2021-06-29,165.06,165.06,164.85,164.85,10098
2021-06-30,165.12,167.22,165.12,167.22,19242
2021-07-01,168.23,170.68,168.23,169.14,50292
2021-07-02,166.89,166.89,166.89,166.89,11133
2021-07-06,163.25,163.25,162.52,162.52,35865
2021-07-07,157.14,159.84,155.75,155.75,17847
2021-07-08,151.21,153.52,150.68,153.45,60246
2021-07-09,155.81,156.65,154.66,156.65,44001
2021-07-12,162.39,162.39,162.11,162.11,10872
2021-07-14,156.33,156.33,154.54,154.54,8001
2021-07-15,150.84,150.84,150.84,150.84,7533
2021-07-16,149.23,149.23,149.23,149.23,3852
2021-07-19,143.71,146.49,143.37,146.49,19899
2021-07-20,154.76,154.76,154.76,154.76,14661
2021-07-21,160.45,160.45,160.45,160.45,6975
2021-07-22,157.48,158.24,157.48,158.24,2979
2021-07-23,156.95,156.95,156.95,156.95,5769
2021-07-26,155.51,155.51,155.51,155.51,7164
2021-07-27,152.14,152.14,150.78,150.78,9207
2021-07-29,153.22,153.22,153.22,153.22,18702
2021-07-30,152.87,155.57,152.87,155.57,3249
2021-08-04,151.51,151.51,151.51,151.51,3753
2021-08-09,154.54,155.38,154.54,155.38,3708
2021-08-10,156.64,157.06,156.62,157.06,6138
2021-08-11,155.42,156.45,155.42,156.45,9081
2021-08-13,156.76,156.76,156.76,156.76,9135
2021-08-16,153.22,153.83,152.99,153.83,8208
2021-08-17,148.58,148.58,148.58,148.58,3960
2021-08-18,146.7,146.7,144.22,144.22,8991
2021-08-19,138.96,138.96,138.96,138.96,10125
2021-08-20,140.91,140.91,139.6,139.6,4248
