date,open,high,low,close,volume
2020-07-27,12.41,12.5,11.77,11.98,186077
2020-07-28,11.94,12.21,11.85,11.87,108115
2020-07-29,12.2,12.61,12.15,12.18,88392
2020-07-30,11.9,11.9,11.47,11.68,95542
2020-07-31,11.75,11.75,11.46,11.74,99045
2020-08-03,11.69,11.85,11.44,11.72,71059
2020-08-04,11.72,11.76,11.55,11.66,96316
2020-08-05,12.22,12.72,11.98,12.07,328150
2020-08-06,12.06,12.49,11.89,12.33,260578
2020-08-07,12.28,12.76,12.12,12.73,308162
2020-08-10,13.04,13.58,13.04,13.53,376679
2020-08-11,13.94,14.05,13.6,13.66,124505
2020-08-12,13.8,13.9,13.19,13.68,201234
2020-08-13,13.84,13.91,13.22,13.55,152267
2020-08-14,13.46,14.1,13.4,14.0,158701
2020-08-17,13.96,13.98,13.71,13.91,282874
2020-08-18,13.79,13.79,13.28,13.47,115219
2020-08-19,13.33,13.72,13.2,13.22,187765
2020-08-20,13.04,13.22,12.61,12.61,84043
2020-08-21,12.7,12.93,12.68,12.79,160153
2020-08-24,13.19,13.51,13.03,13.46,137632
2020-08-25,13.63,13.75,13.13,13.13,201370
2020-08-26,13.15,13.27,12.97,13.04,106536
2020-08-27,13.24,13.41,13.08,13.08,97543
2020-08-28,13.16,13.2,12.82,13.08,133041
2020-08-31,12.96,13.01,12.74,12.95,159257
2020-09-01,12.77,12.99,12.57,12.96,170943
2020-09-02,13.15,13.17,12.77,12.94,154308
2020-09-03,13.07,13.4,12.85,12.93,75608
2020-09-04,13.0,13.0,12.43,12.79,218092
2020-09-08,12.65,13.32,12.55,13.18,172368
2020-09-09,12.92,12.92,12.6,12.8,86362
2020-09-10,12.94,14.0,12.93,13.87,228312
2020-09-11,13.97,14.49,13.8,14.19,225240
2020-09-14,14.31,15.62,14.3,15.39,331784
2020-09-15,15.34,15.34,14.68,14.81,214338
2020-09-16,15.56,16.33,15.56,15.89,231483
2020-09-17,15.64,15.81,15.17,15.48,195779
2020-09-18,15.47,15.54,14.97,15.24,324938
2020-09-21,15.14,15.16,14.43,14.5,249530
2020-09-22,14.54,14.69,14.28,14.59,151212
2020-09-23,14.78,15.42,14.56,14.57,121217
2020-09-24,14.26,14.63,14.0,14.35,170173
2020-09-25,14.09,14.48,13.98,14.38,131171
2020-09-28,14.66,14.88,14.49,14.55,169851
2020-09-29,14.41,14.41,13.6,13.62,158292
2020-09-30,13.78,13.96,13.58,13.73,152684
2020-10-01,13.8,14.22,13.76,13.9,293320
2020-10-02,13.46,14.31,13.46,14.16,120671
2020-10-05,14.4,14.92,14.4,14.91,248872
2020-10-06,15.2,15.65,14.78,14.78,252010
2020-10-07,15.28,15.82,15.28,15.7,148898
2020-10-08,15.87,16.47,15.86,16.4,334918
2020-10-09,16.66,16.94,16.36,16.55,147295
2020-10-12,16.57,16.94,16.52,16.87,142095
2020-10-13,16.77,16.87,16.45,16.61,172297
2020-10-14,16.73,16.83,16.51,16.68,128855
2020-10-15,16.4,17.21,16.4,17.17,167171
2020-10-16,17.17,17.34,16.99,17.17,155066
2020-10-19,17.22,18.17,17.2,17.63,323381
2020-10-20,17.87,18.3,17.87,18.0,257813
2020-10-21,17.92,18.21,17.63,17.98,210876
2020-10-22,18.12,19.24,18.07,19.18,339903
2020-10-23,19.46,19.56,18.61,18.81,231085
2020-10-26,18.67,18.79,18.13,18.68,315886
2020-10-27,18.69,19.37,18.62,18.82,282225
2020-10-28,18.29,18.88,18.22,18.73,386229
2020-10-29,20.95,20.95,19.01,19.97,814887
