date,open,high,low,close,volume
2020-07-27,44.42,45.2,44.04,45.025,33480
2020-07-28,45.18,45.485,44.69,44.695,70632
2020-07-29,45.14,45.72,45.14,45.525,24009
2020-07-30,44.92,45.625,44.54,45.525,21902
2020-07-31,45.36,45.36,44.385,44.505,37535
2020-08-03,45.11,45.625,44.865,45.58,50214
2020-08-04,45.495,45.615,44.775,45.07,36963
2020-08-05,45.86,46.04,45.35,45.89,65441
2020-08-06,47.8,50.28,47.7,49.11,218516
2020-08-07,49.02,49.38,48.64,49.195,61770
2020-08-10,49.205,49.265,48.23,48.41,33292
2020-08-11,48.48,48.93,47.885,47.965,70979
2020-08-12,48.06,49.515,48.06,49.515,34985
2020-08-13,49.085,50.46,49.085,50.08,55307
2020-08-14,49.615,50.755,49.615,50.385,67501
2020-08-17,50.59,51.305,50.59,50.82,29078
2020-08-18,50.97,51.95,50.97,51.735,48475
2020-08-19,51.64,51.64,50.605,50.68,101163
2020-08-20,50.08,50.76,50.08,50.68,58410
2020-08-21,50.61,51.035,50.57,50.7,124125
2020-08-24,50.7,52.21,50.7,52.11,83053
2020-08-25,52.005,52.61,51.945,52.565,19127
2020-08-26,52.77,53.165,52.52,52.59,33380
2020-08-27,52.655,52.73,51.595,52.08,35528
2020-08-28,52.03,52.13,51.645,52.0,19498
2020-08-31,52.06,52.74,51.98,52.4,21036
2020-09-01,52.39,53.44,52.22,53.44,21610
2020-09-02,53.5,54.46,52.975,54.38,44588
2020-09-03,53.79,53.79,50.75,50.87,20219
2020-09-04,50.78,51.19,49.28,49.9,19300
2020-09-08,48.94,49.985,48.555,49.09,36106
2020-09-09,49.71,50.35,49.56,50.145,23516
2020-09-10,50.23,50.68,49.04,49.215,22585
2020-09-11,49.33,50.8,49.33,50.16,18608
2020-09-14,50.605,50.605,50.035,50.47,30582
2020-09-15,51.0,52.195,51.0,52.09,42551
2020-09-16,52.495,52.71,51.32,51.34,18674
2020-09-17,49.985,50.715,49.7,49.76,74675
2020-09-18,50.14,50.305,48.87,49.42,33572
2020-09-21,48.285,48.285,47.27,47.92,74753
2020-09-22,48.42,48.725,47.98,48.545,104296
2020-09-23,49.145,49.145,47.64,47.64,76409
2020-09-24,47.565,47.57,46.82,47.085,179807
2020-09-25,46.85,47.845,46.85,47.845,244394
2020-09-28,49.05,49.05,48.58,48.675,55066
2020-09-29,48.7,49.21,48.61,48.94,54640
2020-09-30,48.98,49.815,48.5,48.69,67927
2020-10-01,49.09,49.26,48.64,48.88,64945
2020-10-02,48.4,49.58,48.4,49.28,21193
2020-10-05,50.005,51.13,50.005,50.7,43782
2020-10-06,50.86,50.88,48.9,48.9,93234
2020-10-07,49.92,50.65,49.52,50.49,115699
2020-10-08,50.88,51.585,50.88,51.05,31024
2020-10-09,51.57,52.07,51.27,51.405,41801
2020-10-12,51.77,52.61,51.465,52.31,43031
2020-10-13,52.0,52.61,51.66,51.72,65577
2020-10-14,52.16,52.26,50.53,50.53,32513
2020-10-15,51.25,52.59,49.76,52.28,68809
2020-10-16,52.55,53.26,52.22,52.36,48105
2020-10-19,52.675,53.17,51.775,51.96,43865
2020-10-20,52.53,52.85,51.885,51.91,27155
2020-10-21,52.66,52.84,50.62,50.78,72869
2020-10-22,51.115,51.79,50.46,50.93,138494
2020-10-23,51.09,51.24,49.41,50.06,110206
2020-10-26,49.17,49.57,48.53,49.21,34497
2020-10-27,49.29,51.095,49.29,50.63,157141
2020-10-28,49.25,49.31,47.77,47.77,41590
2020-10-29,47.855,48.975,47.37,48.48,77175
2020-10-30,49.05,49.07,47.195,48.17,64795
2020-11-02,49.25,50.77,49.24,50.77,77375
2020-11-03,51.61,53.18,51.585,52.75,224553
2020-11-04,51.24,53.205,50.63,52.985,120975
2020-11-05,54.74,58.2,54.74,55.81,150144
2020-11-06,56.01,56.09,55.255,56.02,64645
2020-11-09,58.96,60.1,57.25,57.495,99834
2020-11-10,57.685,58.34,57.005,58.29,77273
2020-11-11,58.535,59.97,57.09,57.42,42814
2020-11-12,57.22,57.53,56.33,56.935,36674
2020-11-13,57.385,58.3,57.385,58.08,32066
2020-11-16,58.79,58.93,57.53,58.49,78289
2020-11-17,57.72,58.06,57.145,57.27,71833
2020-11-18,57.32,57.485,56.35,56.88,68073
2020-11-19,56.3,57.77,56.24,57.72,116100
2020-11-20,57.65,58.56,57.65,58.32,76242
2020-11-23,58.77,59.485,58.2,58.98,43382
2020-11-24,59.36,61.085,59.31,60.58,75169
2020-11-25,60.48,60.48,59.1,59.41,34500
2020-11-27,59.84,60.46,59.52,60.38,21021
2020-11-30,60.15,60.165,59.01,59.91,63396
2020-12-01,60.175,61.43,60.02,60.82,90787
2020-12-02,60.6,61.26,60.405,60.68,47561
2020-12-03,61.1,61.98,60.75,61.04,27692
2020-12-04,61.7,63.295,61.54,62.96,36548
2020-12-07,63.26,63.68,62.465,63.12,33536
2020-12-08,63.37,63.87,62.655,63.125,79737
2020-12-09,63.505,64.06,62.735,63.29,116151
2020-12-10,62.62,62.65,61.77,62.41,56620
2020-12-11,62.28,63.2,62.0,62.86,52991
2020-12-14,63.86,65.2,63.78,64.66,42960
2020-12-15,64.88,65.675,64.12,65.26,46013
2020-12-16,65.975,65.975,65.025,65.63,47252
2020-12-17,65.94,66.14,65.425,65.9,29833
2020-12-18,66.25,66.915,65.57,66.15,57035
2020-12-21,65.67,66.605,64.445,66.58,44451
2020-12-22,66.96,67.47,65.86,66.17,29247
2020-12-23,66.49,66.86,66.07,66.59,36136
2020-12-24,66.54,66.72,66.16,66.695,7534
2020-12-28,67.37,67.765,66.45,66.46,24013
2020-12-29,67.23,67.8,65.54,65.82,34313
2020-12-30,66.4,67.12,66.185,66.35,22784
2020-12-31,66.04,67.245,65.96,66.71,23932
2021-01-04,67.455,67.75,65.285,66.31,50147
2021-01-05,66.16,68.1,66.16,66.76,79680
2021-01-06,69.33,69.33,67.55,68.47,99289
2021-01-07,69.45,71.945,69.44,71.8,54688
2021-01-08,73.225,73.905,71.36,72.31,48748
2021-01-11,71.0,73.14,70.46,73.14,39765
2021-01-12,72.985,73.725,71.82,71.97,35497
2021-01-13,71.875,71.875,69.73,70.05,124700
2021-01-14,71.66,71.66,69.755,69.91,279268
2021-01-15,69.75,70.03,68.29,69.435,31997
2021-01-19,68.925,71.78,68.925,69.135,234363
2021-01-20,70.1,71.67,69.3,71.36,272067
2021-01-21,72.47,72.48,69.74,70.42,133047
2021-01-22,69.905,70.87,69.155,70.71,67474
2021-01-25,72.41,72.41,69.98,70.84,71035
2021-01-26,71.17,71.22,69.43,69.64,45218
