date,open,high,low,close,volume
2020-07-27,104.23,104.3,102.58,103.3,45971
2020-07-28,103.26,103.75,101.74,101.83,27878
2020-07-29,101.71,103.77,101.23,103.36,20514
2020-07-30,101.2,103.13,100.31,102.57,31827
2020-07-31,102.14,102.35,99.65,101.29,47194
2020-08-03,101.11,102.23,99.81,101.22,46610
2020-08-04,100.43,100.9,99.42,100.13,83994
2020-08-05,101.32,102.32,101.09,101.93,17800
2020-08-06,101.21,102.15,100.33,100.65,93962
2020-08-07,100.29,104.05,100.29,103.74,100505
2020-08-10,104.44,105.66,103.6,105.38,23557
2020-08-11,108.54,108.93,105.99,106.12,42621
2020-08-12,106.75,106.91,104.68,105.33,45115
2020-08-13,104.24,105.72,104.14,105.55,24834
2020-08-14,104.73,106.12,104.73,104.93,21046
2020-08-17,104.24,104.24,101.81,102.56,35159
2020-08-18,102.77,102.81,101.58,101.78,12543
2020-08-19,102.19,102.48,99.87,100.21,26473
2020-08-20,99.3,100.41,99.02,99.6,49885
2020-08-21,99.47,99.88,98.73,98.97,26663
2020-08-24,99.19,101.72,98.77,101.71,39007
2020-08-25,102.82,102.91,101.6,102.31,25839
2020-08-26,101.03,101.42,100.43,100.54,30782
2020-08-27,100.86,105.08,100.86,103.68,25863
2020-08-28,103.58,103.58,101.59,102.58,25690
2020-08-31,102.12,102.91,101.7,102.84,82036
2020-09-01,101.7,102.04,100.57,101.53,35945
2020-09-02,101.16,104.19,101.16,103.94,76933
2020-09-03,105.27,106.68,101.45,102.14,19347
2020-09-04,103.68,105.12,101.76,103.1,61819
2020-09-08,102.98,102.98,99.82,100.56,43656
2020-09-09,101.47,102.88,100.89,101.34,27754
2020-09-10,101.56,102.41,99.67,99.68,19173
2020-09-11,99.93,101.66,99.58,101.1,33531
2020-09-14,101.9,102.64,101.47,102.12,26574
2020-09-15,102.01,102.01,99.96,100.01,39146
2020-09-16,100.01,102.44,100.01,100.98,16744
2020-09-17,99.59,101.06,99.21,100.32,27889
2020-09-18,99.95,100.93,99.31,99.54,45910
2020-09-21,97.19,98.32,95.64,97.65,48330
2020-09-22,97.81,99.17,96.57,97.43,102015
2020-09-23,97.44,98.27,95.84,95.84,131869
2020-09-24,96.44,97.52,94.31,96.17,47892
2020-09-25,94.77,96.53,94.77,96.36,55262
2020-09-28,98.35,99.76,97.66,98.18,25641
2020-09-29,97.77,97.85,95.04,95.87,33474
2020-09-30,95.98,97.29,95.68,96.55,44527
2020-10-01,96.61,96.88,94.83,96.14,50040
2020-10-02,94.98,97.64,94.98,96.84,40736
2020-10-05,98.47,99.9,97.88,99.89,56163
2020-10-06,100.18,101.02,98.89,99.61,57277
2020-10-07,100.16,101.93,100.16,101.59,34667
2020-10-08,102.24,104.2,102.08,103.11,25621
2020-10-09,103.74,104.31,102.85,103.37,39302
2020-10-12,101.99,104.25,101.75,103.96,47157
2020-10-13,102.85,103.51,100.16,100.73,46603
2020-10-14,100.9,102.04,99.88,99.89,50878
2020-10-15,98.91,100.76,97.76,100.46,90854
2020-10-16,100.62,101.86,99.62,101.15,80347
2020-10-19,101.23,101.95,99.62,100.07,68586
2020-10-20,102.57,105.6,101.84,105.37,135726
2020-10-21,105.5,111.63,105.5,111.47,229937
2020-10-22,110.14,113.07,109.67,112.52,124281
2020-10-23,113.63,113.63,110.54,112.39,93041
2020-10-26,110.29,110.58,107.57,108.33,59544
2020-10-27,108.09,109.2,106.16,106.16,72759
2020-10-28,104.52,109.06,104.09,108.36,152524
2020-10-29,107.82,110.23,106.17,109.26,151976
2020-10-30,108.38,109.18,106.06,107.58,152445
2020-11-02,109.12,110.73,107.39,110.38,79513
2020-11-03,112.08,113.7,111.69,112.75,129317
2020-11-04,110.29,113.32,109.26,110.09,130681
2020-11-05,110.6,114.63,110.26,113.77,74939
2020-11-06,114.28,115.08,112.93,113.24,60448
2020-11-09,123.47,123.48,119.65,119.66,174566
2020-11-10,119.93,121.89,119.84,121.44,81516
2020-11-11,120.76,121.81,119.48,120.34,56968
2020-11-12,119.03,119.25,117.02,117.95,51554
2020-11-13,119.24,120.39,118.28,120.13,60307
2020-11-16,122.89,123.87,120.37,121.46,57974
2020-11-17,121.0,121.17,119.63,120.34,41726
2020-11-18,120.21,122.33,119.74,119.82,58989
2020-11-19,118.25,119.62,117.34,119.38,61489
2020-11-20,118.57,120.2,118.37,120.08,50575
2020-11-23,120.65,120.77,119.29,120.14,54524
2020-11-24,122.1,122.1,120.23,121.66,65931
2020-11-25,120.56,121.7,119.87,121.36,37599
2020-11-27,120.92,120.92,119.11,119.83,28328
2020-11-30,119.02,119.5,115.55,115.69,88749
2020-12-01,117.79,119.67,117.79,118.98,46071
2020-12-02,118.23,119.75,118.12,119.48,69409
2020-12-03,119.05,120.91,118.55,120.46,46211
2020-12-04,120.89,121.44,119.79,121.39,85108
2020-12-07,120.25,120.43,119.01,119.41,36259
2020-12-08,118.49,121.09,118.49,120.76,68969
2020-12-09,120.92,121.83,120.62,121.07,85249
2020-12-10,120.83,123.4,120.77,122.81,86987
2020-12-11,121.57,122.63,119.97,121.01,53421
2020-12-14,122.41,122.75,120.0,120.24,35463
2020-12-15,121.01,123.2,120.67,123.19,31221
2020-12-16,123.39,123.75,122.26,123.37,42801
2020-12-17,123.74,124.56,123.74,123.87,33790
2020-12-18,124.12,125.41,123.55,124.62,65916
2020-12-21,124.41,124.58,122.31,124.02,61969
2020-12-22,123.75,123.75,122.3,122.45,50684
2020-12-23,123.43,124.21,122.91,123.8,38015
2020-12-24,123.66,124.4,122.99,124.33,45969
2020-12-28,124.35,125.49,124.35,124.88,50893
2020-12-29,125.23,125.23,123.89,124.21,80330
2020-12-30,125.17,125.54,124.63,124.86,42930
2020-12-31,124.25,126.1,124.11,125.99,27813
2021-01-04,126.21,126.23,120.55,121.67,93760
2021-01-05,121.85,122.18,119.46,120.66,63285
2021-01-06,122.4,124.83,121.61,124.75,73149
2021-01-07,124.57,125.33,123.72,124.92,73684
2021-01-08,124.77,125.41,123.78,125.31,46465
2021-01-11,124.61,125.0,123.16,123.35,35489
2021-01-12,123.75,126.23,123.29,126.03,41515
2021-01-13,125.35,128.03,125.32,127.6,40428
2021-01-14,127.11,128.33,126.8,127.76,89628
2021-01-15,127.47,129.3,126.6,128.57,146092
2021-01-19,128.71,129.46,127.52,128.78,85093
2021-01-20,128.64,130.6,128.03,130.17,103586
2021-01-21,132.94,136.42,132.09,133.54,172498
2021-01-22,132.25,132.57,129.64,130.88,73084
2021-01-25,129.56,131.5,128.63,131.44,53732
2021-01-26,131.54,132.24,128.99,129.02,54429
2021-01-27,127.25,129.08,125.02,125.05,86971
2021-01-28,126.04,126.67,124.84,125.62,144040
2021-01-29,124.21,124.49,121.99,122.44,73264
2021-02-01,122.84,124.26,122.08,124.09,41293
2021-02-02,124.95,126.23,124.09,125.47,56581
2021-02-03,124.55,125.85,123.95,124.55,56189
2021-02-04,124.73,129.3,124.73,129.26,93032
2021-02-05,129.47,131.34,128.87,129.98,51517
2021-02-08,129.68,131.19,129.45,131.19,32781
2021-02-09,131.02,132.05,130.87,132.03,30782
2021-02-10,132.22,132.47,130.42,130.93,73651
2021-02-11,130.91,131.94,130.68,131.4,46321
2021-02-12,131.09,131.9,129.99,130.94,53139
2021-02-16,131.73,132.69,130.78,132.26,42435
2021-02-17,131.74,133.45,131.7,133.19,39861
2021-02-18,133.19,133.19,131.42,132.48,47478
2021-02-19,132.82,132.93,130.82,130.91,52042
2021-02-22,130.66,132.77,130.04,132.57,53842
2021-02-23,133.96,134.54,132.57,134.04,51878
2021-02-24,134.07,135.72,133.81,135.45,61538
2021-02-25,135.86,135.86,132.71,132.79,75108
2021-02-26,132.59,132.93,130.29,130.75,55865
2021-03-01,132.27,135.44,132.27,134.96,60823
2021-03-02,134.63,135.42,133.77,133.77,52459
2021-03-03,133.78,136.54,133.51,135.2,47540
2021-03-04,135.35,136.23,132.47,133.72,42254
2021-03-05,135.78,137.48,133.99,136.69,104374
2021-03-08,137.48,141.08,137.21,139.86,63988
2021-03-09,138.81,140.62,137.97,138.86,44956
2021-03-10,138.4,141.07,138.15,140.21,88901
2021-03-11,138.18,140.15,137.39,140.0,77429
2021-03-12,142.29,143.47,140.82,141.92,109664
2021-03-15,141.5,142.08,140.47,141.95,63217
2021-03-16,140.83,141.4,139.33,141.28,75619
2021-03-17,141.96,142.72,140.42,142.52,54544
2021-03-18,144.17,145.38,141.08,141.51,169132
2021-03-19,140.81,140.85,134.37,134.84,108945
2021-03-22,134.62,134.92,132.5,133.19,97339
2021-03-23,133.03,134.62,132.46,132.63,101777
2021-03-24,133.34,136.28,133.34,134.63,114833
2021-03-25,135.46,138.16,133.49,137.9,76577
2021-03-26,138.53,138.8,136.7,138.58,60642
2021-03-29,136.83,139.38,136.05,138.83,51956
2021-03-30,139.6,139.98,138.33,138.85,55685
2021-03-31,138.78,138.86,135.61,135.61,85607
2021-04-01,135.54,136.52,134.96,135.96,92310
2021-04-05,136.78,137.51,135.9,137.12,73543
2021-04-06,137.42,138.87,136.68,136.93,154576
2021-04-07,136.99,137.49,136.27,137.3,99703
2021-04-08,136.17,136.17,134.95,135.61,139576
2021-04-09,136.86,137.6,136.29,136.82,80854
2021-04-12,137.07,137.35,136.52,136.96,48562
2021-04-13,136.54,137.49,136.08,137.38,33827
2021-04-14,137.25,141.08,137.25,140.2,69756
2021-04-15,140.7,140.7,138.78,139.23,116983
2021-04-16,140.36,141.13,139.91,140.54,33222
2021-04-20,140.02,141.77,139.09,140.49,121925
2021-04-21,141.41,142.15,141.02,141.97,49524
2021-04-22,141.3,141.73,139.34,140.71,70984
2021-04-23,141.02,142.8,141.02,142.42,39992
2021-04-26,142.53,142.57,140.29,140.59,39531
2021-04-27,140.9,141.08,139.47,140.03,69501
2021-04-28,140.6,140.6,138.02,138.67,79552
2021-04-29,139.98,140.58,139.28,140.47,59470
2021-04-30,140.56,141.17,138.88,139.53,58222
2021-05-03,140.82,142.62,140.54,141.28,61442
2021-05-04,141.13,143.12,140.76,142.99,102254
2021-05-05,142.92,144.09,141.04,143.7,110628
2021-05-06,143.97,145.12,143.66,144.73,60854
2021-05-07,143.9,145.37,143.9,145.13,86538
2021-05-10,145.66,146.79,145.48,145.85,55521
2021-05-11,145.95,145.95,141.13,141.42,51678
2021-05-12,142.25,142.25,138.66,138.66,54898
2021-05-13,137.89,143.2,137.87,142.37,50108
2021-05-14,142.54,145.1,142.18,144.85,38950
2021-05-17,144.27,144.94,143.53,144.69,25282
2021-05-18,144.01,144.01,141.96,142.02,40685
2021-05-19,141.32,141.97,139.16,141.67,54555
2021-05-20,142.06,143.98,141.33,143.36,33564
2021-05-21,144.33,145.16,142.87,143.52,34517
2021-05-24,143.8,144.51,142.85,143.28,35767
2021-05-25,142.83,143.82,140.85,141.4,29471
2021-05-26,141.7,142.29,141.47,141.78,43370
2021-05-27,142.98,143.87,142.33,143.87,44101
2021-05-28,144.11,144.5,143.45,144.1,33596
2021-06-01,145.41,146.09,144.73,145.12,34250
2021-06-02,145.06,145.51,144.41,144.56,31283
2021-06-03,144.49,146.4,143.76,145.31,51846
2021-06-04,145.1,145.1,143.56,144.45,59912
2021-06-07,143.78,144.07,142.24,142.3,23169
2021-06-08,141.6,142.37,140.73,142.06,15742
2021-06-09,141.63,141.63,140.29,140.54,20561
2021-06-10,140.94,141.36,139.69,139.79,23711
2021-06-11,140.61,141.18,139.95,140.06,23349
2021-06-14,139.99,139.99,138.51,139.01,39959
2021-06-15,139.48,141.02,138.55,140.26,35378
2021-06-16,140.02,140.78,138.62,138.62,73852
2021-06-17,139.16,139.16,134.85,135.09,73216
2021-06-18,133.43,133.43,131.09,131.22,125361
2021-06-21,133.02,135.19,132.56,134.85,27897
2021-06-22,133.82,135.32,133.82,134.57,24496
2021-06-23,134.6,135.07,134.18,134.18,49809
2021-06-24,134.85,136.56,134.63,136.05,43908
2021-06-25,136.98,137.82,136.37,137.54,47434
2021-06-28,136.83,136.89,134.98,135.64,46319
2021-06-29,136.81,136.81,135.19,135.68,29585
2021-06-30,135.57,136.25,135.17,135.94,35720
2021-07-01,136.07,138.01,135.57,137.77,24256
2021-07-02,137.08,137.44,136.61,137.22,18398
2021-07-06,136.84,137.17,134.68,136.95,53308
2021-07-07,135.82,138.32,135.82,138.07,29442
2021-07-08,136.26,137.01,134.28,134.8,52519
2021-07-09,136.59,139.17,136.53,139.15,27822
2021-07-12,138.96,140.13,138.61,139.76,58998
2021-07-13,139.07,140.35,138.54,138.79,58143
2021-07-14,139.16,140.35,138.75,140.17,53772
2021-07-15,139.01,141.3,138.58,141.22,60325
2021-07-16,140.73,142.42,140.51,141.93,51763
2021-07-19,139.4,140.58,135.93,137.26,77338
2021-07-20,137.09,140.08,134.96,137.04,147560
2021-07-21,138.48,140.08,137.56,137.72,49557
2021-07-22,135.48,135.89,133.62,134.01,54211
2021-07-23,135.96,136.1,133.19,134.22,72485
2021-07-26,134.71,135.86,134.11,134.99,39865
2021-07-27,134.31,136.17,134.11,135.54,29695
2021-07-28,135.94,136.21,132.66,133.23,51326
2021-07-29,133.92,135.18,132.48,135.14,37695
2021-07-30,135.15,136.57,134.59,135.12,26124
2021-08-02,136.01,137.67,134.93,135.11,43495
2021-08-03,135.36,136.5,134.11,136.48,44951
2021-08-04,135.65,136.68,135.59,135.86,45782
2021-08-05,137.19,137.39,135.64,136.59,16751
2021-08-06,137.5,139.15,137.5,138.64,27934
2021-08-09,138.22,139.5,138.16,139.17,16475
2021-08-10,139.11,140.66,138.96,139.96,24912
2021-08-11,140.27,141.78,140.21,141.75,26327
2021-08-12,142.34,142.47,141.04,141.97,28136
2021-08-13,142.21,142.36,141.3,141.89,13763
2021-08-16,141.5,143.31,141.25,143.18,36283
2021-08-17,143.22,144.52,143.03,144.22,15670
2021-08-18,143.62,145.58,143.16,143.98,35166
2021-08-19,143.45,145.98,143.45,144.78,34653
2021-08-20,144.81,147.08,144.11,146.02,36396
2021-08-23,146.3,147.3,145.04,145.08,19375
2021-08-24,145.81,146.06,145.17,145.77,27902
2021-08-25,145.85,148.13,145.72,147.55,41961
2021-08-26,147.37,147.42,145.15,145.15,28150
2021-08-27,145.86,147.24,145.86,147.12,17862
2021-08-30,145.89,145.89,144.7,144.7,21295
2021-08-31,144.76,145.87,144.04,144.94,57775
2021-09-01,144.77,145.38,143.58,144.46,42641
2021-09-02,144.6,145.28,143.74,145.16,34904
2021-09-03,144.68,145.09,143.79,144.45,24839
2021-09-07,143.72,144.11,142.34,143.22,48492
2021-09-08,142.98,145.01,142.65,143.98,35136
2021-09-09,143.79,145.57,143.79,144.16,79546
2021-09-10,144.5,144.99,142.67,142.69,48382
2021-09-13,142.86,145.03,142.43,145.03,51361
2021-09-14,145.3,145.33,142.26,142.61,33399
2021-09-15,142.93,143.98,142.17,143.77,64103
2021-09-16,143.37,143.88,141.94,143.0,29811
2021-09-17,143.58,144.02,142.14,142.64,70614
2021-09-20,139.41,140.48,137.48,139.28,53209
2021-09-21,139.33,140.44,138.46,139.58,42363
2021-09-22,140.49,141.96,140.11,140.95,55064
2021-09-23,142.43,143.59,142.34,142.38,52163
2021-09-24,142.55,142.96,141.93,142.73,21577
2021-09-27,143.54,144.28,142.52,142.58,40470
2021-09-28,143.01,143.01,139.79,140.01,42381
2021-09-29,139.21,141.95,139.0,141.32,25129
2021-09-30,141.61,142.37,138.72,138.72,56690
2021-10-01,139.48,140.36,137.13,139.0,39008
2021-10-04,138.28,140.11,137.28,138.17,46350
2021-10-05,138.8,140.68,137.68,140.2,73904
2021-10-06,139.54,141.56,137.37,141.48,42003
2021-10-07,142.6,144.28,142.6,143.47,79305
2021-10-08,143.64,144.57,142.97,143.63,44459
2021-10-11,143.68,144.76,142.55,142.59,47918
2021-10-12,143.08,144.03,142.54,142.85,51869
2021-10-13,141.99,142.98,140.17,142.78,54205
2021-10-14,143.33,144.01,142.49,143.03,65445
