date,open,high,low,close,volume
2020-07-27,95.57,103.13,94.48,102.84,1297380
2020-07-28,100.05,104.29,98.5,98.62,1162290
2020-07-29,99.87,102.22,99.48,99.95,743835
2020-07-30,98.8,100.88,98.23,99.17,741510
2020-07-31,100.43,100.78,94.74,95.44,1918410
2020-08-03,96.68,100.56,96.31,99.01,831015
2020-08-04,99.79,101.81,97.62,99.17,1207995
2020-08-05,99.59,99.81,98.01,99.09,709470
2020-08-06,99.22,101.11,98.53,99.42,711300
2020-08-07,99.88,99.96,94.37,96.9,1431885
2020-08-10,96.35,97.05,92.55,94.65,870645
2020-08-11,92.89,94.58,91.25,91.54,698700
2020-08-12,97.86,105.66,95.88,103.62,2240580
2020-08-13,107.59,110.02,104.68,108.07,1534710
2020-08-14,110.87,111.17,108.55,110.05,1014165
2020-08-17,111.54,123.02,111.54,122.3,2115645
2020-08-18,126.47,128.24,123.22,125.94,2176020
2020-08-19,124.04,127.4,123.01,125.26,1174830
2020-08-20,124.0,134.79,124.0,133.4,2719290
2020-08-21,136.34,139.7,135.17,136.63,4016235
2020-08-24,141.8,141.86,129.26,134.33,2169315
2020-08-25,131.55,135.08,131.27,134.96,1294455
2020-08-26,137.4,144.37,137.09,143.44,1897770
2020-08-27,145.5,152.92,142.88,149.19,2856045
2020-08-28,152.95,154.56,145.79,147.7,2704605
2020-08-31,148.23,166.67,146.75,166.24,4292739
2020-09-01,167.4,167.4,157.0,158.35,3564336
2020-09-02,159.59,159.59,135.07,149.14,2630772
2020-09-03,135.83,143.76,134.01,135.71,2338173
2020-09-04,134.22,142.55,124.18,139.46,3395826
2020-09-08,118.49,122.79,110.0,110.03,3906549
2020-09-09,119.13,122.95,113.86,122.03,2043654
2020-09-10,128.86,132.91,120.26,123.73,1842885
2020-09-11,127.32,127.35,120.2,124.28,1060272
2020-09-14,127.05,139.95,124.54,139.88,1970478
2020-09-15,145.61,153.96,143.62,150.09,2034762
2020-09-16,146.42,152.54,145.33,147.35,863394
2020-09-17,138.4,145.87,136.35,141.05,1360299
2020-09-18,149.28,150.2,143.09,147.23,1408974
2020-09-21,150.95,151.84,135.86,149.81,1544499
2020-09-22,143.07,145.92,139.28,141.31,867645
2020-09-23,135.17,137.26,125.34,126.67,1745601
2020-09-24,121.21,133.09,117.21,129.2,1749579
2020-09-25,131.06,136.19,130.55,135.76,953487
2020-09-28,141.59,142.59,138.57,140.32,813231
2020-09-29,138.67,142.73,137.25,139.66,545511
2020-09-30,140.44,144.48,140.2,143.1,815259
2020-10-01,146.95,149.62,144.85,149.31,4246467
2020-10-02,140.39,146.32,138.33,138.33,5462112
2020-10-05,140.96,144.54,139.78,141.82,3733431
2020-10-06,141.17,142.91,135.38,137.97,4628223
2020-10-07,140.03,143.29,137.97,141.74,3554133
2020-10-08,146.23,146.27,141.77,141.96,3487551
2020-10-09,143.43,144.85,142.19,144.63,2493735
2020-10-12,147.27,149.56,146.19,147.36,4234353
2020-10-13,147.86,149.63,145.58,148.94,4144455
2020-10-14,149.93,155.26,149.13,153.77,5925555
2020-10-15,150.1,152.14,147.51,149.65,3901548
2020-10-16,151.4,151.94,146.28,146.58,3213279
2020-10-19,148.8,148.88,142.97,143.62,6046200
2020-10-20,143.87,143.87,139.7,140.61,3801708
2020-10-21,140.86,144.32,140.43,140.75,3072645
2020-10-22,147.3,148.33,141.53,141.99,4402245
2020-10-23,140.61,140.91,135.8,140.14,3406197
2020-10-26,137.17,141.9,136.67,140.13,888504
2020-10-27,141.3,143.48,140.17,141.54,597762
2020-10-28,138.51,139.47,135.34,135.45,800010
2020-10-29,136.65,139.35,135.62,136.99,670968
2020-10-30,135.58,135.65,126.38,129.42,1719624
2020-11-02,131.33,135.59,130.84,133.67,822894
2020-11-03,136.65,142.57,135.62,141.25,1096494
2020-11-04,143.66,145.09,139.11,140.07,711774
2020-11-05,142.84,146.67,141.57,146.02,555192
2020-11-06,145.35,145.51,141.58,143.3,775134
2020-11-09,146.52,150.78,140.39,140.39,1234848
2020-11-10,140.03,140.03,132.02,136.87,1104861
2020-11-11,138.85,139.53,137.03,138.98,630165
2020-11-12,138.37,141.0,136.52,137.3,502269
2020-11-13,136.93,137.48,133.93,136.15,768231
2020-11-16,136.74,137.43,134.74,135.98,1321926
2020-11-17,153.45,153.92,144.46,147.17,2080449
2020-11-18,149.36,165.29,147.96,162.21,2051127
2020-11-19,164.01,169.47,162.52,166.4,1775145
2020-11-20,166.0,167.33,163.03,163.04,867474
2020-11-23,167.77,175.28,167.36,173.83,1103937
2020-11-24,180.23,186.65,175.47,185.22,1612686
2020-11-25,183.36,191.33,181.89,191.33,983376
2020-11-27,193.78,199.54,192.85,195.18,986748
2020-11-30,200.83,202.41,184.93,188.84,1423062
2020-12-01,199.05,199.14,190.79,194.96,1281000
2020-12-02,184.27,190.36,180.52,189.33,1304103
2020-12-03,196.96,199.59,194.18,197.7,1130457
2020-12-04,197.21,199.66,195.53,199.65,696306
2020-12-07,201.59,216.18,201.21,214.03,1348386
2020-12-08,208.33,217.07,206.28,216.61,1727799
2020-12-09,217.95,218.1,196.3,201.49,2885031
2020-12-10,191.46,209.22,189.07,209.22,1862103
2020-12-11,205.0,207.96,198.99,203.33,1331931
2020-12-14,206.23,214.22,203.42,213.18,2195811
2020-12-15,214.52,215.58,207.99,210.91,2115357
2020-12-16,209.6,210.53,201.67,207.51,1554801
2020-12-17,209.53,219.58,206.51,218.51,1881327
2020-12-18,222.97,228.22,209.59,220.13,6350490
2020-12-21,222.08,222.75,215.36,216.14,3088698
2020-12-22,215.63,216.63,204.81,213.49,2138370
2020-12-23,210.64,216.99,207.62,215.33,1123485
2020-12-24,214.81,222.03,213.73,220.66,838815
2020-12-28,224.84,226.87,220.31,221.3,1241835
2020-12-29,220.26,223.15,218.34,221.97,882330
2020-12-30,224.01,232.15,222.89,231.51,1317876
2020-12-31,233.33,239.57,230.41,235.21,1929042
2021-01-04,239.5,248.07,239.06,243.17,2077080
2021-01-05,241.22,246.94,239.77,245.12,1434816
2021-01-06,252.83,257.95,249.99,252.12,2389377
2021-01-07,259.21,272.3,258.48,272.0,2447346
2021-01-08,285.33,294.79,279.49,293.51,4469598
2021-01-11,282.82,284.75,268.12,270.28,3943968
2021-01-12,276.98,289.31,275.81,283.07,2358399
2021-01-13,284.35,286.7,277.34,284.78,1536759
2021-01-14,281.17,287.67,279.69,281.93,1985202
2021-01-15,283.54,286.33,273.04,275.34,2308020
2021-01-19,279.27,283.0,277.77,281.5,1475940
2021-01-20,286.27,286.47,279.2,283.74,1440756
