date,open,high,low,close,volume
2020-07-27,42.71,43.42,41.82,43.2,329170
2020-07-28,42.92,43.43,41.93,41.93,332560
2020-07-29,42.6,43.06,42.24,42.75,107500
2020-07-30,42.69,43.24,42.21,42.92,169830
2020-07-31,44.1,45.09,43.81,45.08,551410
2020-08-03,45.65,47.8,45.65,47.55,429570
2020-08-04,47.7,48.33,46.78,48.08,345450
2020-08-05,48.67,49.99,48.67,49.59,147610
2020-08-06,49.07,49.07,47.08,48.04,769940
2020-08-07,49.29,50.91,48.01,49.38,364760
2020-08-10,49.06,49.06,45.73,46.57,375440
2020-08-11,45.2,46.24,44.49,44.58,501770
2020-08-12,45.07,46.64,45.07,45.92,218700
2020-08-13,46.64,48.01,46.52,47.13,193970
2020-08-14,48.05,48.05,46.28,46.52,106240
2020-08-17,47.25,47.69,47.0,47.46,83390
2020-08-18,48.09,48.26,46.79,46.94,115980
2020-08-19,47.02,47.02,45.9,46.39,47990
2020-08-20,45.91,47.21,45.91,47.02,142960
2020-08-21,47.24,47.24,46.14,46.15,146160
2020-08-24,46.54,47.3,46.38,46.66,211210
2020-08-25,46.41,47.02,46.07,46.97,159670
2020-08-26,47.4,49.07,47.4,48.09,116080
2020-08-27,48.26,48.36,46.82,47.37,124400
2020-08-28,47.85,49.41,47.85,48.56,101600
2020-08-31,48.6,48.84,47.61,48.2,185150
2020-09-01,48.78,50.19,48.57,50.19,120870
2020-09-02,51.01,51.52,47.96,51.5,372020
2020-09-03,49.62,49.82,45.83,46.5,299560
2020-09-04,45.6,46.65,41.29,44.15,368090
2020-09-08,41.6,43.94,41.2,42.09,306490
2020-09-09,43.28,43.89,42.52,43.36,258320
2020-09-10,44.24,45.26,42.58,42.7,232680
2020-09-11,43.15,43.23,40.99,41.87,251260
2020-09-14,42.65,43.11,42.22,42.69,106920
2020-09-15,43.98,44.68,43.65,44.54,132520
2020-09-16,44.54,45.67,44.05,44.2,251380
2020-09-17,42.23,42.9,41.41,42.88,300290
2020-09-18,43.5,43.8,42.48,43.59,184270
2020-09-21,42.6,46.25,42.6,46.08,220520
2020-09-22,46.51,46.87,45.08,46.79,317210
2020-09-23,46.61,47.14,45.64,45.73,278130
2020-09-24,44.81,45.88,43.78,45.34,185640
2020-09-25,45.56,47.59,45.2,47.3,246600
2020-09-28,47.98,48.79,47.71,48.73,160000
2020-09-29,49.38,50.57,49.33,49.87,172520
2020-09-30,49.84,52.02,49.83,51.87,297780
2020-10-01,52.89,55.59,52.7,55.48,768260
2020-10-02,53.5,56.94,53.3,55.68,573090
2020-10-05,56.42,57.53,56.32,57.38,349870
2020-10-06,57.38,59.7,57.34,58.55,259340
2020-10-07,59.89,60.77,58.9,59.26,378190
2020-10-08,60.23,60.75,59.54,60.51,180110
2020-10-09,60.62,62.04,60.33,61.29,275100
2020-10-12,62.03,62.79,61.07,62.62,163690
2020-10-13,62.43,65.22,62.43,65.19,303280
2020-10-14,66.41,67.44,64.27,65.4,524830
2020-10-15,61.85,63.2,59.68,60.0,562100
2020-10-16,61.41,61.52,59.85,60.59,295390
2020-10-19,60.89,62.68,60.89,61.92,125010
2020-10-20,62.85,62.85,61.07,61.23,131490
2020-10-21,62.11,64.6,61.72,62.47,375040
2020-10-22,62.36,62.62,60.35,60.7,287250
2020-10-23,60.42,62.02,59.94,61.97,143920
2020-10-26,62.45,63.07,59.71,60.82,126000
2020-10-27,61.62,61.95,60.89,61.37,95750
2020-10-28,60.1,60.1,58.85,59.61,195350
2020-10-29,60.4,62.3,59.98,61.91,162130
2020-10-30,60.9,60.9,56.26,56.48,394480
2020-11-02,55.81,56.99,54.35,55.9,320350
