date,open,high,low,close,volume
2020-07-27,37.58,37.58,36.105,36.835,398296
2020-07-28,36.56,37.315,36.56,36.63,317490
2020-07-29,36.92,37.225,36.74,37.165,132938
2020-07-30,36.88,37.09,36.4,36.69,110543
2020-07-31,37.15,37.15,35.975,36.38,248320
2020-08-03,36.445,36.86,35.91,36.405,256442
2020-08-04,36.08,36.6,35.68,36.36,139111
2020-08-05,36.5,37.335,36.47,36.79,91910
2020-08-06,36.785,37.805,36.5,37.685,155995
2020-08-07,37.475,38.015,36.75,37.1,141126
2020-08-10,38.32,39.16,37.325,37.45,538457
2020-08-11,37.4,38.94,36.72,37.26,430150
2020-08-12,37.53,37.905,36.825,37.45,211691
2020-08-13,37.52,38.27,37.505,37.825,172069
2020-08-14,37.84,37.92,37.31,37.9,136181
2020-08-17,37.95,38.085,37.3,37.965,165256
2020-08-18,38.345,38.42,37.76,38.005,190073
2020-08-19,38.1,39.52,38.08,38.89,293385
2020-08-20,38.55,38.995,38.3,38.97,130703
2020-08-21,39.08,39.365,38.745,39.275,282464
2020-08-24,39.74,40.8,39.68,40.495,259335
2020-08-25,40.35,40.68,39.335,40.55,184901
2020-08-26,40.53,41.315,40.17,41.07,163763
2020-08-27,41.0,41.045,40.095,40.4,178523
2020-08-28,40.5,41.155,40.445,41.07,144112
2020-08-31,40.875,41.06,40.575,40.615,105219
2020-09-01,40.61,41.245,40.145,41.15,177101
2020-09-02,41.58,44.085,41.41,43.66,467248
2020-09-03,42.68,42.755,40.96,41.705,232712
2020-09-04,41.39,41.44,38.46,39.885,276537
2020-09-08,38.54,39.175,38.12,38.155,561451
2020-09-09,38.87,39.805,38.35,39.56,169744
2020-09-10,39.94,40.365,38.825,39.01,157710
2020-09-11,39.28,39.48,38.55,38.93,183428
2020-09-14,39.29,39.575,38.565,38.79,224532
2020-09-15,39.1,39.17,38.24,39.11,229302
2020-09-16,39.36,40.89,39.3,39.61,420133
2020-09-17,38.91,39.515,38.61,39.39,306809
2020-09-18,39.4,40.24,38.97,40.2,298543
2020-09-21,39.37,40.2,39.22,39.895,274534
2020-09-22,40.37,42.825,40.36,42.74,323853
2020-09-23,43.9,46.815,43.87,45.35,1720813
2020-09-24,44.68,45.05,42.665,43.15,521570
2020-09-25,43.17,44.015,42.61,43.885,321394
2020-09-28,44.275,44.325,43.615,44.16,264234
2020-09-29,44.365,45.49,44.305,44.77,153538
2020-09-30,44.63,45.08,43.955,44.595,391258
2020-10-01,45.01,46.705,44.98,46.69,751574
2020-10-02,45.6,46.885,45.44,46.11,674704
2020-10-05,46.51,47.485,46.12,47.33,301441
2020-10-06,47.26,47.87,45.04,45.62,598328
2020-10-07,46.07,46.37,45.77,45.88,388620
2020-10-08,46.43,46.44,45.78,46.005,367764
2020-10-09,46.385,46.385,45.68,45.915,342414
2020-10-12,47.565,48.645,47.44,48.225,825087
2020-10-13,48.09,48.3,46.995,47.01,452947
2020-10-14,47.44,47.65,45.63,45.96,354367
2020-10-15,45.13,46.075,44.34,46.04,700576
2020-10-16,46.34,46.45,45.06,45.79,418173
2020-10-19,46.04,46.3,45.25,45.805,470281
2020-10-20,45.695,46.78,45.5,46.37,276009
2020-10-21,48.99,50.525,48.985,50.2,1718501
2020-10-22,50.2,50.34,48.11,50.28,593863
2020-10-23,50.18,50.49,48.95,50.43,486053
2020-10-26,49.97,50.64,48.395,48.99,978715
2020-10-27,49.5,51.5,49.14,51.26,977943
2020-10-28,49.5,49.92,48.27,48.51,913446
2020-10-29,51.94,52.93,50.575,52.46,2795235
2020-10-30,44.49,45.15,40.86,41.34,2816215
2020-11-02,41.19,41.54,38.93,39.485,1277656
2020-11-03,40.19,42.105,40.19,41.715,1104521
2020-11-04,42.06,42.92,40.86,42.745,1289081
2020-11-05,43.62,44.025,42.62,43.71,716187
2020-11-06,43.69,44.18,42.825,43.15,634723
2020-11-09,43.82,45.17,43.125,43.185,750282
2020-11-10,43.18,43.96,41.62,42.39,463946
2020-11-11,42.92,43.725,42.89,43.685,331318
2020-11-12,43.285,44.12,42.68,42.745,550264
2020-11-13,43.21,43.52,42.42,43.505,331296
2020-11-16,43.49,43.63,42.43,42.7,428648
2020-11-17,42.42,43.42,42.42,42.87,366796
2020-11-18,42.95,44.29,42.84,43.3,337820
2020-11-19,43.16,43.86,42.8,43.65,246665
2020-11-20,43.7,45.3,43.47,44.67,577559
2020-11-23,44.94,45.53,44.195,44.97,295533
2020-11-24,45.11,45.42,44.46,45.225,245438
2020-11-25,44.89,46.805,44.85,46.41,368764
2020-11-27,46.53,47.0,46.22,46.59,183609
2020-11-30,46.67,46.79,44.945,46.51,269192
2020-12-01,46.64,47.265,45.805,46.695,361933
2020-12-02,46.24,47.935,45.965,47.205,392415
2020-12-03,47.155,48.14,47.09,47.8,281901
2020-12-04,47.76,48.33,47.685,47.71,179672
2020-12-07,47.56,48.33,47.14,47.895,252263
2020-12-08,47.97,48.09,46.91,47.435,250869
2020-12-09,47.595,48.735,46.97,47.31,335093
2020-12-10,46.71,51.71,46.59,51.2,677229
2020-12-11,50.605,52.44,50.04,51.425,557954
2020-12-14,51.96,53.44,51.8,52.04,412853
2020-12-15,51.99,52.96,51.64,52.82,369726
2020-12-16,54.9,56.11,53.675,54.03,795636
2020-12-17,54.31,55.16,54.06,54.6,317952
2020-12-18,54.92,56.07,54.305,55.88,337744
2020-12-21,54.4,55.65,53.61,54.63,348433
2020-12-22,54.94,55.66,54.38,54.92,312908
2020-12-23,54.96,55.15,54.25,54.29,155817
2020-12-24,54.5,55.16,53.87,53.99,80664
2020-12-28,54.72,55.18,53.94,54.435,184112
2020-12-29,54.565,55.36,53.61,54.37,267171
2020-12-30,54.66,54.88,54.15,54.32,129993
2020-12-31,54.28,54.28,53.765,54.22,186175
2021-01-04,54.44,55.47,53.61,54.53,367187
2021-01-05,53.41,54.5,53.34,53.86,280709
2021-01-06,53.25,54.51,52.65,53.25,361707
2021-01-07,52.1,53.32,51.475,52.365,757238
2021-01-08,52.57,52.66,50.23,51.47,466321
2021-01-11,47.09,49.485,45.19,48.175,2018141
2021-01-12,48.635,49.075,46.56,47.04,587682
2021-01-13,48.16,48.38,47.035,47.225,490259
2021-01-14,47.66,47.66,45.45,45.81,675242
2021-01-15,46.08,46.18,45.085,45.18,731094
2021-01-19,45.57,46.15,44.4,45.92,559969
2021-01-20,46.26,47.915,46.22,47.6,668561
2021-01-21,47.73,48.0,46.5,47.105,503961
2021-01-22,46.9,48.175,46.84,48.05,344862
2021-01-25,48.44,48.93,47.01,47.85,422151
2021-01-26,48.16,52.11,48.05,49.67,1125434
2021-01-27,50.62,50.62,48.0,48.11,800728
2021-01-28,49.55,52.2,49.345,51.55,732682
2021-01-29,51.02,52.95,49.9,50.52,652025
2021-02-01,51.27,52.74,51.08,52.67,547250
2021-02-02,52.94,54.87,52.72,53.99,362473
2021-02-03,54.475,55.17,53.73,54.58,756380
2021-02-04,54.87,56.48,54.45,56.47,536452
2021-02-05,56.46,57.43,55.08,56.78,617754
2021-02-08,58.05,59.58,57.42,58.16,659345
2021-02-09,58.595,60.72,58.595,59.89,1194422
2021-02-10,65.9,69.14,63.23,67.76,2228026
2021-02-11,67.92,68.945,66.62,68.6,990203
2021-02-12,68.49,73.13,68.43,71.94,1126136
2021-02-16,72.22,74.755,71.82,73.95,1002393
2021-02-17,73.0,73.23,70.14,71.77,612734
2021-02-18,71.22,72.9,70.39,72.27,380630
2021-02-19,72.65,74.93,71.9,72.25,614670
2021-02-22,71.72,73.74,70.42,70.42,616411
2021-02-23,68.11,74.33,66.19,73.16,896339
2021-02-24,73.06,73.9,71.74,71.91,862087
2021-02-25,78.1,80.74,73.9,74.545,1890513
2021-02-26,76.86,79.03,75.14,77.07,1188459
2021-03-01,78.26,78.62,76.085,77.65,809945
2021-03-02,76.73,77.07,73.575,73.61,797831
2021-03-03,73.88,74.45,70.66,70.86,676984
2021-03-04,70.6,71.7,66.06,66.71,950883
2021-03-05,67.56,67.56,61.535,66.93,837986
2021-03-08,67.4,68.62,63.43,63.43,1050042
2021-03-09,65.85,68.21,64.645,67.53,629091
2021-03-10,68.65,69.41,64.6,64.79,804727
2021-03-11,66.25,68.73,65.85,68.44,501207
2021-03-12,67.26,68.79,66.68,68.1,315054
2021-03-15,68.21,70.46,67.19,70.36,407239
2021-03-16,71.05,71.84,68.6,69.22,398963
2021-03-17,68.16,70.81,66.98,70.21,622647
2021-03-18,69.42,69.89,66.7,66.73,713266
2021-03-19,67.08,67.08,65.82,66.24,455263
2021-03-22,66.54,66.605,64.35,65.225,598072
2021-03-23,65.18,65.59,64.16,64.26,427797
2021-03-24,64.65,64.7,62.09,62.125,459883
2021-03-25,60.22,62.01,59.61,61.2,743179
2021-03-26,61.52,61.84,59.28,61.34,523030
2021-03-29,62.01,64.92,61.74,62.95,810707
2021-03-30,62.525,64.05,61.92,62.94,432767
2021-03-31,64.11,64.97,63.28,63.68,418372
2021-04-01,64.66,66.33,63.66,63.84,689005
2021-04-05,64.19,64.335,61.82,64.25,699752
2021-04-06,64.36,67.635,64.34,66.99,595549
2021-04-07,66.7,69.95,66.1,69.02,647978
2021-04-08,69.77,71.44,69.32,71.22,395736
2021-04-09,70.54,71.43,69.94,71.15,260546
2021-04-12,70.71,71.8,69.66,70.87,312146
2021-04-13,71.71,72.76,70.73,72.46,218929
2021-04-14,72.48,73.18,69.59,69.73,397946
2021-04-15,70.63,71.855,70.18,71.725,304038
2021-04-16,72.03,72.035,69.69,70.13,258040
2021-04-20,67.96,68.035,65.26,65.82,592544
2021-04-21,65.29,67.35,64.745,67.31,421981
2021-04-22,67.46,67.46,64.08,64.3,511335
