date,open,high,low,close,volume
2020-07-27,32.9,33.595,32.07,32.405,126586
2020-07-28,32.31,33.99,32.31,33.45,185954
2020-07-29,33.59,33.89,32.23,32.58,116996
2020-07-30,32.02,32.27,31.595,31.715,115236
2020-07-31,31.53,31.665,30.69,31.355,104056
2020-08-03,31.26,32.27,30.395,31.88,111903
2020-08-04,32.01,33.675,32.01,32.28,134221
2020-08-05,33.14,34.495,32.19,33.715,267054
2020-08-06,33.82,34.98,33.26,34.365,216384
2020-08-07,33.84,34.415,33.455,34.325,80316
2020-08-10,34.69,37.55,34.67,37.525,268930
2020-08-11,39.69,39.81,36.7,36.79,298543
2020-08-12,37.695,37.7,35.52,36.385,174429
2020-08-13,35.745,37.48,35.57,35.795,224996
2020-08-14,35.24,36.565,35.21,36.15,136351
2020-08-17,36.25,36.25,34.36,34.41,119983
2020-08-18,34.31,34.84,33.59,33.985,100634
2020-08-19,34.39,36.54,34.28,34.41,173352
2020-08-20,33.81,34.37,33.245,34.07,111471
2020-08-21,33.82,34.325,32.985,33.02,139088
2020-08-24,33.59,36.37,33.22,36.29,262234
2020-08-25,36.4,36.91,34.48,35.23,200685
2020-08-26,35.14,35.48,34.115,34.26,135117
2020-08-27,35.37,37.975,35.37,36.22,387111
2020-08-28,37.12,37.415,35.965,37.355,159596
2020-08-31,37.21,37.42,35.74,36.05,165604
2020-09-01,35.28,37.235,34.95,36.025,198737
2020-09-02,36.015,37.09,35.285,36.885,278016
2020-09-03,37.37,39.72,36.16,37.39,455242
2020-09-04,38.19,38.72,36.5,38.245,261101
2020-09-08,37.28,38.43,36.5,37.315,250988
2020-09-09,36.86,37.01,35.62,36.045,633268
2020-09-10,36.31,37.32,36.21,36.475,271293
2020-09-11,36.595,36.78,35.49,36.115,148554
2020-09-14,36.53,36.845,35.855,36.775,135278
2020-09-15,36.77,37.86,36.44,36.815,110666
2020-09-16,36.78,38.895,36.45,38.295,319444
2020-09-17,37.66,39.26,37.16,38.33,175434
2020-09-18,38.14,38.32,36.71,36.975,199049
2020-09-21,35.22,35.46,33.19,33.795,334471
2020-09-22,34.005,34.625,33.61,34.08,167445
2020-09-23,34.24,35.025,33.07,33.075,192679
2020-09-24,32.785,33.375,31.23,32.79,170977
2020-09-25,32.655,34.26,32.53,34.215,238048
2020-09-28,35.255,36.89,34.73,35.875,294920
2020-09-29,35.42,35.5,34.245,34.535,204744
2020-09-30,35.01,36.19,34.545,34.775,259145
2020-10-01,35.22,35.49,34.57,35.18,401297
2020-10-02,33.35,36.75,33.3,36.02,778489
2020-10-05,36.45,36.57,35.47,36.21,336154
2020-10-06,36.74,37.06,34.85,34.875,514828
2020-10-07,36.46,37.21,35.89,36.405,685745
2020-10-08,37.17,37.68,35.86,36.995,605581
2020-10-09,36.96,37.8,36.29,37.135,563811
2020-10-12,36.72,36.99,36.265,36.395,351860
2020-10-13,35.55,35.92,35.215,35.265,449039
2020-10-14,35.29,36.315,35.17,35.575,363623
2020-10-15,35.21,35.38,33.65,34.265,690696
2020-10-16,34.3,34.55,33.82,34.18,478323
2020-10-19,34.53,36.52,34.45,35.49,807574
2020-10-20,36.16,36.57,35.215,36.07,649079
2020-10-21,35.825,36.12,35.22,35.57,408777
2020-10-22,35.92,37.445,35.655,37.23,589813
2020-10-23,37.01,38.095,36.55,38.0,599333
2020-10-26,37.355,37.4,34.69,35.345,754948
