date,open,high,low,close,volume
2020-07-27,31.33,31.59,30.78,30.995,466570
2020-07-28,30.85,31.24,30.365,30.79,456271
2020-07-29,31.03,31.255,30.77,31.0,168712
2020-07-30,30.68,30.68,29.985,30.235,339472
2020-07-31,30.23,30.405,29.81,30.285,254600
2020-08-03,30.22,31.285,30.095,31.19,317690
2020-08-04,31.24,32.84,31.185,32.695,544856
2020-08-05,33.095,33.31,32.505,33.2,584964
2020-08-06,33.305,34.79,33.26,34.745,901826
2020-08-07,33.12,33.61,32.455,32.91,1980025
2020-08-10,33.1,33.11,31.53,32.315,554110
2020-08-11,31.61,32.19,30.66,31.21,661731
2020-08-12,31.42,32.215,30.69,30.83,543302
2020-08-13,30.62,31.32,30.345,30.455,359805
2020-08-14,30.38,30.49,29.84,29.985,347157
2020-08-17,30.01,30.095,29.155,29.485,406810
2020-08-18,29.44,30.45,29.41,30.05,639943
2020-08-19,30.05,30.315,29.395,29.415,324463
2020-08-20,29.08,31.695,28.49,31.445,1142846
2020-08-21,31.38,31.8,30.72,30.835,448204
2020-08-24,30.9,31.295,30.395,31.045,437433
2020-08-25,31.08,31.17,30.605,31.145,187979
2020-08-26,30.975,32.7,30.96,32.305,490455
2020-08-27,32.43,33.065,32.285,32.77,1199445
2020-08-28,33.02,33.935,32.835,33.815,578467
2020-08-31,33.66,33.91,33.15,33.62,424481
2020-09-01,33.38,34.505,33.15,34.305,479601
2020-09-02,34.28,34.5,33.295,34.375,496842
2020-09-03,34.095,34.715,32.95,33.4,350801
2020-09-04,33.42,33.63,31.555,33.225,415219
2020-09-08,32.31,35.09,32.19,34.345,670171
2020-09-09,34.21,35.495,34.21,35.005,1150063
2020-09-10,35.23,36.775,35.23,36.075,1586463
2020-09-11,36.31,37.125,36.3,36.985,589908
2020-09-14,37.105,37.995,37.105,37.99,932357
2020-09-15,37.95,38.475,37.275,37.475,678651
2020-09-16,37.46,38.505,37.445,37.665,503614
2020-09-17,36.6,37.44,36.145,37.045,550713
2020-09-18,37.14,37.56,36.395,37.085,592436
2020-09-21,35.7,36.58,35.13,36.5,748817
2020-09-22,36.545,36.545,34.105,34.395,1150252
2020-09-23,34.43,34.805,33.4,33.515,640818
2020-09-24,33.655,33.995,32.9,33.32,764683
2020-09-25,33.26,34.5,33.26,34.455,255714
2020-09-28,35.81,36.615,35.265,35.565,728838
2020-09-29,35.595,35.595,34.6,35.385,439349
2020-09-30,35.38,36.495,35.36,36.485,533172
2020-10-01,36.84,37.82,36.58,37.095,1073033
2020-10-02,35.97,37.96,35.95,37.73,924818
2020-10-05,37.79,37.99,36.89,37.135,542387
