date,open,high,low,close,volume
2020-07-27,27.88,28.21,27.54,28.2,45253
2020-07-28,28.17,28.92,27.99,28.67,31360
2020-07-29,28.82,28.82,27.95,28.15,93258
2020-07-30,27.75,28.86,27.75,28.83,92850
2020-07-31,28.63,28.92,28.19,28.85,34377
2020-08-03,28.48,28.54,27.91,28.04,49265
2020-08-04,27.99,28.33,27.62,28.07,27931
2020-08-05,28.36,28.41,27.96,28.37,38793
2020-08-06,28.17,28.54,27.95,28.37,64176
2020-08-07,28.27,28.66,28.21,28.66,42871
2020-08-10,28.62,28.96,28.51,28.74,21000
2020-08-11,29.04,29.09,28.44,28.58,79930
2020-08-12,28.57,28.69,28.4,28.68,17806
2020-08-13,28.41,28.76,27.64,27.71,52302
2020-08-14,27.71,28.31,27.57,27.99,48476
2020-08-17,27.83,28.05,27.71,27.98,93656
2020-08-18,27.99,28.16,27.58,28.1,29890
2020-08-19,28.16,28.16,27.06,27.28,70888
2020-08-20,27.15,27.73,27.15,27.49,13469
2020-08-21,27.58,27.58,26.87,27.23,140320
2020-08-24,27.1,27.58,26.78,27.58,67259
2020-08-25,27.68,27.7,27.28,27.64,66729
2020-08-26,27.28,27.4,26.88,26.98,38993
2020-08-27,27.58,28.02,27.22,27.9,86517
2020-08-28,27.8,28.02,27.59,28.0,38689
2020-08-31,27.77,27.9,27.52,27.87,83778
2020-09-01,27.39,27.71,27.32,27.64,58385
2020-09-02,27.45,28.11,27.35,28.1,61066
2020-09-03,28.4,28.79,27.95,28.07,203778
2020-09-04,28.18,28.54,27.67,28.19,51886
2020-09-08,27.79,27.85,27.34,27.67,52064
2020-09-09,27.72,28.08,27.3,27.5,59243
2020-09-10,27.39,27.67,27.12,27.33,114840
2020-09-11,27.34,27.34,26.73,26.9,101342
2020-09-14,27.36,28.29,27.36,28.11,48753
2020-09-15,27.94,28.24,27.7,27.8,89925
2020-09-16,27.93,28.25,27.78,27.9,50467
2020-09-17,27.87,28.03,27.68,27.76,119544
2020-09-18,27.64,27.75,27.04,27.04,82069
2020-09-21,26.68,26.68,25.58,25.67,116083
2020-09-22,25.82,26.42,25.82,26.25,126742
2020-09-23,26.27,26.48,25.53,25.56,48082
2020-09-24,25.51,25.76,25.28,25.41,67764
2020-09-25,25.4,25.89,25.26,25.89,35781
2020-09-28,26.41,26.66,26.03,26.33,58464
2020-09-29,26.18,26.4,25.67,25.84,83880
2020-09-30,26.14,26.23,25.7,26.08,110391
2020-10-01,26.05,27.0,26.02,26.99,149411
2020-10-02,26.64,27.87,26.29,27.77,110801
2020-10-05,27.85,28.05,27.31,28.02,125346
2020-10-06,28.18,28.49,27.79,28.02,126737
2020-10-07,28.11,28.15,27.67,28.13,118133
2020-10-08,28.18,28.88,28.15,28.81,109873
2020-10-09,28.94,28.94,28.47,28.63,83855
2020-10-12,28.62,28.72,28.18,28.68,104800
2020-10-13,28.2,28.64,27.64,27.78,106441
2020-10-14,27.74,27.74,27.24,27.31,51900
2020-10-15,27.17,27.61,27.05,27.32,57495
2020-10-16,27.05,27.05,26.65,26.65,86572
2020-10-19,26.79,26.79,25.94,25.94,109504
2020-10-20,26.17,26.34,25.98,26.08,61955
2020-10-21,25.94,26.33,25.91,26.19,82952
2020-10-22,26.26,26.52,26.09,26.46,88180
2020-10-23,26.65,26.84,26.36,26.43,59803
2020-10-26,26.31,26.34,25.54,25.79,92300
2020-10-27,25.9,25.92,25.1,25.1,100918
2020-10-28,24.59,24.76,23.77,23.88,302712
2020-10-29,23.83,24.62,23.69,24.14,208961
2020-10-30,24.06,25.44,24.03,25.21,376053
2020-11-02,25.58,26.48,25.3,26.44,251299
2020-11-03,26.68,28.08,26.68,27.89,225260
2020-11-04,27.82,27.89,27.11,27.62,230277
