date,open,high,low,close,volume
2020-07-27,270.46,274.14,270.0,271.14,48692
2020-07-28,270.78,273.43,269.82,272.23,95289
2020-07-29,273.44,281.07,273.33,278.15,89595
2020-07-30,274.42,278.01,271.74,276.88,61686
2020-07-31,275.39,275.39,270.58,274.89,120368
2020-08-03,275.61,276.33,271.8,275.53,55199
2020-08-04,274.57,280.16,272.35,276.09,365107
2020-08-05,277.88,283.96,276.84,283.78,137140
2020-08-06,282.74,286.4,281.8,285.03,226352
2020-08-07,284.83,289.49,284.48,288.0,77791
2020-08-10,287.85,290.82,286.6,289.67,74995
2020-08-11,292.95,294.44,285.65,286.36,82713
2020-08-12,289.74,293.31,288.47,292.53,70673
2020-08-13,291.28,291.86,288.6,291.68,47680
2020-08-14,290.62,293.97,289.31,293.94,104391
2020-08-17,292.59,293.77,289.91,290.77,132101
2020-08-18,291.9,292.7,286.6,287.37,120071
2020-08-19,287.87,289.78,286.24,286.24,49601
2020-08-20,285.56,286.01,283.34,284.49,56018
2020-08-21,282.65,286.07,281.68,285.13,41666
2020-08-24,287.0,287.0,278.18,280.04,100994
2020-08-25,283.17,283.46,279.53,283.46,54449
2020-08-26,282.24,282.24,275.92,280.38,80931
2020-08-27,281.26,285.69,277.29,282.89,96047
2020-08-28,283.58,286.61,280.55,285.26,79979
2020-08-31,285.88,289.99,283.76,283.8,110549
2020-09-01,282.51,285.62,281.44,283.91,99661
2020-09-02,285.54,291.52,283.81,290.88,60291
2020-09-03,292.2,293.84,284.97,287.3,197210
2020-09-04,287.76,287.92,278.51,283.08,70098
2020-09-08,282.46,282.47,276.05,278.86,65452
2020-09-09,280.68,286.15,280.17,283.25,89230
2020-09-10,283.61,284.66,275.7,276.26,101777
2020-09-11,278.49,278.88,271.09,274.92,81175
2020-09-14,276.41,283.52,276.41,281.28,48097
2020-09-15,282.36,283.81,278.96,280.17,45487
2020-09-16,280.39,284.26,279.15,279.38,82765
2020-09-17,277.27,280.05,275.63,277.82,106637
2020-09-18,278.31,282.42,277.01,280.77,57036
2020-09-21,273.4,273.53,265.87,272.73,158916
2020-09-22,271.84,273.74,266.95,268.25,142060
2020-09-23,268.86,269.65,265.98,266.25,106534
2020-09-24,265.92,268.78,264.25,266.8,86563
2020-09-25,266.47,276.32,266.47,275.66,115994
2020-09-28,279.58,281.65,275.99,275.99,106156
2020-09-29,276.69,278.29,274.12,277.25,84215
2020-09-30,277.04,286.56,277.04,284.07,124312
2020-10-01,284.55,287.15,281.81,285.32,168046
2020-10-02,284.33,289.15,281.02,284.18,114367
2020-10-05,287.07,290.11,285.5,290.05,62606
2020-10-06,290.43,291.75,285.89,286.69,62864
2020-10-07,288.89,295.94,288.23,294.53,142426
2020-10-08,294.78,296.51,292.62,293.67,132335
2020-10-09,295.5,298.99,295.46,298.79,93935
2020-10-12,300.13,303.83,299.94,300.57,156727
2020-10-13,299.44,304.05,298.84,302.32,235263
2020-10-14,292.09,301.26,292.09,293.24,236163
2020-10-15,290.35,297.83,288.59,295.75,170743
2020-10-16,297.05,302.77,296.61,300.81,130407
2020-10-19,299.6,301.35,293.6,295.37,99377
2020-10-20,297.39,299.33,294.69,294.76,121716
2020-10-21,294.8,297.48,293.63,294.18,149214
2020-10-22,293.75,298.91,293.75,296.89,121783
2020-10-23,299.54,305.82,299.54,301.3,126026
2020-10-26,297.7,298.25,290.3,294.32,125687
2020-10-27,294.82,294.82,291.19,291.98,108506
2020-10-28,285.6,289.64,280.23,280.23,163287
2020-10-29,280.01,281.68,274.84,276.66,173143
2020-10-30,276.97,279.89,273.1,278.31,168485
2020-11-02,283.82,284.78,280.11,284.35,261003
2020-11-03,289.28,297.5,287.89,292.95,332890
2020-11-04,313.27,328.45,311.03,322.54,951548
2020-11-05,327.14,328.91,318.73,323.0,300403
2020-11-06,319.49,320.79,314.27,316.8,217989
2020-11-09,334.15,334.88,318.04,318.21,380904
2020-11-10,319.2,324.29,317.45,322.33,337299
2020-11-11,324.11,325.18,318.57,320.28,142279
2020-11-12,319.45,328.5,319.02,322.97,166403
2020-11-13,325.16,326.1,321.67,324.15,131860
2020-11-16,327.2,327.21,320.03,325.11,169835
2020-11-17,321.14,322.03,316.69,320.82,172861
2020-11-18,321.89,322.46,312.71,314.07,147676
2020-11-19,312.66,312.66,304.69,307.01,353161
2020-11-20,305.68,307.57,302.57,305.1,174843
2020-11-23,305.89,306.37,302.19,305.58,212439
2020-11-24,306.97,309.79,304.86,306.06,194376
2020-11-25,307.88,307.88,300.04,303.51,198954
2020-11-27,304.55,308.86,302.42,308.18,64262
2020-11-30,306.81,307.73,301.26,306.44,191659
2020-12-01,314.03,322.61,309.9,310.59,138225
2020-12-02,311.36,320.59,311.36,316.73,138041
2020-12-03,317.6,321.5,315.87,317.71,110636
2020-12-04,317.6,321.46,316.46,319.83,99753
2020-12-07,318.68,319.86,315.76,318.16,189187
2020-12-08,315.97,319.96,314.88,318.16,85525
2020-12-09,318.93,319.57,312.46,314.8,150265
2020-12-10,315.68,315.69,310.4,310.66,187625
2020-12-11,309.52,309.84,305.87,308.18,169107
2020-12-14,310.42,313.72,307.23,307.4,75144
2020-12-15,309.45,311.73,308.35,310.65,85257
2020-12-16,309.08,312.38,305.98,310.34,83096
2020-12-17,310.66,313.32,308.6,312.62,115295
2020-12-18,312.55,312.78,305.62,309.78,206210
2020-12-21,303.11,308.18,301.32,307.76,86087
2020-12-22,306.65,308.08,305.05,306.28,127666
2020-12-23,307.9,312.45,307.87,308.59,96464
2020-12-24,309.56,312.21,308.9,311.7,114550
2020-12-28,313.77,318.1,313.77,316.47,150677
2020-12-29,318.96,320.86,315.64,317.51,175729
2020-12-30,317.5,319.2,315.23,315.39,74866
2020-12-31,316.14,321.12,314.87,321.12,62652
2021-01-04,321.54,321.86,311.46,319.64,198305
2021-01-05,318.7,321.27,315.39,315.45,155236
2021-01-06,309.0,328.71,306.71,328.66,579035
2021-01-07,327.62,335.15,327.62,334.04,165490
2021-01-08,335.88,335.88,328.13,332.55,141665
2021-01-11,330.76,333.19,328.59,329.99,101256
2021-01-12,328.8,329.3,324.98,326.93,113147
2021-01-13,325.9,326.35,321.45,324.82,82715
2021-01-14,326.11,328.09,320.56,320.83,148119
2021-01-15,319.54,322.8,316.34,321.39,150442
2021-01-19,325.05,326.3,321.61,322.23,124676
2021-01-20,321.98,321.98,316.82,320.75,159570
2021-01-21,321.21,329.91,321.21,324.69,158607
2021-01-22,324.13,324.13,317.93,317.93,94845
2021-01-25,316.95,320.35,315.48,318.37,99270
2021-01-26,319.79,321.22,313.49,313.63,118053
2021-01-27,308.34,308.95,300.92,304.1,254743
2021-01-28,307.91,316.95,306.77,309.34,178440
2021-01-29,308.2,309.96,302.73,305.27,201778
2021-02-01,307.03,309.28,304.44,305.33,159060
2021-02-02,309.14,315.13,309.14,309.98,114293
2021-02-03,308.88,311.06,306.2,309.1,149083
2021-02-04,303.95,306.49,300.37,301.11,417608
2021-02-05,303.9,304.79,295.89,296.34,964407
2021-02-08,299.08,299.08,296.2,296.36,456058
2021-02-09,296.09,302.74,294.49,301.4,248362
2021-02-10,304.0,307.0,301.74,304.86,206843
2021-02-11,306.94,307.85,303.24,304.55,197526
2021-02-12,303.72,303.89,299.92,300.18,238211
2021-02-16,300.07,301.24,294.97,297.02,193076
2021-02-17,296.08,300.33,294.93,298.85,194477
2021-02-18,298.15,301.42,297.57,300.24,97657
2021-02-19,300.62,300.78,296.49,296.66,122931
2021-02-22,295.07,300.94,293.09,299.75,162129
2021-02-23,301.38,305.38,298.75,301.4,205616
2021-02-24,300.79,305.05,298.26,303.78,166447
2021-02-25,303.06,304.99,299.41,301.06,178753
2021-02-26,302.4,309.04,301.81,303.49,243668
2021-03-01,305.71,309.94,305.35,306.1,190940
2021-03-02,306.58,308.77,305.4,306.0,174033
2021-03-03,305.05,309.23,304.39,304.39,207006
2021-03-04,305.34,311.68,304.34,304.85,285056
2021-03-05,306.71,318.55,306.56,317.49,258873
2021-03-08,317.56,323.71,316.61,320.16,254600
2021-03-09,322.26,330.35,321.38,321.76,203107
2021-03-10,323.61,324.04,318.96,319.52,166687
2021-03-11,321.1,325.54,320.13,322.95,127389
2021-03-12,323.91,327.48,323.25,326.65,125907
2021-03-15,326.99,328.48,322.71,325.13,113384
2021-03-16,325.41,326.02,323.03,325.52,127165
2021-03-17,326.0,328.62,323.01,323.01,181246
2021-03-18,323.74,334.31,323.74,332.32,202564
2021-03-19,331.14,339.92,329.53,335.05,616374
2021-03-22,333.78,338.24,333.31,336.7,244028
2021-03-23,337.59,340.96,337.26,338.18,212491
2021-03-24,336.79,342.91,336.77,340.25,208553
2021-03-25,339.45,341.5,333.63,340.87,200350
2021-03-26,341.15,345.93,339.88,345.93,156806
2021-03-29,344.88,349.22,344.3,347.77,130885
2021-03-30,346.54,348.67,341.28,342.43,165637
2021-03-31,342.01,345.5,341.46,342.1,141933
2021-04-01,341.28,341.38,335.84,336.78,156101
2021-04-05,339.42,341.91,337.62,339.56,117636
2021-04-06,338.76,339.36,332.97,334.03,161727
2021-04-07,333.96,335.78,331.54,335.64,132849
2021-04-08,333.75,336.61,333.75,334.92,110018
2021-04-09,337.06,345.58,336.86,345.58,169082
2021-04-12,344.2,348.59,344.19,345.37,184256
2021-04-13,344.68,348.08,343.73,343.89,93139
2021-04-14,344.63,346.96,344.05,344.75,266139
2021-04-15,348.79,360.01,348.79,358.05,337186
2021-04-16,360.59,360.92,353.83,359.08,180362
2021-04-20,357.82,365.15,357.58,363.98,138225
2021-04-21,366.12,368.13,363.08,366.15,188413
2021-04-22,365.74,365.85,361.03,363.96,148972
2021-04-23,363.93,368.89,362.18,367.56,112900
2021-04-26,366.82,366.82,362.89,363.11,68473
2021-04-27,361.97,363.72,360.18,362.15,96192
2021-04-28,362.87,364.28,361.15,362.53,122560
2021-04-29,364.32,369.08,364.21,368.59,85876
2021-04-30,367.33,368.78,365.65,365.97,106682
2021-05-03,368.45,373.22,367.95,372.68,85763
2021-05-04,372.29,378.56,371.59,377.51,149988
2021-05-05,376.87,378.59,373.41,378.51,161283
2021-05-06,379.31,382.49,378.99,381.06,193219
2021-05-07,380.64,384.6,380.64,383.29,117929
2021-05-10,384.95,390.81,384.14,386.46,146264
2021-05-11,386.38,386.95,376.97,378.04,178663
2021-05-12,374.69,376.79,371.46,372.03,136863
2021-05-13,372.45,379.01,371.22,375.02,141668
2021-05-14,376.97,378.71,374.97,376.25,86864
2021-05-17,375.83,378.31,375.04,375.04,57106
2021-05-18,375.99,379.0,373.14,376.51,60120
2021-05-19,375.49,376.85,371.17,376.13,72943
2021-05-20,376.33,379.79,374.81,374.9,58501
2021-05-21,378.17,383.97,376.83,377.28,103960
2021-05-24,378.88,379.6,376.3,377.28,67996
2021-05-25,377.27,379.8,375.43,379.17,89180
2021-05-26,379.09,381.07,377.26,379.22,93491
2021-05-27,380.17,380.87,376.83,379.22,52546
2021-05-28,379.67,381.35,376.36,378.15,195328
