date,open,high,low,close,volume
2020-07-27,153.96,157.08,153.54,155.05,95187
2020-07-28,154.55,155.13,152.56,152.86,99122
2020-07-29,152.88,156.3,152.88,155.91,55314
2020-07-30,153.7,153.81,151.12,151.34,221475
2020-07-31,151.0,152.07,146.87,151.83,167419
2020-08-03,152.37,152.82,150.53,150.83,63703
2020-08-04,150.4,152.11,150.39,152.11,41130
2020-08-05,152.82,155.97,152.82,155.52,223387
2020-08-06,155.69,158.24,155.41,157.34,93908
2020-08-07,157.22,160.3,157.06,160.26,73091
2020-08-10,160.92,164.09,160.92,163.66,79696
2020-08-11,166.1,169.91,166.1,166.85,144159
2020-08-12,168.37,169.57,167.17,168.25,125615
2020-08-13,166.47,167.9,165.76,166.27,90572
2020-08-14,165.89,169.66,165.89,168.25,101274
2020-08-17,168.73,170.95,168.68,169.84,59511
2020-08-18,170.07,170.19,167.11,167.13,63302
2020-08-19,167.99,168.37,167.15,167.32,105944
2020-08-20,165.92,167.03,165.24,166.41,53881
2020-08-21,166.1,168.05,165.59,167.92,78690
2020-08-24,168.49,168.87,167.51,168.69,54512
2020-08-25,169.33,170.95,169.07,170.74,70560
2020-08-26,169.85,171.08,168.57,170.19,39150
2020-08-27,170.58,171.49,170.31,170.36,28015
2020-08-28,170.44,172.28,169.98,171.87,74660
2020-08-31,171.66,172.79,169.16,169.36,66231
2020-09-01,168.88,172.47,168.54,172.45,72163
2020-09-02,173.21,173.83,171.23,172.78,226804
2020-09-03,174.11,174.11,166.73,167.85,227248
2020-09-04,169.53,170.97,166.21,168.33,344216
2020-09-08,167.69,168.63,166.02,166.1,96402
2020-09-09,167.48,171.65,167.48,169.99,111199
2020-09-10,170.55,171.37,169.44,170.23,93530
2020-09-11,170.97,173.77,170.97,172.6,50473
2020-09-14,173.76,176.01,173.38,175.13,76684
2020-09-15,176.42,178.5,175.97,178.23,121197
2020-09-16,179.42,181.06,177.15,177.25,128631
2020-09-17,175.59,178.93,173.81,177.48,71429
2020-09-18,178.03,180.11,176.01,176.01,84080
2020-09-21,172.76,173.35,168.04,170.83,99062
2020-09-22,171.37,174.37,171.05,173.79,66205
2020-09-23,174.51,176.75,170.57,171.14,93224
2020-09-24,170.95,174.53,170.07,172.23,67097
2020-09-25,171.94,175.7,171.56,174.52,68707
2020-09-28,177.49,177.93,175.45,175.45,103707
2020-09-29,175.69,176.26,173.25,173.66,104719
2020-09-30,174.17,178.01,172.95,173.5,181268
2020-10-01,174.39,174.39,169.23,170.98,197528
2020-10-02,168.49,174.85,168.3,172.89,165449
2020-10-05,174.47,178.12,174.47,177.25,250242
2020-10-06,178.0,179.67,175.53,175.71,137459
