date,open,high,low,close,volume
2020-07-27,154.29,157.87,153.86,157.46,17763
2020-07-28,155.78,156.47,152.15,152.54,46237
2020-07-29,154.07,157.67,153.01,157.62,74637
2020-07-30,154.14,154.14,148.5,151.08,126852
2020-07-31,150.96,151.17,146.48,149.99,62564
2020-08-03,151.45,154.23,150.23,154.1,40451
2020-08-04,153.58,156.54,153.58,155.12,58769
2020-08-05,156.58,163.88,156.41,163.55,86106
2020-08-06,162.77,163.77,161.41,162.61,20562
2020-08-07,162.03,167.85,162.03,167.14,75913
2020-08-10,168.26,177.57,168.26,174.75,66187
2020-08-11,179.14,179.14,168.71,169.4,69332
2020-08-12,170.73,174.04,170.21,172.18,17911
2020-08-13,172.96,175.24,171.77,172.25,12024
2020-08-14,171.7,175.26,171.65,173.01,38400
2020-08-17,173.21,174.83,172.46,172.79,22985
2020-08-18,172.96,172.96,169.95,170.12,13087
2020-08-19,170.08,171.61,169.1,169.13,21812
2020-08-20,167.48,169.43,167.35,168.67,20876
2020-08-21,168.52,169.45,167.69,168.78,12606
2020-08-24,170.5,173.88,169.28,170.58,37418
2020-08-25,171.88,172.18,169.02,170.51,9527
2020-08-26,169.02,172.32,167.91,171.3,40898
2020-08-27,171.42,173.5,171.3,172.59,15492
2020-08-28,172.79,176.26,172.79,176.23,35431
2020-08-31,175.42,175.42,170.74,170.74,24312
2020-09-01,170.23,176.62,169.11,175.91,32537
2020-09-02,175.7,178.65,171.46,178.02,41455
2020-09-03,176.55,176.92,165.94,168.22,57465
2020-09-04,171.28,172.51,164.96,169.96,32697
2020-09-08,165.81,169.94,164.24,166.33,21286
2020-09-09,167.82,171.05,167.82,169.67,18029
2020-09-10,169.46,169.95,165.39,165.87,22806
2020-09-11,166.41,169.08,166.28,168.55,22322
2020-09-14,170.24,171.94,168.78,170.48,10480
2020-09-15,171.21,172.5,169.4,170.26,14102
2020-09-16,169.27,176.51,169.27,174.92,20971
2020-09-17,170.37,177.42,170.02,174.36,32815
2020-09-18,174.41,174.41,167.5,170.0,44079
2020-09-21,163.31,163.31,158.61,161.52,28033
2020-09-22,162.33,162.33,159.59,161.92,23020
2020-09-23,161.92,164.62,155.98,156.07,29461
2020-09-24,154.66,161.97,153.71,160.62,58119
2020-09-25,158.79,163.55,158.79,162.37,9917
2020-09-28,165.22,171.59,165.22,169.22,22934
2020-09-29,169.4,170.23,165.38,167.94,75576
2020-09-30,169.8,172.73,165.82,168.24,41623
2020-10-01,169.73,169.87,165.82,169.07,61409
2020-10-02,166.5,179.55,166.5,178.39,92015
