date,open,high,low,close,volume
2020-07-27,186.99,189.26,186.01,188.58,88135
2020-07-28,189.43,190.83,188.44,188.44,189788
2020-07-29,184.89,190.42,184.89,190.05,348213
2020-07-30,186.44,188.14,183.97,185.7,274752
2020-07-31,186.21,186.24,181.43,182.28,1022030
2020-08-03,183.45,184.94,182.14,182.49,695843
2020-08-04,182.98,184.72,182.02,184.11,363772
2020-08-05,185.2,189.7,184.95,187.82,286856
2020-08-06,187.67,190.46,186.55,190.42,224763
2020-08-07,189.36,189.51,187.17,187.78,115616
2020-08-10,188.07,189.68,187.04,188.43,136022
2020-08-11,189.19,194.19,188.16,189.36,248748
2020-08-12,190.5,191.71,189.88,190.28,107035
2020-08-13,189.77,191.67,189.01,189.57,551686
2020-08-14,189.07,189.91,187.77,188.4,70823
2020-08-17,189.06,192.18,188.95,191.3,108563
2020-08-18,191.82,191.84,188.8,190.73,298743
2020-08-19,190.84,194.44,190.75,192.55,239625
2020-08-20,191.46,196.02,191.46,195.79,239482
2020-08-21,196.05,196.71,195.08,195.74,115256
2020-08-24,196.61,197.87,196.33,197.87,158489
2020-08-25,198.57,199.61,197.12,199.59,127003
2020-08-26,199.68,202.07,198.91,201.64,144291
2020-08-27,202.44,203.42,200.58,202.31,263920
2020-08-28,203.18,207.29,202.86,206.83,166660
2020-08-31,207.05,207.06,202.92,203.36,165867
2020-09-01,203.41,204.87,202.82,204.67,175656
2020-09-02,205.24,208.29,205.01,207.77,206396
2020-09-03,205.89,205.89,198.64,200.34,165239
2020-09-04,200.01,201.84,192.02,196.24,158764
2020-09-08,192.9,193.85,191.21,191.75,131649
2020-09-09,195.82,197.79,193.77,195.72,260642
2020-09-10,196.52,198.46,192.3,193.27,120717
2020-09-11,193.98,193.98,190.87,192.45,273383
2020-09-14,195.09,197.9,194.98,196.69,278056
2020-09-15,198.2,199.64,196.4,197.14,106569
2020-09-16,198.1,199.21,196.62,196.62,141723
2020-09-17,193.91,197.13,193.91,196.9,220598
2020-09-18,196.56,197.04,193.54,194.2,127862
2020-09-21,191.83,192.82,186.87,189.32,208948
2020-09-22,189.95,192.44,188.75,192.36,253326
2020-09-23,192.62,192.62,186.6,187.36,127683
2020-09-24,186.81,189.54,185.28,187.52,187699
2020-09-25,186.69,189.99,185.68,189.16,100460
2020-09-28,192.36,193.32,191.71,191.87,120607
2020-09-29,192.44,194.07,191.26,191.29,219756
2020-09-30,192.48,194.22,190.73,191.55,708604
2020-10-01,193.75,196.74,193.44,195.1,418036
2020-10-02,191.33,194.41,191.3,193.01,218378
2020-10-05,194.43,195.29,192.82,195.28,203037
2020-10-06,195.63,196.68,191.58,192.1,245372
2020-10-07,193.83,194.45,191.79,194.28,455439
2020-10-08,195.25,195.9,193.93,194.73,206553
2020-10-09,195.61,198.54,195.35,198.14,323169
2020-10-12,198.16,199.4,197.34,197.98,307515
2020-10-13,195.03,196.72,194.74,195.88,285437
2020-10-14,196.37,196.49,192.92,193.79,274229
2020-10-15,192.33,193.55,189.52,191.31,442301
2020-10-16,191.41,194.32,191.4,192.08,342249
2020-10-19,192.82,192.82,188.44,188.66,377727
2020-10-20,189.15,191.43,188.66,189.59,248377
2020-10-21,189.85,192.14,189.78,190.31,209293
2020-10-22,191.1,191.49,187.74,189.82,198560
2020-10-23,191.64,191.64,188.03,189.89,198198
2020-10-26,187.89,188.33,182.97,185.11,424946
2020-10-27,185.09,185.68,181.46,182.27,487554
2020-10-28,175.72,176.1,172.0,173.43,1003751
2020-10-29,175.52,179.26,172.04,177.27,1045656
2020-10-30,175.18,176.64,171.9,174.2,494260
2020-11-02,176.95,179.21,176.36,177.05,526781
2020-11-03,179.3,181.72,177.63,180.62,619995
2020-11-04,184.83,188.8,183.69,185.84,451178
