date,open,high,low,close,volume
2023-10-02,82.57,88.03,81.11,84.31,1472171
2023-10-03,81.52,82.34,75.21,76.67,1187849
2023-10-04,76.12,79.63,75.62,77.62,612507
2023-10-05,74.68,74.93,71.95,73.54,1212754
2023-10-06,72.72,77.61,72.6,77.13,1009436
2023-10-09,75.96,77.15,72.99,73.78,921869
2023-10-10,73.16,74.69,71.78,74.19,770995
2023-10-11,73.4,75.73,72.93,73.63,520595
2023-10-12,72.95,74.42,72.08,73.46,528371
2023-10-13,73.05,73.19,69.74,71.07,720103
2023-10-16,71.05,74.03,71.05,73.29,780784
2023-10-17,72.45,74.31,72.35,73.68,335728
2023-10-18,72.41,73.06,71.5,71.7,357004
2023-10-19,70.9,71.72,69.22,69.5,207943
2023-10-20,69.62,69.88,68.19,69.16,399914
2023-10-23,68.55,71.62,66.96,71.15,601602
2023-10-24,71.47,72.69,71.03,71.37,369721
2023-10-25,70.7,71.44,69.05,69.99,445605
2023-10-26,65.8,71.29,65.43,69.24,459379
2023-10-27,68.03,68.68,67.03,67.28,468031
2023-10-30,67.78,68.57,66.74,67.66,446370
2023-10-31,68.05,68.76,66.93,68.29,303434
2023-11-01,68.02,68.41,66.76,66.77,265520
2023-11-02,67.26,69.76,66.25,69.56,262165
2023-11-03,69.51,70.32,68.45,70.02,159802
2023-11-06,69.09,69.09,67.34,67.5,177428
2023-11-07,66.79,69.46,66.75,69.32,165473
2023-11-08,68.82,69.49,68.8,69.08,200554
2023-11-09,68.94,69.54,68.77,68.9,175623
2023-11-10,68.57,70.01,68.57,69.8,82692
2023-11-13,69.72,72.39,69.72,72.2,303554
2023-11-14,73.11,73.2,72.26,72.86,264525
2023-11-15,72.48,73.8,72.28,73.22,244607
2023-11-16,72.04,72.27,69.85,70.11,130406
2023-11-17,69.92,70.48,69.37,70.23,118561
2023-11-20,70.03,70.45,69.83,69.98,81140
2023-11-21,69.92,71.99,69.7,71.54,136720
2023-11-22,72.07,73.02,71.63,72.21,119902
2023-11-24,71.78,73.31,71.78,73.25,70705
2023-11-27,73.09,73.09,72.27,72.7,81924
2023-11-28,72.13,73.7,72.13,72.53,76569
2023-11-29,72.56,74.42,72.56,73.41,137320
2023-11-30,73.98,76.76,73.98,76.41,248441
2023-12-01,75.77,76.28,75.19,75.73,55759
2023-12-04,75.38,75.98,74.67,74.96,99278
2023-12-05,74.76,75.29,74.48,74.74,72184
2023-12-06,75.25,75.25,74.23,75.06,105476
2023-12-07,75.15,75.43,73.82,73.82,82581
2023-12-08,73.97,74.78,73.48,74.62,33728
2023-12-11,74.03,76.48,73.98,75.95,58380
2023-12-12,75.77,77.01,74.97,76.61,84092
