date,open,high,low,close,volume
2020-07-27,120.35,122.13,120.05,121.91,34454
2020-07-28,120.35,120.64,114.5,114.73,79333
2020-07-29,115.15,116.12,114.45,115.25,56317
2020-07-30,113.9,115.09,113.11,114.13,28529
2020-07-31,114.18,114.18,109.4,111.85,55804
2020-08-03,111.79,113.31,110.15,112.14,112747
2020-08-04,113.15,118.9,112.89,118.31,218311
2020-08-05,119.27,122.28,118.27,120.44,91868
2020-08-06,119.47,121.22,119.47,120.35,60841
2020-08-07,119.8,124.4,119.8,123.76,48764
2020-08-10,124.92,126.28,124.45,125.72,46297
2020-08-11,127.56,129.34,126.44,126.82,49324
2020-08-12,127.03,127.41,124.49,125.72,59755
2020-08-13,124.44,125.46,122.91,123.41,12645
2020-08-14,122.78,124.5,122.78,123.6,7770
2020-08-17,123.44,124.7,123.34,123.74,47037
2020-08-18,124.84,124.87,122.59,122.85,42391
2020-08-19,121.96,123.32,121.0,121.22,27656
2020-08-20,120.06,120.72,119.71,120.36,10634
2020-08-21,120.42,120.42,119.19,120.09,41138
2020-08-24,120.44,120.58,118.44,119.03,66415
2020-08-25,119.76,119.76,116.94,118.97,57377
2020-08-26,117.85,117.88,115.97,117.32,44609
2020-08-27,118.36,119.89,118.31,118.38,34047
2020-08-28,118.77,118.77,116.05,117.33,42242
2020-08-31,116.61,116.61,114.53,114.65,23154
2020-09-01,114.0,116.68,114.0,116.68,44001
2020-09-02,116.33,120.25,115.03,119.72,39608
2020-09-03,120.14,121.17,116.88,118.24,49994
2020-09-04,119.29,120.39,117.95,119.52,32935
2020-09-08,118.33,118.75,116.29,116.94,58875
2020-09-09,116.79,116.9,114.4,116.22,47761
2020-09-10,116.75,118.97,116.28,117.76,18876
2020-09-11,118.07,123.5,117.41,120.26,58706
2020-09-14,121.28,124.83,120.74,124.42,28843
2020-09-15,124.88,128.03,124.88,125.49,44081
2020-09-16,125.93,128.4,123.98,127.18,33815
2020-09-17,125.25,128.08,124.07,127.66,23123
2020-09-18,127.88,128.46,125.38,125.43,32997
2020-09-21,122.04,122.04,119.03,120.79,13119
2020-09-22,122.1,123.15,120.75,122.53,20188
2020-09-23,123.43,125.92,120.69,120.69,93259
2020-09-24,120.51,124.46,120.35,122.69,33883
2020-09-25,121.61,125.22,121.61,124.61,32967
2020-09-28,125.98,129.42,125.98,127.54,33146
2020-09-29,127.39,127.45,125.27,126.61,29480
2020-09-30,127.45,130.23,127.45,129.5,83091
2020-10-01,130.1,132.48,127.74,128.26,74999
2020-10-02,127.15,131.73,127.15,130.68,109674
2020-10-05,131.96,137.08,131.96,135.13,148958
2020-10-06,136.11,140.39,134.42,134.89,111188
2020-10-07,137.73,140.89,136.88,139.88,64900
2020-10-08,141.89,146.84,141.89,146.05,125769
2020-10-09,146.53,146.53,142.7,143.9,83435
2020-10-12,144.7,145.26,141.45,143.27,47019
2020-10-13,138.73,140.31,137.92,139.35,116345
2020-10-14,139.73,141.69,139.55,140.99,59777
2020-10-15,139.28,140.09,137.35,139.15,66876
2020-10-16,139.83,141.09,139.56,139.72,48909
2020-10-19,140.07,140.14,137.76,139.02,50212
2020-10-20,139.96,141.34,137.63,138.94,38611
2020-10-21,138.08,140.46,137.71,138.19,38053
2020-10-22,137.3,139.31,137.3,138.29,42862
2020-10-23,139.51,139.51,137.32,138.77,72434
2020-10-26,136.91,137.51,133.74,134.58,63959
2020-10-27,134.86,136.37,134.39,135.68,75763
2020-10-28,133.07,133.07,130.24,131.11,72408
2020-10-29,131.24,139.13,131.24,137.01,79166
2020-10-30,136.07,139.16,134.94,138.23,48702
2020-11-02,139.59,142.84,139.45,142.66,59131
2020-11-03,143.14,144.29,141.57,143.42,79708
2020-11-04,135.04,136.27,125.45,130.19,184494
2020-11-05,126.83,134.34,126.45,131.17,175653
2020-11-06,129.99,135.2,126.8,128.45,78163
2020-11-09,136.68,137.81,127.45,129.54,148869
2020-11-10,130.72,138.34,130.72,133.54,95100
2020-11-11,133.96,135.39,131.62,135.29,44448
2020-11-12,134.98,134.98,131.05,132.73,82390
2020-11-13,133.59,135.89,130.88,131.7,66584
2020-11-16,134.84,137.38,132.19,135.13,44441
2020-11-17,134.56,135.31,132.83,134.51,48752
2020-11-18,134.22,136.47,133.29,135.03,32800
2020-11-19,133.03,136.11,132.42,134.24,43538
2020-11-20,133.15,133.71,129.66,133.38,41828
2020-11-23,135.13,135.58,132.14,132.9,55570
2020-11-24,134.46,139.1,134.15,138.64,52802
2020-11-25,136.46,138.53,135.28,137.77,29436
2020-11-27,138.21,138.21,134.49,136.22,15590
2020-11-30,135.93,135.93,132.01,133.62,46808
2020-12-01,135.37,138.94,135.12,137.24,60188
2020-12-02,136.39,137.55,134.67,134.85,26823
2020-12-03,134.55,139.43,133.05,138.38,65266
2020-12-04,138.05,140.39,138.05,140.13,25044
2020-12-07,139.38,140.03,138.42,139.7,36747
2020-12-08,138.47,139.85,138.04,138.25,27312
2020-12-09,137.36,137.43,134.49,135.66,75048
2020-12-10,134.88,134.88,131.44,131.83,98171
2020-12-11,131.94,133.44,131.31,132.92,29262
2020-12-14,133.29,133.55,129.6,129.86,31682
2020-12-15,130.31,131.96,128.85,131.49,28357
2020-12-16,133.0,133.0,130.39,131.78,42659
2020-12-17,132.39,133.76,131.95,133.57,23691
2020-12-18,133.28,139.42,133.28,138.89,58221
2020-12-21,135.84,140.42,135.76,138.31,60249
2020-12-22,138.09,139.57,136.51,137.18,30356
2020-12-23,137.04,137.57,135.25,136.72,29870
2020-12-24,135.77,137.06,135.7,136.81,5052
2020-12-28,137.35,141.48,137.35,139.91,27819
2020-12-29,139.89,139.89,136.1,136.6,38894
2020-12-30,137.86,141.0,137.86,140.27,27926
2020-12-31,138.47,142.33,138.47,141.94,37219
2021-01-04,142.84,144.11,139.4,140.25,32087
2021-01-05,140.84,141.49,139.46,141.14,32963
2021-01-06,149.41,155.92,148.83,153.75,157846
2021-01-07,155.42,156.68,152.92,155.13,62129
2021-01-08,155.13,157.04,153.21,155.84,46891
2021-01-11,153.76,157.03,153.41,156.09,50862
2021-01-12,156.12,160.94,155.65,158.96,57332
2021-01-13,158.39,158.39,154.07,154.63,46196
2021-01-14,155.36,155.68,153.26,153.55,42368
2021-01-15,152.11,154.35,150.53,153.95,37164
2021-01-19,153.76,153.76,151.65,152.04,44507
2021-01-20,152.55,154.05,152.47,153.9,48600
2021-01-21,153.45,155.21,151.33,152.05,35836
2021-01-22,150.32,152.11,149.55,151.64,38281
2021-01-25,150.7,150.79,148.46,149.98,37581
2021-01-26,150.42,150.42,143.76,144.0,40570
2021-01-27,141.61,142.19,137.25,139.82,49875
2021-01-28,141.04,143.5,141.04,142.43,39721
2021-01-29,141.05,144.07,140.0,142.73,49601
2021-02-01,144.59,145.79,142.27,145.55,29195
2021-02-02,146.76,148.33,145.36,145.36,30168
2021-02-03,145.53,147.24,145.51,145.96,16525
2021-02-04,145.44,148.47,144.78,146.8,35714
2021-02-05,147.19,147.31,145.7,146.33,30480
2021-02-08,147.47,149.45,146.24,147.47,24750
2021-02-09,147.78,150.87,146.97,148.77,26990
2021-02-10,150.21,154.04,148.68,152.33,40944
2021-02-11,152.92,154.45,151.92,153.16,48254
2021-02-12,152.19,157.59,152.19,157.4,56483
2021-02-16,153.76,160.3,152.89,155.5,59876
2021-02-17,153.16,155.23,151.17,155.07,47160
2021-02-18,153.95,154.96,152.57,153.59,39143
2021-02-19,154.97,158.1,154.97,157.34,56334
2021-02-22,156.41,157.46,154.6,154.9,42157
2021-02-23,155.98,159.41,152.87,158.83,57248
2021-02-24,158.83,167.43,158.83,166.64,111996
2021-02-25,166.08,166.34,160.32,161.2,37058
2021-02-26,160.85,161.97,157.75,160.59,73761
2021-03-01,163.15,166.68,163.15,164.85,30750
2021-03-02,165.35,165.82,161.73,162.01,48675
2021-03-03,162.27,164.68,162.27,163.36,76790
2021-03-04,162.74,164.1,155.98,159.19,58396
2021-03-05,161.34,161.34,154.62,160.35,69028
2021-03-08,161.63,165.32,160.52,162.16,47684
2021-03-09,162.43,162.61,159.56,161.11,37711
2021-03-10,160.9,165.35,160.9,164.31,29185
2021-03-11,164.61,167.41,163.66,164.85,40976
2021-03-12,164.94,165.57,163.29,164.89,18180
2021-03-15,164.92,165.36,162.05,165.28,35939
2021-03-16,164.32,164.64,161.29,161.58,31117
2021-03-17,161.2,163.48,159.87,161.73,42293
2021-03-18,162.14,164.15,160.15,161.06,67974
2021-03-19,158.97,160.64,158.24,158.44,46133
2021-03-22,157.73,157.73,154.42,155.45,58531
2021-03-23,154.82,154.82,151.36,151.96,57767
2021-03-24,153.33,156.64,153.33,154.09,25867
2021-03-25,153.97,160.19,152.26,158.96,64809
2021-03-26,161.48,163.45,159.72,163.45,29874
2021-03-29,164.27,166.19,162.18,163.73,46841
2021-03-30,164.08,167.96,163.82,165.16,41920
2021-03-31,167.52,168.73,160.4,162.07,68341
2021-04-01,161.02,162.43,157.51,159.55,96994
2021-04-05,161.94,163.72,161.42,163.4,61648
2021-04-06,163.63,163.65,161.88,163.55,55734
2021-04-07,164.3,164.49,161.19,162.09,35231
2021-04-08,160.75,163.55,159.09,163.43,36042
2021-04-09,163.6,165.56,163.09,165.36,51499
2021-04-12,166.39,167.48,165.07,167.17,51209
