date,open,high,low,close,volume
2020-07-27,115.43,115.89,113.81,115.75,19986
2020-07-28,114.42,115.76,113.55,113.67,15422
2020-07-29,113.97,115.22,113.83,114.76,20224
2020-07-30,113.02,114.26,111.42,113.91,18736
2020-07-31,113.75,114.95,112.32,114.95,26000
2020-08-03,114.75,118.31,114.21,117.39,34988
2020-08-04,117.13,117.57,116.19,117.54,17991
2020-08-05,118.55,119.92,117.57,119.67,33730
2020-08-06,119.62,119.62,117.51,118.41,28008
2020-08-07,117.91,118.07,115.62,116.71,26959
2020-08-10,116.5,116.97,114.28,116.05,26693
2020-08-11,116.62,117.53,115.5,115.72,19514
2020-08-12,116.11,116.11,114.31,115.53,29585
2020-08-13,114.42,114.53,112.65,112.65,47151
2020-08-14,113.16,113.2,110.81,111.28,35638
2020-08-17,112.64,113.81,111.15,111.78,33542
2020-08-18,112.4,114.04,112.32,113.86,56812
2020-08-19,114.6,115.49,113.67,114.23,24382
2020-08-20,113.66,114.14,112.7,113.99,36732
2020-08-21,113.69,114.38,112.82,113.85,29241
2020-08-24,115.53,116.75,114.91,116.68,44602
2020-08-25,117.41,118.1,114.22,115.41,28850
2020-08-26,117.3,118.16,116.26,117.57,62680
2020-08-27,118.89,120.27,116.36,117.26,87578
2020-08-28,117.59,121.1,114.54,119.82,70331
2020-08-31,120.14,123.18,117.18,118.54,62825
2020-09-01,117.5,117.5,115.62,115.9,88749
2020-09-02,116.49,120.97,116.17,120.55,59859
2020-09-03,119.71,121.49,115.31,118.19,77419
2020-09-04,116.63,117.56,111.61,112.79,69765
2020-09-08,109.95,112.57,109.18,110.41,76805
2020-09-09,112.24,116.1,111.7,114.96,73377
2020-09-10,115.48,117.26,113.84,114.71,56784
2020-09-11,116.05,117.39,114.94,116.68,35872
2020-09-14,117.55,119.32,115.37,115.62,16176
2020-09-15,116.75,117.86,116.57,117.37,20833
2020-09-16,118.44,120.78,118.38,118.82,85853
2020-09-17,116.99,117.45,114.99,116.01,50017
2020-09-18,116.01,117.04,114.69,115.83,39521
2020-09-21,114.04,115.22,112.73,114.92,39971
2020-09-22,115.5,117.15,113.77,117.03,23895
2020-09-23,116.89,117.6,114.03,114.11,31581
2020-09-24,113.68,115.83,113.31,115.21,24891
2020-09-25,115.49,116.31,114.46,116.19,26154
2020-09-28,117.04,118.2,116.91,117.29,18617
2020-09-29,118.38,121.64,117.94,119.63,63586
2020-09-30,118.31,120.35,117.29,117.95,31151
2020-10-01,118.95,120.05,118.34,118.67,37761
2020-10-02,115.99,119.41,115.76,117.32,47554
2020-10-05,118.52,119.68,118.14,118.99,46817
2020-10-06,119.14,121.81,118.94,120.78,53227
2020-10-07,121.44,122.27,120.6,121.21,46920
2020-10-08,121.71,124.0,121.58,123.2,50815
2020-10-09,124.13,125.33,123.5,124.22,48493
2020-10-12,124.68,125.89,124.3,124.88,50566
2020-10-13,125.57,127.95,125.42,127.32,51773
2020-10-14,127.95,129.13,126.8,127.65,49174
2020-10-15,125.07,127.35,124.9,125.66,63808
2020-10-16,126.44,127.92,125.2,125.2,52300
2020-10-19,125.88,126.47,122.48,122.9,66806
2020-10-20,123.84,124.3,122.63,122.63,36658
2020-10-21,122.4,123.99,122.11,122.83,32761
2020-10-22,122.97,122.97,119.62,121.1,53209
2020-10-23,121.47,123.35,121.19,122.29,35800
2020-10-26,120.16,120.16,114.98,116.97,102752
2020-10-27,117.09,117.09,114.07,114.07,61835
2020-10-28,111.75,111.75,106.41,106.51,128966
2020-10-29,106.35,107.13,105.58,106.54,124156
2020-10-30,105.85,106.82,104.12,105.57,46264
2020-11-02,106.25,107.76,104.0,104.17,102011
2020-11-03,104.72,108.83,104.72,108.35,53038
2020-11-04,110.2,111.34,108.57,109.72,49001
2020-11-05,112.82,115.64,112.77,115.6,76810
2020-11-06,115.47,115.99,114.17,115.08,51303
2020-11-09,119.52,119.86,115.69,115.7,111283
2020-11-10,115.82,116.07,112.28,114.85,69034
2020-11-11,116.12,116.93,115.09,115.35,99134
2020-11-12,114.82,115.64,113.0,113.57,34441
2020-11-13,114.59,116.82,114.34,116.36,43797
2020-11-16,116.43,118.61,116.08,118.53,56667
2020-11-17,118.73,119.92,118.4,119.84,56415
2020-11-18,120.55,122.41,120.28,120.71,76995
2020-11-19,120.01,122.23,119.44,121.98,43437
2020-11-20,122.81,122.81,121.11,121.22,84889
2020-11-23,121.96,122.92,120.1,122.2,68517
2020-11-24,122.45,123.94,121.25,123.43,103938
2020-11-25,118.94,120.01,114.6,116.22,269131
2020-11-27,116.48,117.52,115.9,116.63,53321
2020-11-30,117.17,117.49,114.43,114.61,128453
2020-12-01,115.94,116.39,114.67,115.4,120485
2020-12-02,115.4,116.74,115.03,115.81,48439
2020-12-03,116.4,117.05,114.94,115.24,56160
2020-12-04,115.11,116.24,114.58,114.99,46715
2020-12-07,115.36,115.75,113.91,114.34,61710
2020-12-08,114.78,116.69,114.11,116.68,70752
2020-12-09,116.15,116.77,113.79,115.74,175919
2020-12-10,114.84,116.72,114.51,116.36,92134
2020-12-11,115.21,116.4,114.87,116.35,103920
2020-12-14,116.48,119.32,116.48,117.86,61554
2020-12-15,117.97,119.49,117.31,118.73,70434
2020-12-16,119.25,119.68,117.96,118.43,39954
2020-12-17,119.41,121.7,118.84,121.5,99877
2020-12-18,121.77,122.42,112.95,114.98,132106
2020-12-21,112.81,117.79,111.92,116.68,87466
2020-12-22,116.86,117.19,115.28,115.28,49998
2020-12-23,115.89,118.12,115.56,116.63,57159
2020-12-24,116.12,117.35,115.79,117.26,26587
2020-12-28,117.82,117.82,116.01,116.53,37550
2020-12-29,117.37,117.91,114.07,114.34,40581
2020-12-30,114.64,115.35,113.28,113.3,36657
2020-12-31,113.32,115.67,112.89,115.05,39870
2021-01-04,114.74,114.96,111.47,113.61,86903
2021-01-05,113.69,114.9,113.0,114.71,30828
2021-01-06,113.78,116.36,113.46,114.4,59140
2021-01-07,114.83,118.27,114.83,118.24,41211
2021-01-08,118.3,118.94,115.82,117.22,65800
2021-01-11,115.3,117.04,114.3,116.09,71042
2021-01-12,115.81,118.81,115.81,117.25,63555
2021-01-13,111.28,112.9,107.98,109.34,368361
2021-01-14,108.5,112.0,108.37,111.22,133175
2021-01-15,111.43,112.64,110.01,110.6,73918
2021-01-19,111.08,111.26,108.46,108.52,98369
2021-01-20,109.5,110.03,108.12,108.82,162671
2021-01-21,108.14,110.68,107.08,110.03,258617
2021-01-22,109.05,110.78,107.74,110.33,59654
2021-01-25,111.09,112.3,108.87,111.64,87650
2021-01-26,112.4,115.95,110.9,115.3,77191
2021-01-27,114.02,120.55,114.02,119.26,182652
2021-01-28,119.07,120.24,113.94,115.01,149845
2021-01-29,115.31,117.09,112.65,113.04,65048
2021-02-01,113.66,114.67,112.01,112.79,69149
2021-02-02,116.18,117.96,115.89,117.26,116549
2021-02-03,117.1,118.93,116.56,116.93,65481
2021-02-04,117.66,119.64,116.94,118.55,46199
2021-02-05,119.36,120.19,118.82,119.56,24963
2021-02-08,119.96,122.0,119.96,120.42,43930
2021-02-09,120.11,121.88,120.1,121.13,60291
2021-02-10,121.07,121.59,118.88,120.23,125736
2021-02-11,118.54,119.18,116.56,117.01,76870
2021-02-12,116.49,119.41,116.36,119.02,57394
2021-02-16,120.08,120.51,116.4,117.56,65460
2021-02-17,116.22,116.46,114.87,115.9,65703
2021-02-18,115.9,117.57,114.4,116.9,66032
2021-02-19,116.97,118.74,116.61,118.68,39463
2021-02-22,117.68,120.68,116.99,118.11,69036
2021-02-23,117.2,118.27,114.62,118.27,88773
2021-02-24,118.3,120.83,118.3,120.43,75604
2021-02-25,120.09,120.93,117.05,117.77,108839
2021-02-26,116.48,118.24,113.13,113.41,124022
2021-03-01,113.42,116.81,113.36,115.27,118781
2021-03-02,115.37,115.73,114.06,114.26,51451
2021-03-03,114.02,114.68,112.97,114.07,65204
2021-03-04,114.02,114.8,111.56,114.09,114210
2021-03-05,115.28,118.16,113.85,118.11,118446
2021-03-08,117.91,121.31,117.47,117.6,105388
2021-03-09,119.5,121.09,118.3,118.36,70744
2021-03-10,118.94,120.13,117.6,119.62,48590
2021-03-11,120.92,122.34,120.39,120.87,67181
2021-03-12,120.26,121.71,120.06,121.56,62614
2021-03-15,121.4,122.56,120.95,122.56,68000
2021-03-16,122.32,123.27,120.75,121.34,67165
2021-03-17,121.01,123.62,120.99,122.94,85502
2021-03-18,122.25,122.87,120.17,120.51,45810
2021-03-19,120.99,121.7,119.51,119.96,73958
2021-03-22,119.26,120.78,119.26,119.82,52353
2021-03-23,119.9,120.69,118.37,118.65,41601
2021-03-24,118.95,120.17,118.49,118.53,75243
2021-03-25,117.54,120.24,117.19,120.22,87792
2021-03-26,120.44,126.28,120.44,126.28,139272
2021-03-29,125.48,128.41,124.29,126.74,92621
2021-03-30,126.25,127.31,123.02,123.03,60222
2021-03-31,123.78,124.35,122.3,123.54,39699
2021-04-01,124.25,125.02,123.75,124.94,55241
2021-04-05,124.45,126.32,124.35,125.11,26980
2021-04-06,124.56,124.56,123.19,123.66,48404
2021-04-07,124.15,128.11,124.15,125.92,36227
2021-04-08,126.12,126.12,123.29,125.21,34059
2021-04-09,125.33,126.49,125.33,126.37,20635
2021-04-12,125.9,127.83,125.9,126.91,23744
2021-04-13,127.08,127.78,126.34,126.63,18025
2021-04-14,127.01,129.25,126.76,127.58,36528
2021-04-15,128.87,133.61,126.11,131.33,233210
2021-04-16,131.48,135.34,131.48,134.52,158684
2021-04-20,138.47,138.47,135.61,135.93,126278
2021-04-21,136.11,137.58,135.94,136.34,50318
2021-04-22,135.01,136.15,133.73,134.91,78202
2021-04-23,134.66,137.24,134.28,135.89,50795
2021-04-26,136.19,136.19,132.7,132.74,41072
2021-04-27,133.08,134.23,133.0,133.55,68333
2021-04-28,133.15,133.26,131.11,131.69,38620
2021-04-29,134.03,134.4,132.02,133.17,19455
