date,open,high,low,close,volume
2020-07-27,175.56,176.72,174.45,176.47,47330
2020-07-28,176.3,177.88,175.51,175.8,63628
2020-07-29,177.51,181.46,177.13,180.8,58079
2020-07-30,178.67,180.5,177.49,180.33,22340
2020-07-31,180.51,181.83,178.14,181.65,20016
2020-08-03,182.89,182.9,179.89,180.3,43228
2020-08-04,180.36,181.45,179.22,180.49,54041
2020-08-05,179.1,181.41,178.53,180.28,34237
2020-08-06,181.13,182.97,180.06,182.63,36751
2020-08-07,182.16,184.19,181.68,184.06,30403
2020-08-10,182.32,183.7,182.18,182.83,17036
2020-08-11,182.66,182.86,180.53,180.62,9711
2020-08-12,182.54,185.32,182.54,183.42,25012
2020-08-13,183.46,184.26,182.83,183.72,7596
2020-08-14,183.4,183.97,181.57,182.12,12353
2020-08-17,182.79,184.14,181.23,182.05,15405
2020-08-18,182.09,182.5,181.53,182.26,26026
2020-08-19,182.54,182.69,179.87,180.47,16582
2020-08-20,179.62,180.32,178.99,179.12,27682
2020-08-21,178.68,178.93,177.62,178.93,25878
2020-08-24,179.45,179.79,177.77,178.28,46905
2020-08-25,178.49,179.22,177.54,179.05,28960
2020-08-26,177.86,180.07,177.86,179.51,37253
2020-08-27,180.53,181.47,178.85,179.78,22040
2020-08-28,178.76,180.52,178.2,180.48,36717
2020-08-31,179.72,180.33,178.14,180.07,27593
2020-09-01,179.81,181.1,179.09,180.78,25912
2020-09-02,181.83,186.5,181.73,185.55,56151
2020-09-03,185.49,185.66,179.04,180.47,30839
2020-09-04,182.04,182.04,175.04,176.05,38850
2020-09-08,173.06,174.01,171.13,171.57,39132
2020-09-09,172.7,177.33,172.7,176.28,13329
2020-09-10,175.93,177.88,173.85,174.81,35977
2020-09-11,175.75,175.78,173.18,175.0,23071
2020-09-14,176.7,179.47,176.58,178.63,26301
2020-09-15,180.04,181.27,179.77,181.22,29120
2020-09-16,181.62,182.82,180.2,180.34,15014
2020-09-17,176.55,179.45,176.4,178.11,19930
2020-09-18,176.13,178.49,173.9,175.31,27133
2020-09-21,173.96,173.96,170.23,172.42,36129
2020-09-22,171.78,174.35,171.78,173.93,32281
2020-09-23,174.04,174.49,170.59,170.86,9051
2020-09-24,170.53,172.42,169.23,170.97,13852
2020-09-25,169.99,175.26,169.77,174.81,22777
2020-09-28,177.15,178.28,176.54,177.79,13585
2020-09-29,178.49,181.33,177.98,177.98,33243
2020-09-30,179.22,180.09,176.79,178.77,45283
2020-10-01,179.56,182.06,178.53,179.09,56694
2020-10-02,177.5,177.51,174.49,175.78,45763
2020-10-05,176.36,176.79,174.29,175.26,30822
2020-10-06,174.87,176.46,173.17,173.67,26557
2020-10-07,175.36,176.71,174.44,176.6,27753
2020-10-08,177.74,178.63,176.98,178.4,22269
2020-10-09,179.14,181.38,178.36,180.58,32637
2020-10-12,182.3,186.81,182.3,186.0,57529
2020-10-13,184.89,188.22,184.89,186.84,36566
2020-10-14,186.03,188.06,184.58,185.03,26949
2020-10-15,183.04,185.74,182.6,185.19,25896
2020-10-16,185.74,187.91,185.41,185.59,17086
2020-10-19,185.53,187.36,181.08,181.9,27254
2020-10-20,182.5,185.57,181.85,183.86,25240
2020-10-21,183.43,184.56,182.06,182.64,42688
2020-10-22,182.65,183.13,181.33,182.27,38012
2020-10-23,183.86,183.86,180.75,182.55,32974
2020-10-26,180.89,181.44,177.67,178.92,33331
2020-10-27,180.61,180.61,178.27,178.56,34508
2020-10-28,175.36,176.68,172.63,173.07,38124
2020-10-29,172.82,174.99,171.33,172.9,36114
2020-10-30,172.35,173.47,169.27,171.73,39777
2020-11-02,175.41,177.21,174.71,175.77,50347
2020-11-03,178.64,182.31,178.48,181.33,62343
2020-11-04,184.74,190.56,182.88,190.0,103506
2020-11-05,195.64,197.0,185.46,187.63,91435
2020-11-06,190.28,191.14,188.35,190.31,50032
2020-11-09,197.91,199.07,189.18,189.18,71148
2020-11-10,187.07,189.71,186.09,188.26,44056
2020-11-11,189.57,193.28,189.15,192.51,31347
2020-11-12,192.57,193.88,190.68,192.13,25720
2020-11-13,193.97,196.69,193.75,196.51,35532
2020-11-16,197.42,198.5,196.5,198.09,35294
2020-11-17,196.58,198.96,196.27,198.06,37427
2020-11-18,197.78,198.78,196.49,196.71,22477
2020-11-19,194.84,199.24,194.84,198.53,18650
2020-11-20,196.51,199.07,196.51,197.14,27209
2020-11-23,196.77,196.95,190.9,191.18,55139
2020-11-24,191.66,192.01,187.65,187.68,68085
2020-11-25,188.8,190.79,187.55,188.76,40249
2020-11-27,189.79,191.72,188.15,191.16,13340
2020-11-30,190.75,193.89,189.74,191.31,37734
2020-12-01,195.54,195.7,192.97,193.32,60306
2020-12-02,193.99,193.99,188.49,189.11,82198
2020-12-03,189.16,189.68,186.69,186.94,31875
2020-12-04,187.27,189.23,187.27,188.72,20417
2020-12-07,188.47,188.96,187.25,187.81,15972
2020-12-08,187.87,188.96,186.95,187.9,29088
2020-12-09,186.33,187.17,184.85,186.64,27566
2020-12-10,185.23,186.81,184.78,185.44,27538
2020-12-11,185.28,187.33,184.96,187.27,18257
2020-12-14,188.24,190.86,188.05,188.05,20934
2020-12-15,189.49,191.72,187.9,189.55,28918
2020-12-16,190.83,191.25,188.83,189.34,18236
2020-12-17,191.23,194.37,190.81,194.37,32222
2020-12-18,195.2,198.0,194.21,197.47,33897
2020-12-21,194.81,196.39,191.6,195.82,24985
2020-12-22,195.01,195.71,194.11,195.01,24113
2020-12-23,195.41,196.08,193.25,193.41,22679
2020-12-24,194.54,194.9,193.18,194.24,15271
2020-12-28,196.11,201.44,195.71,200.99,46022
2020-12-29,202.39,202.74,198.38,198.85,29806
2020-12-30,199.27,200.05,198.19,198.83,16412
2020-12-31,198.63,200.75,198.53,200.57,12134
2021-01-04,201.41,202.38,195.25,196.18,40519
2021-01-05,197.02,197.02,193.36,194.92,20288
2021-01-06,193.46,195.71,192.2,193.16,59849
2021-01-07,194.32,196.07,192.65,194.05,33469
2021-01-08,193.89,195.08,193.05,194.2,32758
2021-01-11,193.77,193.97,190.75,191.23,28578
2021-01-12,190.55,191.05,187.36,190.11,33671
2021-01-13,190.25,191.81,189.34,190.2,43482
2021-01-14,190.7,191.01,185.84,187.31,34973
2021-01-15,186.38,186.61,182.42,183.56,46263
2021-01-19,183.55,185.88,183.23,184.94,34211
2021-01-20,185.53,189.16,184.77,188.22,49166
2021-01-21,186.59,189.5,186.59,188.17,69341
2021-01-22,187.68,188.19,185.71,186.43,24352
2021-01-25,186.01,186.01,182.09,182.26,64881
2021-01-26,181.53,183.93,179.7,182.13,61011
2021-01-27,180.61,181.43,177.03,177.84,70144
2021-01-28,177.2,182.92,176.82,180.16,55345
2021-01-29,178.73,179.51,176.6,177.57,48431
2021-02-01,177.92,180.66,177.62,179.78,28509
2021-02-02,179.98,182.76,179.32,182.34,52646
2021-02-03,181.52,181.95,179.38,180.73,23786
