date,open,high,low,close,volume
2020-07-27,206.22,207.69,204.12,206.71,28509
2020-07-28,205.35,207.16,203.21,203.45,26764
2020-07-29,204.39,207.99,204.39,205.7,53467
2020-07-30,202.57,205.7,201.39,205.28,29207
2020-07-31,205.69,208.47,205.39,208.47,30663
2020-08-03,209.14,209.98,207.99,208.97,15797
2020-08-04,208.74,211.29,208.7,210.97,60497
2020-08-05,211.89,211.95,208.02,208.99,10259
2020-08-06,209.91,210.39,205.75,208.5,23036
2020-08-07,208.02,208.77,205.75,207.28,17635
2020-08-10,206.11,206.11,202.21,203.26,19096
2020-08-11,202.08,203.46,198.6,198.83,21220
2020-08-12,199.5,202.23,199.18,202.05,17685
2020-08-13,203.14,208.42,202.81,207.11,28303
2020-08-14,207.85,207.85,203.78,204.16,27368
2020-08-17,205.53,205.58,203.34,203.65,20591
2020-08-18,205.26,205.83,203.6,203.92,29987
2020-08-19,203.72,204.42,202.79,203.08,20750
2020-08-20,202.34,205.6,202.34,205.12,11022
2020-08-21,204.45,204.45,202.37,203.71,33135
2020-08-24,204.46,204.48,203.05,203.87,13469
2020-08-25,203.49,204.26,202.38,202.67,24797
2020-08-26,203.6,206.15,203.08,205.5,26891
2020-08-27,205.53,206.65,204.16,204.72,15591
2020-08-28,204.65,205.44,203.12,205.09,14275
2020-08-31,206.73,212.45,206.73,211.75,48073
2020-09-01,211.87,212.55,210.22,212.55,30062
2020-09-02,213.98,217.2,213.98,216.63,19734
2020-09-03,216.83,216.83,202.96,204.69,202311
2020-09-04,204.38,204.62,198.07,200.58,44727
2020-09-08,196.23,196.25,192.26,193.7,23197
2020-09-09,196.51,198.61,192.84,197.24,20459
2020-09-10,196.82,197.86,192.52,195.03,44495
2020-09-11,195.49,197.74,192.27,195.25,38420
2020-09-14,199.24,200.02,198.2,199.09,30462
2020-09-15,199.33,201.93,199.26,201.22,58024
2020-09-16,202.07,203.87,199.96,200.06,15004
2020-09-17,196.23,200.43,196.23,200.42,24758
2020-09-18,202.52,203.36,200.75,201.68,59494
2020-09-21,199.1,200.66,197.27,199.88,55670
2020-09-22,199.89,202.68,198.46,202.26,25656
2020-09-23,202.45,202.53,196.71,197.12,27927
2020-09-24,197.33,201.27,196.0,198.98,32795
2020-09-25,199.41,203.22,197.72,202.82,12062
2020-09-28,204.58,204.58,199.79,201.37,23988
2020-09-29,197.63,203.01,197.63,202.04,29717
2020-09-30,201.44,204.03,200.77,202.12,28587
2020-10-01,203.69,205.08,202.99,203.94,33350
2020-10-02,199.74,201.97,197.9,199.4,22156
2020-10-05,199.34,200.91,198.07,200.4,40298
2020-10-06,199.84,203.24,198.35,199.13,22048
2020-10-07,199.38,201.57,198.22,200.79,36186
2020-10-08,201.34,203.35,201.13,202.47,21595
2020-10-09,203.88,206.93,203.74,206.44,34239
2020-10-12,209.1,213.01,207.65,210.74,47663
2020-10-13,211.79,214.69,211.42,212.82,45679
2020-10-14,212.53,214.01,208.35,208.98,31011
2020-10-15,207.16,207.54,203.28,205.54,32328
2020-10-16,205.84,207.57,204.13,204.23,24876
2020-10-19,204.94,205.48,199.69,200.14,28265
2020-10-20,202.74,203.17,200.03,200.98,32898
2020-10-21,202.07,203.62,200.93,202.58,38549
2020-10-22,203.43,205.59,200.76,205.17,43083
2020-10-23,200.72,200.72,194.17,197.6,117061
2020-10-26,195.76,196.75,194.2,195.47,94069
