date,open,high,low,close,volume
2020-07-27,280.08,285.495,278.32,283.91,27211
2020-07-28,283.03,284.11,278.235,278.5,39966
2020-07-29,279.64,281.37,278.18,278.66,43457
2020-07-30,276.39,282.18,275.485,279.39,48546
2020-07-31,281.02,281.02,268.43,271.73,66484
2020-08-03,274.97,280.25,274.97,279.64,53192
2020-08-04,279.085,280.19,274.19,275.42,32598
2020-08-05,275.28,275.67,271.32,273.32,31343
2020-08-06,269.485,273.17,268.63,273.17,32467
2020-08-07,274.2,277.175,269.955,273.31,40224
2020-08-10,272.06,272.26,265.26,268.74,12751
2020-08-11,267.38,267.38,261.52,261.52,41038
2020-08-12,263.465,271.2,263.465,270.96,23024
2020-08-13,270.27,270.405,266.925,267.0,26840
2020-08-14,268.28,269.575,266.02,267.29,23413
2020-08-17,268.11,274.01,268.11,273.82,18518
2020-08-18,272.75,273.0,269.65,271.27,11378
2020-08-19,271.59,273.83,269.67,269.95,18514
2020-08-20,270.06,272.07,268.68,271.26,14073
2020-08-21,271.21,272.93,268.43,271.25,33613
2020-08-24,271.545,271.77,263.7,267.285,27771
2020-08-25,268.33,273.1,266.93,272.31,39430
2020-08-26,271.33,272.59,269.0,271.185,23651
2020-08-27,272.345,275.51,269.745,274.3,61293
2020-08-28,273.03,273.03,268.335,269.91,18339
2020-08-31,271.32,279.67,271.04,279.23,42225
2020-09-01,279.135,279.62,271.85,275.62,35232
2020-09-02,276.01,283.17,274.26,281.82,29753
2020-09-03,281.02,281.02,265.39,267.24,37562
2020-09-04,267.105,268.68,263.29,266.76,49945
2020-09-08,262.49,264.455,258.235,258.6,36007
2020-09-09,261.9,264.27,259.405,262.99,96412
2020-09-10,261.93,263.54,254.195,255.81,51553
2020-09-11,257.82,261.725,255.87,258.1,45341
2020-09-14,262.48,268.33,261.795,264.78,35422
2020-09-15,267.0,267.855,264.275,266.91,23312
2020-09-16,270.615,273.45,267.51,267.73,19927
2020-09-17,261.27,272.54,261.27,271.48,37797
2020-09-18,270.87,270.87,257.76,265.43,35816
2020-09-21,264.25,264.67,259.415,263.845,31156
2020-09-22,264.79,267.86,260.43,267.52,23534
2020-09-23,266.175,270.085,262.835,263.78,40659
2020-09-24,262.61,263.505,257.93,263.06,115013
2020-09-25,263.62,268.89,260.69,268.25,118506
2020-09-28,269.91,270.28,264.7,267.5,32788
2020-09-29,267.87,271.58,266.4,270.42,29799
2020-09-30,270.61,274.66,269.465,272.37,35420
2020-10-01,272.93,275.39,270.7,273.55,82829
2020-10-02,269.59,271.48,260.19,260.98,97058
2020-10-05,262.68,269.01,261.96,268.995,60352
2020-10-06,269.215,270.205,260.405,261.115,34532
2020-10-07,263.25,266.36,262.26,265.88,59258
2020-10-08,267.55,268.9,265.05,268.74,64722
2020-10-09,268.865,269.95,266.38,269.94,54745
2020-10-12,273.22,277.2,269.74,274.625,121028
2020-10-13,275.485,280.85,274.61,276.12,72853
2020-10-14,274.785,275.285,269.82,271.55,72160
2020-10-15,228.365,232.45,213.29,215.15,909106
2020-10-16,218.1,225.0,217.19,218.15,304756
2020-10-19,219.27,225.9,217.57,220.59,196137
2020-10-20,222.04,222.39,214.48,214.65,211801
2020-10-21,215.18,217.93,209.21,211.25,281072
2020-10-22,210.37,214.24,208.3,210.06,111413
2020-10-23,212.44,213.29,209.16,211.57,130618
2020-10-26,210.26,210.41,205.0,207.235,132316
2020-10-27,207.255,213.58,207.255,212.07,185881
2020-10-28,212.0,213.91,208.31,208.43,143148
2020-10-29,209.59,209.59,205.08,207.585,100360
2020-10-30,206.44,211.49,203.605,208.69,177879
2020-11-02,210.58,211.04,202.62,207.25,124098
2020-11-03,208.68,214.8,208.68,211.2,152155
2020-11-04,218.27,223.67,214.25,215.03,252911
2020-11-05,219.905,220.82,216.25,219.48,131230
2020-11-06,218.91,221.72,216.47,220.15,104550
2020-11-09,224.36,229.0,221.8,222.93,140950
2020-11-10,224.46,224.46,215.16,215.43,129730
2020-11-11,218.03,218.8,213.65,216.56,165166
2020-11-12,217.01,221.295,216.95,218.3,149776
2020-11-13,222.44,227.23,219.92,225.615,95207
2020-11-16,226.06,227.06,221.79,224.19,120201
2020-11-17,223.35,223.37,218.52,223.1,163677
2020-11-18,223.175,223.43,216.4,216.4,286166
2020-11-19,217.42,217.93,211.42,211.93,198931
2020-11-20,212.37,217.1,210.26,215.21,127186
2020-11-23,217.6,218.255,214.14,217.92,123902
2020-11-24,217.18,219.19,215.215,216.62,157536
2020-11-25,217.33,220.29,215.85,218.07,87697
2020-11-27,220.31,226.6,219.98,226.51,55903
2020-11-30,230.54,231.83,224.37,227.89,114991
2020-12-01,227.71,230.48,226.19,230.31,74967
2020-12-02,230.18,232.42,226.32,226.64,104514
2020-12-03,227.71,229.05,224.76,226.88,77920
2020-12-04,227.0,230.02,225.96,228.32,60592
2020-12-07,231.02,231.02,225.2,227.13,54117
2020-12-08,228.7,230.2,225.605,229.83,79543
2020-12-09,230.355,230.43,221.42,224.14,160671
2020-12-10,224.36,224.735,221.7,224.12,92857
2020-12-11,223.95,224.235,220.935,224.0,141516
2020-12-14,226.54,233.35,226.54,228.02,100402
2020-12-15,230.245,230.41,226.0,228.74,69549
2020-12-16,229.52,232.75,228.81,232.22,77713
2020-12-17,232.89,237.19,232.55,236.86,82982
2020-12-18,238.47,238.94,234.575,236.83,84023
2020-12-21,233.33,235.58,229.01,234.64,51862
2020-12-22,235.025,235.44,232.49,235.02,80636
2020-12-23,234.73,238.3,234.08,235.935,71188
2020-12-24,236.84,237.27,233.55,234.46,50619
2020-12-28,235.4,236.27,232.23,232.57,55049
2020-12-29,233.465,236.37,232.97,233.66,35383
2020-12-30,235.62,236.995,232.13,232.775,66511
2020-12-31,232.24,237.43,230.56,236.39,53926
2021-01-04,237.705,237.705,226.32,229.775,152358
2021-01-05,229.355,229.87,225.12,228.73,80504
2021-01-06,225.1,227.43,222.5,226.68,127776
2021-01-07,227.33,233.96,227.33,232.94,104701
2021-01-08,233.46,237.57,233.46,237.22,78034
2021-01-11,236.25,236.3,227.68,234.765,87979
2021-01-12,234.73,238.2,228.74,229.39,92887
