date,open,high,low,close,volume
2020-07-27,16.71,16.71,15.94,16.14,142840
2020-07-28,16.27,16.59,16.11,16.35,68731
2020-07-29,16.45,16.73,16.34,16.71,56123
2020-07-30,16.49,16.69,16.15,16.63,117104
2020-07-31,16.5,16.66,16.32,16.52,84333
2020-08-03,16.55,16.63,16.21,16.6,119651
2020-08-04,16.61,17.01,16.54,16.55,220109
2020-08-05,16.84,17.16,16.02,16.17,312161
2020-08-06,16.11,16.78,16.11,16.68,242414
2020-08-07,16.56,16.94,16.37,16.71,287160
2020-08-10,16.71,17.05,16.66,16.99,99903
2020-08-11,17.31,17.31,16.69,16.71,89281
2020-08-12,16.94,17.18,16.93,17.1,120972
2020-08-13,17.02,17.1,16.81,16.93,30789
2020-08-14,16.77,16.98,16.66,16.86,39203
2020-08-17,16.94,17.17,16.82,17.14,80528
2020-08-18,17.16,18.06,17.15,17.83,180400
2020-08-19,17.84,17.84,17.44,17.45,80387
2020-08-20,17.21,17.48,17.13,17.18,73044
2020-08-21,17.15,17.28,16.88,16.89,55670
2020-08-24,16.98,17.17,16.74,17.08,65885
2020-08-25,17.19,17.23,16.82,16.94,57055
2020-08-26,16.81,16.82,16.36,16.58,63022
2020-08-27,16.61,16.94,16.6,16.91,112273
2020-08-28,16.96,17.1,16.79,17.08,31979
2020-08-31,17.12,17.24,16.99,17.02,78224
2020-09-01,16.84,16.85,16.54,16.61,139415
2020-09-02,16.52,17.2,16.4,17.09,48046
2020-09-03,17.23,17.27,16.52,16.62,50167
2020-09-04,16.67,16.67,15.96,16.14,61976
2020-09-08,16.12,16.24,15.71,15.8,80774
2020-09-09,15.98,16.46,15.98,16.29,65478
2020-09-10,16.3,16.3,16.01,16.01,57586
2020-09-11,16.15,16.37,15.87,16.37,70425
2020-09-14,16.44,16.71,16.15,16.69,138422
2020-09-15,16.67,16.71,16.38,16.4,88190
2020-09-16,16.37,16.79,16.33,16.59,165620
2020-09-17,16.39,16.44,16.15,16.3,107625
2020-09-18,16.26,16.45,16.06,16.14,76952
2020-09-21,15.88,16.13,15.77,15.94,111538
2020-09-22,15.97,16.22,15.77,15.89,166307
2020-09-23,15.92,16.17,15.89,16.01,94299
2020-09-24,15.91,16.14,15.74,16.02,84079
2020-09-25,15.91,16.14,15.87,16.09,93039
2020-09-28,16.2,16.22,15.99,16.02,90867
2020-09-29,16.23,16.81,16.23,16.52,574536
2020-09-30,16.63,16.92,16.35,16.82,422605
2020-10-01,16.88,16.89,15.92,15.94,201883
2020-10-02,15.6,16.08,15.35,16.05,177950
2020-10-05,16.1,16.24,15.86,15.87,177328
2020-10-06,15.85,16.24,15.82,15.98,174457
2020-10-07,16.05,16.08,15.84,15.9,181461
2020-10-08,15.99,16.32,15.99,16.28,102834
2020-10-09,16.35,16.35,16.05,16.07,90946
2020-10-12,15.96,16.2,15.85,16.05,165959
2020-10-13,15.98,16.18,15.77,16.1,206881
2020-10-14,16.16,16.95,16.16,16.75,136474
2020-10-15,16.52,16.99,16.44,16.72,120036
2020-10-16,16.73,17.17,16.63,16.96,95091
2020-10-19,16.99,17.03,16.78,16.79,124969
2020-10-20,16.84,17.11,16.76,16.9,92326
2020-10-21,16.7,17.07,16.7,16.89,91746
2020-10-22,16.87,17.11,16.64,17.0,91227
2020-10-23,17.12,17.25,16.96,17.2,58520
2020-10-26,17.08,17.09,16.72,17.04,73725
2020-10-27,16.96,17.16,16.38,16.46,121232
2020-10-28,16.18,16.23,15.43,15.47,209133
2020-10-29,15.39,15.63,15.09,15.46,111045
2020-10-30,15.45,15.73,15.36,15.49,143876
2020-11-02,15.63,15.97,15.53,15.81,143583
2020-11-03,16.09,16.64,16.09,16.39,184455
2020-11-04,16.5,16.83,16.13,16.34,142723
2020-11-05,16.55,16.91,16.37,16.47,91024
2020-11-06,16.52,16.69,16.27,16.27,68195
2020-11-09,17.18,17.44,16.62,16.86,171754
2020-11-10,16.93,18.0,16.82,17.96,262625
2020-11-11,18.0,18.11,17.31,17.5,138349
2020-11-12,17.49,17.69,16.79,16.96,124649
2020-11-13,17.1,17.69,17.1,17.61,122478
2020-11-16,17.91,17.97,17.45,17.65,142997
2020-11-17,17.6,17.61,17.04,17.23,127704
2020-11-18,17.17,17.34,16.59,16.6,239023
2020-11-19,16.59,16.62,16.22,16.52,176029
2020-11-20,16.46,16.65,16.21,16.22,85328
2020-11-23,16.4,16.63,16.38,16.56,70554
2020-11-24,16.75,17.27,16.6,17.22,90829
2020-11-25,17.28,17.45,17.16,17.35,92943
2020-11-27,17.41,17.51,17.35,17.46,49568
2020-11-30,17.47,17.49,16.57,16.65,143601
2020-12-01,16.69,17.02,16.69,16.75,186991
2020-12-02,16.7,16.84,16.5,16.83,74712
2020-12-03,16.87,16.87,16.59,16.65,92208
2020-12-04,17.01,17.14,16.88,17.09,87609
2020-12-07,17.08,17.08,16.64,16.91,118393
2020-12-08,16.9,16.91,16.51,16.89,151162
2020-12-09,16.92,17.05,16.79,16.95,77276
2020-12-10,16.96,17.0,16.65,16.78,115639
2020-12-11,16.68,16.68,16.25,16.3,263690
2020-12-14,16.53,16.55,16.03,16.17,146445
2020-12-15,16.35,16.62,16.13,16.57,226957
2020-12-16,16.59,16.64,16.09,16.24,132769
2020-12-17,16.15,16.24,15.98,16.05,228049
2020-12-18,16.05,16.24,15.79,15.87,103411
2020-12-21,15.82,15.96,15.64,15.78,105580
2020-12-22,15.91,16.29,15.88,16.28,81028
2020-12-23,16.37,16.67,16.33,16.58,98200
2020-12-24,16.78,16.8,16.59,16.8,99285
2020-12-28,16.88,17.2,16.88,17.15,87464
2020-12-29,17.23,17.26,16.94,16.97,101877
2020-12-30,16.89,17.54,16.89,17.5,159408
2020-12-31,17.58,17.72,17.43,17.67,73720
2021-01-04,17.65,17.71,17.21,17.23,175773
2021-01-05,17.24,18.0,17.19,17.8,126989
2021-01-06,17.99,18.77,17.99,18.23,172795
2021-01-07,18.27,18.5,18.1,18.13,175107
2021-01-08,18.22,18.91,18.22,18.86,167766
2021-01-11,18.66,19.1,18.58,19.01,148847
2021-01-12,19.08,19.5,19.04,19.37,100590
2021-01-13,19.33,19.74,19.32,19.61,111691
2021-01-14,19.63,19.66,19.14,19.14,85054
2021-01-15,19.16,19.48,19.09,19.31,295002
2021-01-19,19.44,19.65,19.32,19.5,142629
2021-01-20,19.45,19.59,19.15,19.22,160615
2021-01-21,19.17,19.26,18.83,19.04,165763
2021-01-22,18.92,19.24,18.68,19.14,91716
2021-01-25,19.05,19.31,18.72,18.74,187182
2021-01-26,18.79,18.8,18.58,18.68,167139
2021-01-27,18.49,18.77,18.12,18.13,171675
2021-01-28,18.11,18.39,17.78,18.12,96262
2021-01-29,18.09,18.38,17.94,17.94,87362
2021-02-01,18.03,18.45,17.92,18.3,57962
2021-02-02,18.47,18.96,18.38,18.69,162704
2021-02-03,18.64,19.5,18.47,19.13,358381
2021-02-04,19.2,19.2,18.75,18.91,181005
2021-02-05,19.02,19.09,18.79,18.9,128359
2021-02-08,18.99,19.19,18.73,18.9,114456
2021-02-09,19.0,19.26,18.91,19.13,64534
2021-02-10,19.24,19.39,18.94,19.26,64414
2021-02-11,19.26,19.4,19.17,19.34,147135
2021-02-12,19.35,19.39,19.05,19.16,80475
2021-02-16,19.71,19.87,19.5,19.68,384633
2021-02-17,19.75,20.02,19.51,19.76,256887
2021-02-18,19.87,20.93,19.87,20.8,383803
2021-02-19,20.89,20.95,20.49,20.58,201345
2021-02-22,20.64,20.85,20.4,20.73,189979
2021-02-23,20.68,21.08,20.17,21.01,201937
2021-02-24,21.08,21.73,21.04,21.42,174846
2021-02-25,21.34,21.56,20.42,20.51,250792
2021-02-26,16.76,17.18,15.38,15.52,1111600
2021-03-01,16.18,16.42,15.61,15.64,1018050
2021-03-02,15.7,15.7,15.0,15.0,656517
2021-03-03,15.01,15.08,14.55,14.75,421713
2021-03-04,14.97,15.78,14.85,15.7,449502
2021-03-05,16.05,16.24,15.56,16.0,299142
2021-03-08,16.26,17.22,16.26,16.95,351211
2021-03-09,17.05,17.38,16.65,16.75,326594
2021-03-10,16.78,17.57,16.77,17.54,264839
2021-03-11,17.5,17.62,16.44,16.92,733140
2021-03-12,16.9,17.06,16.31,16.5,691979
2021-03-15,16.5,16.74,16.36,16.7,505598
2021-03-16,16.51,16.57,16.23,16.42,681018
2021-03-17,15.5,16.02,15.5,15.66,691737
2021-03-18,15.64,15.65,15.19,15.2,352642
2021-03-19,15.22,15.71,15.08,15.63,285566
2021-03-22,15.6,15.61,15.06,15.11,266992
2021-03-23,15.13,15.47,15.06,15.12,392208
2021-03-24,15.08,15.55,15.03,15.23,520197
2021-03-25,15.33,15.63,15.04,15.44,230567
2021-03-26,15.5,15.56,15.03,15.27,257862
2021-03-29,15.28,16.06,15.21,15.96,339990
2021-03-30,15.89,16.13,15.81,16.09,131524
2021-03-31,16.14,16.24,16.01,16.01,121933
2021-04-01,16.02,16.05,15.71,16.05,114922
2021-04-05,16.09,16.28,15.86,16.02,191356
