date,open,high,low,close,volume
2020-07-27,29.03,29.37,28.11,29.23,408522
2020-07-28,29.06,30.96,29.01,30.71,104613
2020-07-29,31.11,32.08,30.93,32.05,113624
2020-07-30,31.19,32.08,31.0,31.64,96005
2020-07-31,31.62,31.71,30.93,31.51,106594
2020-08-03,30.84,31.21,30.2,30.96,78233
2020-08-04,31.41,31.63,30.89,31.29,50344
2020-08-05,31.69,31.88,30.96,31.55,99146
2020-08-06,31.31,32.85,31.31,32.45,82718
2020-08-07,32.45,34.17,32.04,34.13,136908
2020-08-10,34.31,35.3,34.12,34.98,57517
2020-08-11,35.56,36.13,33.82,34.07,125270
2020-08-12,33.82,34.19,33.27,33.76,95321
2020-08-13,33.41,34.06,32.52,32.73,42972
2020-08-14,33.71,33.71,33.07,33.31,44817
2020-08-17,33.25,33.76,32.93,33.73,45482
2020-08-18,33.43,33.66,32.88,33.43,74301
2020-08-19,33.14,33.45,32.89,33.11,180729
2020-08-20,33.07,34.08,32.95,33.81,34379
2020-08-21,33.84,34.19,33.26,34.15,39090
2020-08-24,34.1,34.71,33.62,34.71,43931
2020-08-25,34.67,34.67,33.42,34.04,67900
2020-08-26,33.82,34.15,33.15,33.21,49609
2020-08-27,33.61,34.32,33.61,34.26,48429
2020-08-28,34.25,35.09,34.02,35.08,78076
2020-08-31,34.73,34.73,33.69,33.89,41626
2020-09-01,33.57,34.44,33.54,34.37,64839
2020-09-02,33.94,36.11,33.94,36.06,79248
2020-09-03,36.12,37.17,35.82,36.36,126311
2020-09-04,36.55,37.02,35.89,36.59,100200
2020-09-08,36.14,36.83,35.98,35.98,71063
2020-09-09,36.18,36.87,35.86,36.32,40688
2020-09-10,36.18,36.76,35.8,35.81,56364
2020-09-11,35.98,36.15,35.34,35.98,64291
2020-09-14,36.37,37.44,36.29,37.36,64862
2020-09-15,37.42,38.15,37.18,37.23,62851
2020-09-16,37.7,38.13,36.96,37.24,52699
2020-09-17,36.71,37.39,36.0,36.2,65601
2020-09-18,35.96,36.22,35.26,35.41,88011
2020-09-21,34.26,34.71,33.29,33.52,81078
2020-09-22,33.83,34.71,33.68,34.19,89871
2020-09-23,34.14,34.23,32.44,32.48,117798
2020-09-24,32.42,33.94,32.15,33.36,88518
2020-09-25,33.09,34.41,33.09,34.21,89613
2020-09-28,35.1,35.38,34.9,35.17,94744
2020-09-29,34.84,35.06,34.02,34.96,64711
2020-09-30,35.4,36.02,34.43,34.83,123629
2020-10-01,34.85,36.13,34.75,36.1,146932
2020-10-02,35.55,37.33,35.42,37.01,132225
2020-10-05,37.3,37.62,36.09,36.61,104403
2020-10-06,36.71,37.42,36.23,36.79,120999
2020-10-07,36.92,37.09,36.11,36.49,89887
2020-10-08,36.65,37.38,36.5,37.38,78641
2020-10-09,37.54,37.54,36.68,37.09,72400
2020-10-12,37.06,37.06,36.44,36.68,63598
2020-10-13,36.25,36.41,35.19,36.3,160257
2020-10-14,36.35,36.67,35.94,36.49,124258
2020-10-15,36.14,37.28,35.78,36.13,183012
2020-10-16,36.19,36.19,34.99,35.44,306929
2020-10-19,35.57,35.57,34.07,34.23,168901
2020-10-20,34.76,35.05,34.51,34.58,132040
2020-10-21,34.51,34.51,33.77,34.16,162313
2020-10-22,34.41,35.66,34.18,35.54,111629
