date,open,high,low,close,volume
2020-11-12,12.48,12.65,12.43,12.47,15450
2020-11-16,12.91,12.95,12.71,12.75,8692
2020-11-17,12.4,14.39,12.32,13.15,1923844
2020-11-18,13.22,13.65,12.84,13.03,1085741
2020-11-19,12.95,14.62,12.88,14.59,1119730
2020-11-20,14.8,14.81,13.68,13.79,1253235
2020-11-23,13.86,13.87,13.28,13.47,571706
2020-11-24,13.44,13.68,13.12,13.61,1264739
2020-11-25,13.37,13.92,13.34,13.73,473524
2020-11-27,13.76,13.97,13.61,13.72,181609
2020-11-30,13.63,13.79,13.53,13.54,549749
2020-12-01,13.59,13.8,13.47,13.72,391562
2020-12-02,13.62,13.89,13.57,13.77,1194882
2020-12-03,13.82,14.04,13.64,13.96,900152
2020-12-04,13.89,14.23,13.89,14.16,1173543
2020-12-07,14.16,14.48,14.1,14.14,593650
2020-12-08,14.02,14.42,14.01,14.37,345131
2020-12-09,14.35,14.46,14.08,14.11,486785
2020-12-10,13.95,14.35,13.95,14.24,589569
2020-12-11,14.09,14.26,13.75,13.94,485525
2020-12-14,13.94,14.09,13.74,13.95,654540
2020-12-15,13.92,14.37,13.85,14.26,483692
2020-12-16,14.22,14.68,14.14,14.35,752741
2020-12-17,14.28,14.39,14.12,14.25,584831
2020-12-18,14.21,14.31,14.1,14.31,287828
2020-12-21,14.02,14.1,13.88,14.0,196082
2020-12-22,13.94,14.34,13.91,14.29,206095
2020-12-23,14.25,14.51,14.25,14.4,133744
2020-12-24,14.4,14.4,14.22,14.35,147675
2020-12-28,14.36,14.39,14.18,14.29,145892
2020-12-29,14.28,14.32,14.11,14.29,124798
2020-12-30,14.17,14.63,14.16,14.59,347170
2020-12-31,14.61,15.17,14.59,15.09,385896
2021-01-04,15.01,15.1,14.66,14.92,449364
2021-01-05,14.85,14.85,14.33,14.57,297050
2021-01-06,14.65,15.03,14.6,14.87,171289
2021-01-07,14.92,15.03,14.78,14.9,157933
2021-01-08,14.81,14.95,14.54,14.73,164204
2021-01-11,14.66,15.0,14.65,14.86,112765
2021-01-12,14.82,15.02,14.66,14.69,166014
2021-01-13,14.74,15.05,14.66,14.8,239319
2021-01-14,14.72,14.72,13.48,13.93,1389395
2021-01-15,13.78,13.83,13.46,13.72,412999
2021-01-19,13.89,14.12,13.76,14.04,247899
2021-01-20,14.0,14.24,13.94,14.24,207818
2021-01-21,13.92,14.18,13.56,13.93,589393
2021-01-22,13.84,14.1,13.77,14.02,179052
2021-01-25,13.9,13.95,13.78,13.86,178537
2021-01-26,13.82,13.96,13.74,13.74,181341
2021-01-27,13.67,13.81,13.37,13.56,398083
2021-01-28,13.6,14.03,13.57,13.85,270813
2021-01-29,13.79,14.14,13.6,13.67,254231
2021-02-01,13.8,14.14,13.71,14.04,283300
2021-02-02,14.1,14.27,13.98,13.98,256853
2021-02-03,13.98,14.78,13.94,14.54,376532
2021-02-04,14.52,14.67,14.26,14.48,162128
2021-02-05,14.5,14.54,14.19,14.4,285602
2021-02-08,14.41,14.5,14.25,14.49,244441
2021-02-09,14.37,14.92,14.37,14.87,213321
2021-02-10,14.91,15.02,14.66,14.8,226597
2021-02-11,14.66,14.83,14.55,14.69,119121
2021-02-12,14.55,14.8,14.55,14.68,176072
2021-02-16,14.77,14.79,14.55,14.75,147401
2021-02-17,14.65,14.92,14.63,14.9,119649
2021-02-18,14.95,15.01,14.72,14.72,248490
2021-02-19,14.7,14.86,14.62,14.65,225208
2021-02-22,13.38,13.5,12.46,12.47,1303914
2021-02-23,12.63,12.67,12.02,12.24,835429
2021-02-24,12.34,12.45,12.04,12.3,387629
2021-02-25,12.28,12.37,11.96,12.12,397001
2021-02-26,12.05,12.07,11.72,12.0,387546
2021-03-01,12.12,12.31,11.76,11.85,242028
2021-03-02,11.7,11.81,11.38,11.48,635802
2021-03-03,11.42,11.44,10.89,11.17,940924
2021-03-04,10.99,11.09,10.72,10.94,605534
2021-03-05,11.06,11.26,10.75,11.22,262013
2021-03-08,11.1,11.29,11.01,11.14,350327
2021-03-09,11.14,11.43,11.06,11.22,328830
2021-03-10,11.3,11.45,11.14,11.32,281679
2021-03-11,11.37,11.43,11.2,11.34,224052
2021-03-12,11.29,11.57,11.26,11.54,195578
2021-03-15,11.53,11.81,11.47,11.8,274745
2021-03-16,11.79,11.82,11.63,11.71,233996
2021-03-17,11.63,12.15,11.61,12.14,324262
2021-03-18,12.04,12.09,11.67,11.72,262462
2021-03-19,11.75,11.96,11.7,11.89,212256
2021-03-22,11.99,11.99,11.78,11.9,262536
2021-03-23,11.83,11.85,11.36,11.39,235593
2021-03-24,11.38,11.43,11.22,11.27,316694
2021-03-25,11.38,11.38,11.21,11.28,318138
2021-03-26,11.3,11.62,11.28,11.55,208100
2021-03-29,11.47,11.6,11.41,11.51,176865
2021-03-30,11.42,11.47,11.22,11.38,342422
2021-03-31,11.34,11.49,11.18,11.26,360247
2021-04-01,11.22,11.33,11.15,11.18,202469
2021-04-05,11.19,11.39,11.15,11.31,100921
2021-04-06,11.24,11.33,11.1,11.12,259153
2021-04-07,11.17,11.17,10.75,10.78,353910
2021-04-08,10.81,10.85,10.55,10.7,281827
2021-04-09,10.7,10.78,10.65,10.77,250716
2021-04-12,10.81,10.81,10.62,10.67,186973
2021-04-13,10.66,10.69,10.42,10.44,162356
2021-04-14,10.48,10.74,10.47,10.63,190126
2021-04-15,10.64,10.8,10.59,10.68,141376
2021-04-16,10.74,10.84,10.57,10.77,276239
2021-04-19,10.78,10.89,10.64,10.66,219812
2021-04-20,10.59,10.62,10.44,10.55,156453
2021-04-21,10.51,10.71,10.45,10.68,190365
2021-04-22,10.71,10.94,10.69,10.75,176376
2021-04-23,10.77,10.83,10.63,10.74,100617
2021-04-26,10.81,11.0,10.8,10.9,112290
2021-04-27,10.89,10.92,10.62,10.68,480987
2021-04-28,10.72,10.87,10.69,10.83,283145
2021-04-29,10.89,10.97,10.64,10.74,217640
2021-04-30,10.78,10.87,10.67,10.71,184168
2021-05-03,10.69,10.89,10.63,10.86,248534
2021-05-04,10.86,10.97,10.67,10.79,413613
2021-05-05,10.78,11.02,10.7,10.97,289574
2021-05-06,10.96,11.21,10.81,11.21,220404
2021-05-07,11.12,11.34,11.09,11.32,212861
2021-05-10,11.93,12.45,11.92,12.09,920864
2021-05-11,12.01,12.47,11.96,12.18,307430
2021-05-12,12.24,12.76,12.21,12.65,567173
2021-05-13,12.57,12.9,12.53,12.84,279222
2021-05-14,12.85,12.93,12.68,12.87,226156
2021-05-17,12.9,13.11,12.85,13.01,512895
2021-05-18,12.98,12.99,12.72,12.9,167223
2021-05-19,12.82,12.82,12.43,12.47,298365
2021-05-20,12.49,12.63,12.37,12.54,136369
2021-05-21,12.56,12.68,12.39,12.4,261045
2021-05-24,12.44,12.59,12.39,12.43,223157
2021-05-25,12.41,12.41,12.11,12.14,138504
2021-05-26,12.15,12.3,12.06,12.29,244493
2021-05-27,12.32,12.37,12.22,12.27,186315
2021-05-28,12.32,12.42,12.25,12.35,131702
2021-06-01,12.36,12.46,12.28,12.36,129188
2021-06-02,12.34,12.6,12.26,12.54,136194
2021-06-03,12.49,12.59,12.45,12.49,150218
2021-06-04,12.52,12.54,12.37,12.47,162685
2021-06-07,12.44,12.52,12.38,12.47,169752
2021-06-08,12.48,12.61,12.34,12.56,157497
2021-06-09,12.58,12.6,12.49,12.52,148597
2021-06-10,12.53,12.9,12.5,12.8,148197
2021-06-11,12.77,12.77,12.66,12.75,133904
2021-06-14,12.75,12.78,12.61,12.66,136511
2021-06-15,12.66,12.69,12.26,12.4,127055
2021-06-16,12.46,12.48,12.25,12.33,155503
2021-06-17,12.28,12.28,11.83,11.89,258492
2021-06-18,11.86,11.86,11.51,11.55,267795
2021-06-21,11.54,11.64,11.44,11.63,209614
2021-06-22,11.62,11.62,11.43,11.52,133972
2021-06-23,11.58,11.59,11.43,11.48,109038
2021-06-24,11.5,11.68,11.45,11.64,125788
2021-06-25,11.67,11.85,11.63,11.81,162917
2021-06-28,11.82,11.82,11.59,11.65,101922
2021-06-29,11.66,11.8,11.6,11.76,144067
2021-06-30,11.7,11.7,11.56,11.58,209771
2021-07-01,11.67,11.96,11.67,11.96,216028
2021-07-02,12.0,12.0,11.72,11.92,131202
2021-07-06,11.92,11.92,11.48,11.5,163216
2021-07-07,11.5,11.5,11.28,11.36,224482
2021-07-08,11.31,11.32,11.14,11.17,102742
2021-07-09,11.33,11.68,11.29,11.6,240154
2021-07-12,11.5,11.56,11.39,11.5,109861
2021-07-13,11.53,11.54,11.21,11.28,156120
2021-07-14,11.31,11.45,11.25,11.4,242765
2021-07-15,11.37,11.48,11.21,11.26,100281
2021-07-16,11.24,11.26,11.14,11.15,109784
2021-07-19,11.02,11.06,10.73,11.02,173653
2021-07-20,11.04,11.32,11.02,11.27,181304
2021-07-21,11.33,11.44,11.26,11.39,106584
2021-07-22,11.33,11.33,11.16,11.23,86559
2021-07-23,11.34,11.34,11.19,11.28,95675
2021-07-26,11.22,11.38,11.17,11.21,102638
2021-07-27,11.13,11.3,11.1,11.27,98499
2021-07-28,11.24,11.65,11.24,11.53,144552
2021-07-29,11.85,11.85,11.56,11.58,89990
2021-07-30,11.61,11.68,11.33,11.4,133593
2021-08-02,11.43,11.64,11.43,11.53,121646
2021-08-03,11.55,11.57,11.26,11.51,134934
2021-08-04,11.34,11.48,11.08,11.17,317756
2021-08-05,11.18,11.29,11.14,11.28,218515
2021-08-06,11.37,11.55,11.28,11.55,340206
2021-08-09,11.83,12.28,11.7,12.27,746193
2021-08-10,12.24,12.35,11.96,12.25,372434
2021-08-11,12.21,12.26,11.96,12.01,207879
2021-08-12,12.05,12.2,11.95,12.11,86857
2021-08-13,12.15,12.19,12.03,12.12,122602
2021-08-16,12.09,12.15,11.97,12.09,75986
2021-08-17,12.02,12.05,11.71,11.96,133211
2021-08-18,11.93,12.2,11.92,11.98,264261
2021-08-19,11.87,12.03,11.85,11.94,170142
2021-08-20,11.84,12.03,11.82,11.9,195388
2021-08-23,11.94,12.16,11.89,12.03,252215
2021-08-24,12.07,12.12,11.94,11.95,183158
2021-08-25,11.89,11.89,11.75,11.85,174735
2021-08-26,11.85,11.85,11.56,11.67,75385
2021-08-27,11.7,11.81,11.67,11.72,246681
2021-08-30,11.69,11.85,11.67,11.77,81344
2021-08-31,11.75,11.95,11.71,11.94,180740
2021-09-01,11.94,11.94,11.78,11.92,199599
2021-09-02,11.91,12.36,11.9,12.34,188708
