date,open,high,low,close,volume
2020-07-27,40.43,40.69,40.12,40.38,423125
2020-07-28,40.47,40.95,40.47,40.79,569912
2020-07-29,40.74,40.95,40.58,40.78,491747
2020-07-30,40.59,40.79,40.56,40.68,1111173
2020-07-31,40.33,40.81,40.22,40.79,546540
2020-08-03,40.99,41.08,40.55,40.63,464130
2020-08-04,40.63,41.27,40.6,41.08,402009
2020-08-05,41.24,41.3,40.75,40.84,585042
2020-08-06,40.84,41.13,40.78,41.03,545853
2020-08-07,41.05,41.55,40.93,41.53,489001
2020-08-10,41.58,41.98,41.5,41.86,463062
2020-08-11,42.07,42.29,41.35,41.52,462106
2020-08-12,41.61,41.84,41.54,41.61,385340
2020-08-13,41.41,41.6,41.31,41.54,221688
2020-08-14,41.51,41.83,41.36,41.73,256631
2020-08-17,41.79,41.83,41.56,41.73,324375
2020-08-18,41.76,42.21,41.74,42.0,563540
2020-08-19,42.09,42.19,41.83,41.9,355874
2020-08-20,41.61,41.94,41.61,41.84,332162
2020-08-21,41.9,41.9,41.55,41.87,332964
2020-08-24,41.93,42.3,41.89,42.3,216722
2020-08-25,42.37,42.38,42.01,42.18,289864
2020-08-26,42.1,42.23,41.81,42.15,904268
2020-08-27,42.28,42.44,42.17,42.2,351067
2020-08-28,42.14,42.16,41.76,42.06,606626
2020-08-31,41.93,42.19,41.9,42.04,440884
2020-09-01,42.01,42.09,41.73,41.95,384174
2020-09-02,41.99,43.11,41.99,42.95,611911
2020-09-03,43.06,43.5,42.69,43.02,942004
2020-09-04,43.01,43.65,42.64,42.94,438794
2020-09-08,43.14,43.14,42.32,42.55,313842
2020-09-09,42.7,43.12,42.58,42.6,192784
2020-09-10,42.67,42.68,42.17,42.23,266532
2020-09-11,42.27,42.55,42.16,42.42,294847
2020-09-14,42.61,43.13,42.61,42.83,278895
2020-09-15,42.69,43.37,42.69,43.02,407915
2020-09-16,43.0,43.25,42.82,42.83,355966
2020-09-17,42.92,43.28,42.68,43.04,192504
2020-09-18,42.77,43.25,42.7,42.84,341392
2020-09-21,42.59,42.61,41.9,42.28,322705
2020-09-22,42.39,42.85,42.25,42.46,449643
2020-09-23,42.5,42.69,41.78,41.82,460926
2020-09-24,41.88,42.27,41.64,41.98,269969
2020-09-25,41.92,42.19,41.75,42.16,379086
2020-09-28,42.3,42.44,42.03,42.15,285451
2020-09-29,42.08,42.22,41.96,42.05,330871
2020-09-30,42.13,42.38,41.91,42.24,331719
2020-10-01,42.14,42.31,41.9,42.21,548673
2020-10-02,42.08,42.26,41.96,42.03,362129
2020-10-05,42.32,42.47,42.07,42.34,331229
2020-10-06,42.38,42.56,42.11,42.21,471812
2020-10-07,42.27,42.43,42.03,42.31,388010
2020-10-08,42.45,42.85,42.31,42.46,435904
2020-10-09,42.5,42.7,42.38,42.57,291972
2020-10-12,42.57,42.81,42.44,42.73,609855
2020-10-13,42.8,42.82,42.22,42.59,1182433
2020-10-14,42.66,42.69,41.89,41.91,911208
2020-10-15,41.7,41.79,41.41,41.72,468614
2020-10-16,41.67,41.92,41.62,41.64,465490
2020-10-19,41.73,41.82,40.95,41.09,630929
2020-10-20,41.3,41.37,40.72,41.05,684409
2020-10-21,41.01,41.4,40.67,40.73,1155304
2020-10-22,40.79,41.36,40.55,41.08,622592
2020-10-23,41.45,41.58,41.22,41.58,638121
2020-10-26,41.27,41.46,40.88,41.44,645053
2020-10-27,41.41,41.49,41.12,41.17,424694
2020-10-28,40.83,41.13,40.27,40.42,704556
2020-10-29,40.26,41.11,40.19,40.72,1112384
2020-10-30,40.6,40.94,40.44,40.89,668243
2020-11-02,41.28,41.75,40.89,41.38,532428
2020-11-03,41.5,41.88,41.26,41.45,434606
2020-11-04,41.02,41.49,40.6,40.99,872667
2020-11-05,41.65,42.3,41.46,41.73,732522
2020-11-06,41.68,42.13,41.66,41.99,438775
2020-11-09,43.1,43.42,42.71,42.88,994382
2020-11-10,43.29,44.05,43.19,43.84,1223878
2020-11-11,43.98,43.99,43.38,43.76,727731
2020-11-12,43.66,43.66,43.29,43.61,545256
2020-11-13,43.49,43.89,43.32,43.82,369156
2020-11-16,43.77,44.08,43.54,43.63,628733
2020-11-17,43.43,43.77,43.3,43.57,420154
2020-11-18,43.77,43.77,43.26,43.28,375942
2020-11-19,43.36,43.36,42.98,43.21,450669
2020-11-20,43.18,43.28,43.01,43.06,741324
2020-11-23,43.07,43.32,43.05,43.24,496250
2020-11-24,43.47,43.6,43.34,43.49,523520
2020-11-25,43.57,43.57,43.28,43.34,346794
2020-11-27,43.45,43.57,43.34,43.48,204984
2020-11-30,43.26,43.47,43.18,43.42,461294
2020-12-01,43.39,43.7,43.25,43.45,390220
2020-12-02,44.04,44.44,43.77,44.02,442347
2020-12-03,43.81,44.35,43.81,44.28,416573
2020-12-04,44.15,44.33,43.95,44.18,450981
2020-12-07,44.15,44.26,43.89,44.02,421366
2020-12-08,43.85,44.26,43.67,44.09,560971
2020-12-09,44.08,44.34,43.83,44.09,646048
