date,open,high,low,close,volume
2020-07-27,29.21,29.67,28.91,29.64,152074
2020-07-28,29.57,29.72,29.01,29.07,71318
2020-07-29,28.45,29.11,28.42,28.74,189548
2020-07-30,28.3,29.02,28.08,29.01,89026
2020-07-31,29.1,29.23,28.53,29.23,73117
2020-08-03,29.21,29.83,28.84,29.78,66584
2020-08-04,29.48,30.36,29.46,30.32,73248
2020-08-05,30.53,30.68,29.9,30.14,77400
2020-08-06,26.52,26.52,25.02,25.29,1327388
2020-08-07,25.36,25.66,24.76,25.08,182619
2020-08-10,25.3,25.61,24.91,25.33,89565
2020-08-11,25.52,25.85,25.01,25.07,66133
2020-08-12,25.13,25.13,24.82,24.92,66105
2020-08-13,24.59,24.8,24.17,24.23,106078
2020-08-14,24.16,24.45,24.07,24.25,100236
2020-08-17,24.32,24.43,24.07,24.14,26479
2020-08-18,24.11,24.11,23.45,23.54,100272
2020-08-19,23.74,23.91,23.29,23.38,80504
2020-08-20,22.82,23.27,22.81,23.12,59071
2020-08-21,22.82,23.0,22.74,22.86,61300
2020-08-24,23.08,23.48,22.94,23.4,143084
2020-08-25,23.6,24.01,23.2,23.27,78045
2020-08-26,23.27,23.45,23.1,23.25,113513
2020-08-27,23.44,23.96,22.98,23.9,234325
2020-08-28,24.02,25.66,24.02,25.65,399450
2020-08-31,25.53,26.13,25.25,26.09,163567
2020-09-01,25.88,25.97,24.99,25.33,74480
2020-09-02,25.57,26.61,25.57,26.36,146064
2020-09-03,26.23,26.29,24.94,25.58,92663
2020-09-04,25.7,26.02,25.16,25.89,124846
2020-09-08,25.09,25.42,24.72,24.72,82365
2020-09-09,24.94,24.99,24.18,24.8,151713
2020-09-10,24.98,25.22,24.46,24.62,160531
2020-09-11,24.69,25.62,24.69,25.35,207599
2020-09-14,25.79,26.44,25.79,26.44,253926
2020-09-15,26.46,26.46,25.49,25.62,110564
2020-09-16,25.83,26.71,25.8,26.31,133431
2020-09-17,25.42,26.24,25.37,25.91,66197
2020-09-18,25.77,25.89,24.91,25.25,75490
2020-09-21,24.68,24.71,24.13,24.44,70243
2020-09-22,24.62,24.81,24.41,24.74,58924
2020-09-23,26.17,27.88,26.17,26.38,315929
2020-09-24,25.91,26.2,25.38,25.45,217283
2020-09-25,25.37,26.11,25.06,26.1,111833
2020-09-28,26.38,26.58,26.07,26.16,123880
2020-09-29,26.33,27.16,26.33,26.68,225422
2020-09-30,25.74,25.75,24.74,24.8,908311
2020-10-01,24.96,25.11,24.48,24.64,600581
2020-10-02,23.99,24.8,23.94,24.39,265220
2020-10-05,24.57,25.05,24.56,24.79,120459
2020-10-06,24.82,25.17,24.54,24.62,236725
2020-10-07,25.05,25.64,25.0,25.46,196689
2020-10-08,25.75,26.32,25.7,26.24,214817
2020-10-09,26.66,26.82,25.75,25.86,367216
2020-10-12,25.85,26.07,25.51,25.99,337073
2020-10-13,26.06,26.42,25.6,25.66,259777
2020-10-14,25.81,25.98,25.53,25.57,164578
2020-10-15,25.2,25.79,25.0,25.78,265067
2020-10-16,25.81,26.38,25.5,25.76,323889
2020-10-19,25.93,28.44,25.8,27.75,866014
2020-10-20,27.72,28.36,27.72,28.09,550195
2020-10-21,28.3,28.83,28.27,28.53,425956
2020-10-22,28.54,29.68,28.33,29.11,341926
2020-10-23,28.94,28.96,28.02,28.31,526773
2020-10-26,28.03,28.06,27.03,27.45,239669
2020-10-27,27.32,27.63,27.22,27.35,192441
2020-10-28,26.49,26.83,26.25,26.33,319327
2020-10-29,25.83,26.25,25.36,25.89,347067
2020-10-30,25.76,25.93,25.08,25.52,299616
2020-11-02,25.72,25.72,24.82,25.1,456619
2020-11-03,25.45,25.83,25.32,25.44,281706
2020-11-04,25.61,25.72,24.92,25.46,219283
2020-11-05,25.59,26.61,25.59,26.54,170863
2020-11-06,26.64,27.17,26.58,26.99,146495
2020-11-09,28.24,29.13,27.92,28.15,294573
2020-11-10,28.02,28.41,27.74,27.97,182255
2020-11-11,28.14,28.42,27.39,27.57,253534
2020-11-12,27.35,27.37,26.42,26.65,245234
2020-11-13,26.95,28.19,26.95,28.11,289436
2020-11-16,28.86,29.53,28.64,29.52,344236
2020-11-17,29.18,29.25,28.6,28.97,168607
2020-11-18,29.06,29.45,28.84,28.84,167731
2020-11-19,28.67,28.92,28.35,28.92,157470
2020-11-20,28.88,29.24,28.76,28.76,127704
2020-11-23,28.95,30.34,28.94,30.2,267274
2020-11-24,30.61,31.14,30.29,31.08,240592
2020-11-25,30.94,30.94,30.18,30.69,138263
2020-11-27,30.76,31.35,30.74,31.05,84527
2020-11-30,31.24,31.45,30.36,30.43,181131
2020-12-01,30.84,32.61,30.84,32.06,287984
2020-12-02,32.01,32.5,31.87,32.37,160090
2020-12-03,32.63,33.23,32.34,32.85,239833
2020-12-04,33.2,35.14,33.18,35.11,336779
2020-12-07,35.0,35.59,34.55,34.68,231459
2020-12-08,34.45,35.57,34.44,35.57,141605
2020-12-09,35.67,36.08,34.34,34.69,208624
2020-12-10,34.07,35.23,33.89,35.01,165116
2020-12-11,34.35,35.06,34.34,34.63,144624
2020-12-14,35.22,35.52,34.61,34.71,101174
2020-12-15,35.23,36.34,35.18,36.34,176556
2020-12-16,36.4,36.56,35.86,35.96,152530
2020-12-17,36.18,36.29,35.86,36.26,150708
2020-12-18,36.39,36.99,35.94,36.09,156980
2020-12-21,35.03,35.56,34.89,35.41,93121
2020-12-22,35.46,35.5,33.7,33.73,111814
2020-12-23,33.92,34.31,33.54,33.84,120124
2020-12-24,34.16,34.16,33.47,33.86,28024
2020-12-28,34.32,34.55,33.66,33.97,65483
2020-12-29,34.29,34.29,32.72,32.73,188423
2020-12-30,32.76,34.09,32.76,33.57,143439
2020-12-31,33.87,37.92,33.84,37.59,256251
2021-01-04,37.28,37.5,35.3,35.41,234810
2021-01-05,35.73,36.61,35.73,35.98,140248
2021-01-06,35.97,36.91,35.72,36.25,141212
2021-01-07,36.61,37.55,36.57,37.13,216359
2021-01-08,37.48,37.56,34.78,35.14,250443
2021-01-11,34.5,35.39,34.4,34.98,139011
2021-01-12,35.03,35.04,33.75,33.85,152227
2021-01-13,33.57,33.72,32.98,33.54,176102
2021-01-14,33.61,34.64,33.21,34.16,143498
2021-01-15,33.99,35.33,33.94,34.7,176901
2021-01-19,34.87,35.35,34.39,35.26,124439
2021-01-20,35.59,35.83,34.87,35.17,90014
2021-01-21,35.2,36.47,35.2,36.29,113574
2021-01-22,35.33,35.44,34.02,34.39,250172
2021-01-25,34.38,34.82,34.04,34.78,97066
2021-01-26,35.16,35.66,34.92,35.34,164675
2021-01-27,34.59,37.58,34.49,36.05,270637
2021-01-28,36.26,36.47,35.32,35.76,192586
2021-01-29,39.66,41.15,37.39,38.35,741954
2021-02-01,38.56,39.31,38.34,39.05,215407
2021-02-02,39.75,40.0,39.02,39.28,151715
2021-02-03,39.36,39.8,38.86,39.15,145844
2021-02-04,39.48,40.27,39.4,40.19,202863
2021-02-05,40.42,40.88,40.2,40.55,111618
2021-02-08,40.69,42.27,40.69,42.15,249427
2021-02-09,42.19,42.37,41.7,41.82,71073
2021-02-10,42.17,42.51,40.59,40.91,237987
2021-02-11,42.46,43.89,42.09,43.36,439744
2021-02-12,43.51,45.13,43.32,44.46,276729
2021-02-16,46.12,46.28,44.36,45.21,317574
2021-02-17,44.83,46.64,44.6,45.7,211791
2021-02-18,45.15,47.28,45.15,46.58,310018
2021-02-19,47.91,47.91,45.96,46.72,174817
2021-02-22,46.1,47.09,45.97,45.99,122109
2021-02-23,44.63,45.7,42.76,45.61,173449
2021-02-24,46.22,48.2,45.69,47.86,296064
2021-02-25,47.57,47.93,45.53,46.03,155583
2021-02-26,46.23,47.68,45.76,46.56,164166
2021-03-01,47.8,49.48,47.51,49.02,281269
2021-03-02,48.75,49.2,47.14,47.15,154203
2021-03-03,47.38,48.91,46.56,47.26,210543
2021-03-04,46.88,46.92,42.5,43.05,392837
2021-03-05,45.96,47.01,43.84,46.17,438975
2021-03-08,47.28,48.27,46.69,46.72,355515
2021-03-09,47.53,47.93,46.69,47.01,299900
2021-03-10,47.16,47.4,45.1,45.16,242837
2021-03-11,46.37,47.04,45.87,46.58,203943
2021-03-12,46.12,47.13,45.82,46.41,129048
2021-03-15,46.5,46.5,45.16,46.49,146065
2021-03-16,47.29,48.69,47.03,47.3,187314
2021-03-17,46.96,48.5,46.96,48.36,206231
2021-03-18,47.83,48.94,46.69,46.9,254982
2021-03-19,47.53,49.18,47.06,47.9,336622
2021-03-22,48.33,48.41,47.33,47.73,151074
2021-03-23,47.64,47.78,43.9,44.38,336497
2021-03-24,45.13,45.37,43.13,43.23,410340
2021-03-25,42.26,43.65,41.88,43.43,167974
2021-03-26,44.31,45.65,44.03,45.63,134993
2021-03-29,45.55,46.05,44.14,44.35,197645
2021-03-30,44.33,44.62,43.75,44.29,91138
2021-03-31,44.35,45.63,43.91,45.27,189292
2021-04-01,47.9,48.55,47.0,48.42,450470
2021-04-05,48.62,49.2,47.93,48.87,227471
2021-04-06,48.22,49.51,47.95,49.36,201464
2021-04-07,49.62,50.6,48.78,48.98,178613
2021-04-08,49.62,49.99,48.72,49.47,181424
2021-04-09,49.33,49.64,48.94,49.41,107308
2021-04-12,49.22,49.33,48.27,48.43,149668
2021-04-13,48.35,48.37,47.27,47.33,118369
2021-04-14,47.09,47.71,46.54,46.59,192483
2021-04-15,47.08,47.16,46.31,46.59,174936
2021-04-16,46.89,47.8,46.69,46.72,151458
2021-04-19,46.76,47.32,45.82,46.27,170607
2021-04-20,46.29,46.63,45.73,46.12,119075
2021-04-21,45.73,47.11,45.43,47.09,119154
2021-04-22,47.13,47.15,44.73,44.94,236631
2021-04-23,45.4,46.39,44.79,46.2,152385
2021-04-26,46.86,48.82,46.82,48.46,222578
2021-04-27,48.78,49.25,48.16,49.16,142819
2021-04-28,49.0,49.29,47.61,47.99,276270
2021-04-29,48.49,48.72,47.3,48.26,380932
2021-04-30,49.5,50.65,47.32,47.89,574437
2021-05-03,48.36,48.66,47.0,47.55,216633
2021-05-04,47.02,47.09,44.7,45.64,359122
2021-05-05,46.3,46.83,45.96,46.51,166011
2021-05-06,46.66,47.24,46.02,47.23,132650
2021-05-07,47.48,48.71,47.0,48.62,180382
2021-05-10,48.6,48.64,46.54,46.58,190744
2021-05-11,45.36,46.49,44.96,46.26,197835
2021-05-12,45.47,45.69,43.48,43.66,136238
2021-05-13,44.0,45.68,43.97,45.03,179048
2021-05-14,45.96,48.95,45.57,48.77,310496
2021-05-17,48.48,52.56,48.41,51.81,535414
2021-05-18,52.51,52.51,49.6,49.66,292112
2021-05-19,47.47,48.77,46.09,48.35,335797
2021-05-20,49.57,49.75,48.09,49.45,209796
2021-05-21,49.31,50.02,48.87,49.06,206833
