date,open,high,low,close,volume
2020-07-27,43.5,43.57,42.78,43.43,47679
2020-07-28,43.54,45.5,43.54,45.18,25831
2020-07-29,45.98,46.5,45.44,46.5,125719
2020-07-30,45.47,46.61,45.34,46.31,49882
2020-07-31,46.24,46.34,44.85,45.55,83928
2020-08-03,44.89,45.29,44.16,44.93,47246
2020-08-04,45.15,46.05,44.99,45.29,45014
2020-08-05,45.75,45.85,44.79,45.21,101243
2020-08-06,45.93,48.57,45.6,48.01,125119
2020-08-07,47.64,49.16,47.42,48.57,60084
2020-08-10,48.72,49.28,47.9,48.87,79522
2020-08-11,49.58,49.71,47.98,48.16,88102
2020-08-12,48.4,48.52,47.67,48.39,35997
2020-08-13,48.16,48.88,47.4,47.64,47492
2020-08-14,47.5,49.08,47.49,48.23,41189
2020-08-17,48.35,48.35,47.69,48.1,42088
2020-08-18,47.98,47.98,46.91,47.18,43693
2020-08-19,47.49,47.52,46.23,46.35,63699
2020-08-20,45.79,47.86,45.64,47.34,45897
2020-08-21,47.56,48.3,47.05,48.25,42195
2020-08-24,47.71,49.36,47.56,49.36,41269
2020-08-25,49.37,49.48,48.59,49.48,36757
2020-08-26,48.99,49.14,47.53,47.98,50396
2020-08-27,48.15,49.85,48.15,49.78,58403
2020-08-28,49.81,51.1,49.39,51.09,45779
2020-08-31,50.01,50.56,49.43,49.51,53067
2020-09-01,49.17,50.01,49.06,49.96,31407
2020-09-02,49.98,51.65,49.4,51.65,27530
2020-09-03,52.06,52.82,51.07,51.96,57492
2020-09-04,52.25,52.73,51.14,52.59,89061
2020-09-08,52.16,53.09,51.59,51.59,65523
2020-09-09,52.08,52.96,51.42,52.27,63434
2020-09-10,51.99,52.69,51.53,51.53,25614
2020-09-11,51.47,51.47,50.06,50.61,62290
2020-09-14,51.18,51.92,51.16,51.71,61000
2020-09-15,51.65,52.8,51.65,52.23,131780
2020-09-16,52.38,52.72,51.37,51.47,42859
2020-09-17,50.79,51.42,49.36,49.62,117153
2020-09-18,49.3,49.64,48.47,48.52,77771
2020-09-21,47.27,47.58,46.14,46.53,73268
2020-09-22,46.63,47.87,46.62,47.0,135044
2020-09-23,46.74,47.09,44.59,44.67,82675
2020-09-24,44.43,45.69,44.3,44.58,98635
2020-09-25,45.01,45.8,44.46,45.77,81297
2020-09-28,47.19,47.19,46.38,46.7,53840
2020-09-29,46.44,46.95,45.88,46.88,86130
2020-09-30,47.43,48.32,46.41,47.42,88228
2020-10-01,47.55,48.51,46.72,48.51,135388
2020-10-02,47.65,50.0,47.25,49.87,124446
2020-10-05,50.05,50.32,48.7,49.43,111260
2020-10-06,49.27,49.81,48.39,48.68,196226
2020-10-07,48.99,49.17,47.83,48.24,148008
2020-10-08,48.52,49.42,48.43,49.19,146783
2020-10-09,49.54,49.54,48.0,48.4,83843
2020-10-12,48.42,48.42,47.51,47.99,101907
2020-10-13,47.45,47.52,45.99,46.64,123205
2020-10-14,46.69,46.94,46.12,46.3,118281
2020-10-15,45.95,47.72,45.78,47.31,109472
2020-10-16,46.59,47.56,45.86,46.68,124914
2020-10-19,47.01,47.01,45.12,45.17,73667
2020-10-20,46.05,46.67,45.77,46.5,65941
2020-10-21,46.25,46.72,45.7,46.18,158805
2020-10-22,46.06,47.67,46.04,47.5,92671
2020-10-23,47.77,48.6,47.55,48.33,59616
2020-10-26,47.65,47.94,47.02,47.89,116986
2020-10-27,47.89,48.16,46.4,46.4,148972
2020-10-28,45.56,46.06,44.8,44.98,152552
