date,open,high,low,close,volume
2020-07-27,24.91,25.0,24.54,24.7,67914
2020-07-28,24.62,24.62,24.35,24.4,82995
2020-07-29,24.47,24.88,24.36,24.86,33754
2020-07-30,24.42,24.63,24.18,24.46,33525
2020-07-31,24.35,24.35,23.86,24.23,50438
2020-08-03,24.15,24.54,24.13,24.39,45625
2020-08-04,24.2,24.32,23.96,24.01,71853
2020-08-05,24.34,24.51,24.22,24.32,77852
2020-08-06,24.31,24.46,24.19,24.42,63542
2020-08-07,24.28,25.09,24.24,25.08,37482
2020-08-10,25.17,25.44,24.93,25.28,78570
2020-08-11,25.77,25.86,24.88,24.96,145269
2020-08-12,25.19,25.28,24.76,24.77,53912
2020-08-13,24.39,24.77,24.33,24.64,54834
2020-08-14,24.59,24.74,24.4,24.44,51907
2020-08-17,24.33,24.33,23.75,23.91,41202
2020-08-18,24.01,24.26,24.01,24.05,61272
2020-08-19,24.1,24.2,23.72,23.77,42572
2020-08-20,23.57,23.84,23.49,23.63,49380
2020-08-21,23.64,23.84,23.55,23.62,54002
2020-08-24,23.76,24.16,23.72,24.16,51619
2020-08-25,24.34,24.34,24.07,24.15,114025
2020-08-26,24.09,24.35,23.89,24.15,92873
2020-08-27,24.29,24.98,24.29,24.83,37525
2020-08-28,24.76,24.83,24.51,24.73,23982
2020-08-31,24.43,24.47,24.21,24.41,40995
2020-09-01,24.25,24.53,24.24,24.53,24093
2020-09-02,24.43,25.09,24.43,24.99,50406
2020-09-03,25.26,25.65,24.53,24.71,40578
2020-09-04,25.16,25.32,24.51,24.7,52141
2020-09-08,24.45,24.68,24.14,24.46,70942
2020-09-09,24.62,25.16,24.62,24.94,64271
2020-09-10,24.91,25.04,24.5,24.5,50555
2020-09-11,24.58,24.83,24.48,24.68,48849
2020-09-14,24.82,25.29,24.81,25.11,65835
2020-09-15,25.26,25.3,24.86,24.9,39906
2020-09-16,25.1,25.45,25.1,25.2,52632
2020-09-17,24.88,25.16,24.73,25.01,70764
2020-09-18,25.04,25.28,24.61,24.64,55680
2020-09-21,24.19,24.28,23.47,24.02,90353
2020-09-22,23.98,24.32,23.98,24.15,34251
2020-09-23,24.28,24.33,23.42,23.42,76180
2020-09-24,23.45,23.95,23.17,23.5,83295
