date,open,high,low,close,volume
2020-07-27,261.79,265.86,261.79,263.09,17322
2020-07-28,262.83,265.56,259.94,260.54,27679
2020-07-29,262.71,267.48,262.71,265.6,13290
2020-07-30,264.28,265.93,262.72,265.37,21782
2020-07-31,266.51,268.71,263.54,265.04,28495
2020-08-03,269.35,275.17,268.15,274.81,33404
2020-08-04,271.15,272.4,269.38,270.56,20539
2020-08-05,272.73,272.76,269.42,270.5,21759
2020-08-06,271.66,271.72,266.74,269.97,10923
2020-08-07,272.72,273.63,267.38,269.49,10289
2020-08-10,268.76,268.76,261.92,262.31,24976
2020-08-11,258.93,263.72,258.2,260.22,39981
2020-08-12,262.18,270.24,262.18,268.7,10475
2020-08-13,268.8,272.37,268.8,271.06,8715
2020-08-14,271.74,272.26,266.89,268.46,12342
2020-08-17,271.94,272.84,270.43,271.03,8853
2020-08-18,271.86,273.0,270.45,271.3,19039
2020-08-19,271.65,273.53,270.2,270.94,11176
2020-08-20,272.31,273.43,271.22,271.73,6647
2020-08-21,269.79,271.0,266.64,267.99,16855
2020-08-24,268.94,271.08,264.69,265.57,14278
2020-08-25,265.9,270.42,265.9,270.42,15790
2020-08-26,268.3,271.43,267.37,269.95,9146
2020-08-27,267.73,271.15,265.96,270.21,16097
2020-08-28,268.37,268.88,266.43,267.53,17323
2020-08-31,268.36,280.78,268.36,280.14,20109
2020-09-01,280.54,280.54,274.7,277.26,20643
2020-09-02,278.94,284.42,275.09,284.12,43895
2020-09-03,275.2,275.35,261.25,263.18,37473
2020-09-04,262.57,262.59,252.21,259.83,17882
2020-09-08,255.38,262.25,255.38,258.93,16799
2020-09-09,263.28,272.67,263.28,268.56,17366
2020-09-10,268.82,274.24,267.92,271.42,22238
2020-09-11,274.06,274.06,267.45,268.34,23859
2020-09-14,272.23,274.44,270.19,274.36,26734
2020-09-15,276.26,281.07,276.26,280.52,19649
2020-09-16,282.45,283.32,276.8,277.28,12814
2020-09-17,272.89,272.9,267.59,270.55,21090
2020-09-18,274.08,278.42,271.31,273.9,16199
2020-09-21,271.85,273.36,266.16,272.92,18797
2020-09-22,270.0,273.78,266.88,272.87,29814
2020-09-23,270.01,271.27,263.38,264.53,32606
2020-09-24,262.85,265.1,258.24,259.87,27885
2020-09-25,258.55,265.98,257.8,265.67,16323
2020-09-28,269.22,272.21,267.53,268.54,8252
2020-09-29,271.9,272.81,269.55,269.66,16165
2020-09-30,269.46,273.5,268.89,271.07,11762
2020-10-01,274.38,276.42,270.59,271.43,28509
2020-10-02,269.98,271.98,266.63,269.84,28843
2020-10-05,271.26,283.77,271.26,283.39,33712
2020-10-06,284.95,290.59,282.89,286.45,52492
2020-10-07,289.56,290.19,287.4,288.66,32994
2020-10-08,289.95,289.95,285.38,287.18,31692
2020-10-09,288.18,294.23,288.18,293.81,21462
2020-10-12,295.65,297.58,293.99,297.25,33346
2020-10-13,295.54,298.68,294.7,295.02,36847
2020-10-14,294.44,294.44,283.04,283.87,34760
2020-10-15,281.07,287.49,278.55,287.13,39588
2020-10-16,289.38,291.31,287.1,287.9,18695
2020-10-19,289.05,290.37,280.37,281.91,26131
2020-10-20,282.61,287.55,281.17,283.29,26949
2020-10-21,283.82,285.21,276.37,279.51,22862
2020-10-22,280.86,282.4,274.15,275.16,41954
2020-10-23,275.73,278.44,273.62,277.94,31060
2020-10-26,275.44,278.15,274.62,275.96,26656
2020-10-27,278.61,282.4,277.64,281.79,40835
2020-10-28,276.68,279.71,272.94,275.88,42256
2020-10-29,275.02,275.02,269.53,271.85,25712
2020-10-30,270.33,272.04,261.45,268.22,28700
2020-11-02,267.99,272.08,263.36,267.47,20380
2020-11-03,268.37,275.18,268.36,273.68,17478
2020-11-04,280.05,289.29,279.84,285.73,18880
2020-11-05,291.2,291.63,286.41,290.95,15944
2020-11-06,292.1,294.69,290.7,292.08,9898
2020-11-09,298.76,298.76,282.55,282.55,29660
2020-11-10,282.9,284.67,269.38,275.1,18149
2020-11-11,280.16,282.41,277.11,281.23,28319
2020-11-12,284.54,287.49,282.96,285.45,19479
2020-11-13,287.56,290.06,285.01,287.11,11937
2020-11-16,288.03,289.36,284.82,287.95,14798
2020-11-17,283.73,284.37,282.2,283.07,10919
2020-11-18,282.39,282.98,277.19,277.56,13562
2020-11-19,278.3,282.95,275.29,277.44,17593
2020-11-20,278.27,282.67,277.88,281.0,16099
2020-11-23,281.08,281.08,270.4,272.05,12678
2020-11-24,267.42,268.71,263.59,263.99,26627
2020-11-25,265.38,266.39,260.42,265.6,14736
2020-11-27,269.5,273.92,268.59,273.89,11975
2020-11-30,275.45,275.45,268.45,271.32,26879
2020-12-01,270.94,270.94,267.79,268.2,14423
2020-12-02,265.41,272.18,265.41,271.71,17575
2020-12-03,268.86,272.29,267.42,268.15,14409
2020-12-04,268.82,269.46,267.09,267.65,10885
2020-12-07,267.44,269.19,263.93,264.47,15899
2020-12-08,263.78,264.85,261.84,263.43,78616
2020-12-09,263.78,263.78,256.42,257.86,53814
2020-12-10,257.17,266.23,256.28,263.0,35516
2020-12-11,260.23,261.42,259.27,260.44,25182
2020-12-14,261.4,267.25,261.15,261.34,33871
2020-12-15,261.77,264.71,261.77,263.4,20817
2020-12-16,262.76,266.95,260.44,263.9,32999
2020-12-17,267.66,272.65,267.35,269.69,34618
2020-12-18,267.61,274.21,265.82,273.77,28146
2020-12-21,270.27,272.02,262.58,271.95,23674
2020-12-22,271.85,279.13,271.63,278.86,23558
2020-12-23,280.92,281.5,275.8,277.53,33794
2020-12-24,279.24,280.4,277.44,278.54,10297
2020-12-28,277.22,277.78,273.48,273.48,10733
2020-12-29,275.38,275.57,271.31,274.49,12675
2020-12-30,277.74,279.11,275.59,275.91,17513
2020-12-31,274.33,279.42,274.33,279.22,40568
2021-01-04,281.02,285.42,276.26,281.58,28380
2021-01-05,280.64,287.18,280.14,287.0,42365
2021-01-06,284.77,290.47,283.54,290.31,28536
2021-01-07,293.36,300.69,293.36,299.94,22589
2021-01-08,302.67,307.59,300.43,303.31,34149
2021-01-11,302.17,302.26,297.44,298.23,29204
2021-01-12,298.3,298.39,293.38,294.36,33142
2021-01-13,294.47,296.01,291.55,293.87,32999
2021-01-14,294.05,296.68,292.8,294.26,28451
2021-01-15,295.58,295.6,291.02,294.66,32556
2021-01-19,299.82,299.82,293.65,295.93,24348
2021-01-20,295.91,302.32,294.87,301.33,30754
2021-01-21,297.27,297.34,294.0,295.82,46449
2021-01-22,295.76,296.83,292.75,296.78,31521
2021-01-25,300.12,304.87,294.33,296.08,27525
2021-01-26,295.26,296.94,292.39,295.83,37418
2021-01-27,290.65,293.97,286.61,288.9,62599
2021-01-28,290.24,297.96,290.24,295.18,77800
2021-01-29,295.26,302.41,293.35,295.47,50155
2021-02-01,294.87,299.09,290.83,293.57,40432
2021-02-02,295.34,298.6,290.85,290.97,27969
2021-02-03,291.73,292.44,284.36,287.91,37577
2021-02-04,288.61,291.5,285.54,286.51,51702
2021-02-05,288.09,290.05,286.14,287.75,23918
2021-02-08,288.86,293.15,288.86,290.07,22697
2021-02-09,292.59,292.59,284.8,285.94,35426
2021-02-10,285.98,290.63,285.98,288.47,20275
2021-02-11,290.67,291.53,284.79,287.26,40435
2021-02-12,286.13,290.24,285.85,290.18,27449
2021-02-16,290.25,292.43,289.14,291.55,42665
2021-02-17,290.77,292.07,287.02,289.46,38070
2021-02-18,296.38,298.45,287.33,292.39,43984
2021-02-19,294.21,294.21,275.97,277.62,65120
2021-02-22,276.16,276.16,268.28,269.16,33271
2021-02-23,263.84,271.72,263.55,270.77,56416
2021-02-24,270.75,276.08,269.15,275.27,45727
2021-02-25,276.22,277.57,271.99,274.26,33875
2021-02-26,275.88,280.06,273.47,277.1,51234
2021-03-01,280.27,281.74,278.22,279.2,34936
2021-03-02,279.44,280.86,273.64,274.69,24407
2021-03-03,272.31,272.31,264.11,264.22,44928
