date,open,high,low,close,volume
2020-07-27,56.42,56.42,55.44,55.9,65636
2020-07-28,56.0,57.03,56.0,56.67,28796
2020-07-29,56.66,56.91,56.27,56.89,55166
2020-07-30,56.22,57.5,55.85,57.14,133811
2020-07-31,56.64,57.42,56.34,57.18,196576
2020-08-03,56.8,57.1,56.46,56.91,127428
2020-08-04,57.01,58.12,56.99,57.9,242818
2020-08-05,58.07,58.13,57.21,57.77,305223
2020-08-06,57.82,58.21,57.48,58.04,129376
2020-08-07,58.14,60.29,58.14,59.8,116889
2020-08-10,60.21,60.43,59.42,59.92,130362
2020-08-11,59.83,59.98,58.31,58.37,95331
2020-08-12,58.63,59.61,58.39,59.17,62881
2020-08-13,58.65,59.25,58.65,59.0,52869
2020-08-14,58.67,59.17,58.48,58.53,23697
2020-08-17,58.61,58.61,58.05,58.11,64493
2020-08-18,58.12,58.32,57.8,57.93,64831
2020-08-19,57.97,58.09,57.56,57.62,50980
2020-08-20,57.54,57.67,57.01,57.12,54164
2020-08-21,57.13,57.73,56.85,57.67,22928
2020-08-24,57.73,58.28,57.2,58.24,44419
2020-08-25,57.77,57.86,56.91,57.11,89070
2020-08-26,56.76,56.78,56.02,56.38,44529
2020-08-27,56.86,56.96,56.38,56.8,37647
2020-08-28,56.5,56.81,56.0,56.8,48519
2020-08-31,56.75,57.68,56.75,57.56,65329
2020-09-01,57.05,57.14,56.31,56.72,74471
2020-09-02,56.7,59.34,56.7,59.24,125891
2020-09-03,59.63,59.89,58.07,58.55,28892
2020-09-04,58.55,58.55,57.35,57.99,47887
2020-09-08,57.88,57.88,56.71,57.2,30793
2020-09-09,57.47,59.06,57.28,58.41,33852
2020-09-10,58.04,58.51,57.18,57.25,51177
2020-09-11,57.2,57.37,56.45,56.96,30304
2020-09-14,57.26,58.22,57.01,57.96,36459
2020-09-15,58.25,59.26,58.16,58.71,42865
2020-09-16,58.67,59.37,58.67,59.08,33501
2020-09-17,58.18,58.33,56.7,56.93,48520
2020-09-18,56.9,57.11,55.46,55.7,30486
2020-09-21,55.66,55.86,54.73,55.51,34708
2020-09-22,55.26,56.39,55.2,55.67,38117
2020-09-23,55.73,55.91,55.06,55.06,82228
2020-09-24,54.86,56.18,54.86,55.88,42772
2020-09-25,55.49,57.12,55.48,57.09,113042
2020-09-28,57.19,57.68,56.97,57.29,103510
2020-09-29,57.58,57.91,56.98,57.21,124526
2020-09-30,57.66,57.97,57.24,57.54,209890
2020-10-01,57.68,58.64,57.68,58.64,258368
2020-10-02,58.28,59.04,57.94,58.75,215381
2020-10-05,58.7,59.6,57.98,59.59,51112
2020-10-06,59.32,60.75,59.13,60.51,140418
2020-10-07,60.57,60.57,59.4,60.06,103223
2020-10-08,60.29,60.57,60.05,60.45,105514
2020-10-09,60.73,60.86,60.24,60.56,105227
2020-10-12,60.71,61.98,60.71,61.3,164882
2020-10-13,61.0,61.15,60.41,60.83,99228
2020-10-14,60.83,60.96,60.04,60.25,89496
2020-10-15,59.99,60.73,59.78,60.15,162001
2020-10-16,60.18,61.25,60.01,60.91,134191
2020-10-19,60.99,61.09,59.53,59.68,186785
2020-10-20,59.96,60.08,59.3,59.6,101014
2020-10-21,59.62,60.02,59.27,59.64,82987
2020-10-22,59.5,59.98,59.23,59.48,118859
2020-10-23,59.87,59.92,59.27,59.52,100210
2020-10-26,58.87,59.77,58.66,59.69,88384
2020-10-27,59.88,60.89,59.54,60.28,249756
2020-10-28,59.53,60.39,58.45,58.56,197919
2020-10-29,57.77,59.58,57.76,58.93,242030
2020-10-30,58.73,58.93,57.8,58.26,137363
2020-11-02,58.84,60.38,58.53,59.78,128352
2020-11-03,60.37,61.65,60.28,60.88,133790
2020-11-04,61.54,62.1,60.49,60.6,140653
2020-11-05,61.3,62.37,61.06,61.46,104002
2020-11-06,61.3,61.72,60.98,61.05,84006
2020-11-09,63.02,63.64,61.1,61.15,182648
2020-11-10,60.86,61.69,60.79,61.4,134843
2020-11-11,61.3,63.0,61.3,62.22,131405
2020-11-12,62.1,62.1,60.95,61.47,127587
2020-11-13,61.92,62.01,61.4,61.72,73311
2020-11-16,62.1,62.3,61.3,62.2,87177
2020-11-17,61.97,62.25,60.43,60.49,88140
2020-11-18,60.78,60.78,58.71,58.76,118601
2020-11-19,58.8,58.8,57.07,57.79,140611
2020-11-20,57.75,58.31,57.49,57.74,154233
2020-11-23,57.76,57.76,56.49,56.96,131238
2020-11-24,56.86,56.86,56.15,56.74,161518
2020-11-25,57.02,57.21,56.16,56.75,119932
2020-11-27,56.77,56.84,55.96,56.31,46097
2020-11-30,56.3,56.58,55.82,56.16,107623
2020-12-01,56.36,57.61,56.33,57.0,130996
2020-12-02,56.91,57.34,56.11,57.22,107308
2020-12-03,56.82,56.94,55.88,56.07,99264
2020-12-04,56.03,56.15,54.5,54.76,91470
2020-12-07,55.01,55.68,54.91,55.5,66353
2020-12-08,55.11,55.55,54.82,55.01,117705
2020-12-09,54.94,55.09,54.23,54.63,79368
2020-12-10,54.84,54.84,54.03,54.34,105133
2020-12-11,54.06,54.32,53.69,54.17,91536
2020-12-14,54.39,55.36,54.16,54.21,91878
2020-12-15,54.44,55.26,54.03,54.98,94495
2020-12-16,55.38,55.73,54.57,54.65,52456
2020-12-17,55.01,56.16,54.89,55.79,101619
2020-12-18,55.94,56.14,54.91,55.06,90405
2020-12-21,54.49,54.6,53.65,54.53,94226
2020-12-22,54.43,54.6,54.08,54.36,55225
2020-12-23,54.71,54.93,53.91,53.91,47240
2020-12-24,54.06,54.25,53.74,54.24,18983
