date,open,high,low,close,volume
2020-07-27,124.48,126.69,122.4,125.615,122812
2020-07-28,125.34,127.5,123.33,123.535,151792
2020-07-29,125.49,128.88,125.1,128.49,99531
2020-07-30,128.54,131.36,125.4,129.07,213713
2020-07-31,131.15,131.86,127.44,129.85,226788
2020-08-03,130.76,136.11,130.56,134.775,214649
2020-08-04,135.505,137.75,133.68,136.74,313350
2020-08-05,153.13,158.34,146.26,146.38,769649
2020-08-06,149.4,155.88,149.36,153.98,267765
2020-08-07,151.65,153.75,143.45,147.22,190918
2020-08-10,147.62,147.76,138.685,139.25,246345
2020-08-11,137.16,142.87,135.04,138.27,153188
2020-08-12,140.095,143.355,137.77,138.96,207595
2020-08-13,140.38,145.43,140.29,143.16,77036
2020-08-14,143.78,143.86,139.995,141.9,111365
2020-08-17,144.39,153.655,143.815,152.49,328238
2020-08-18,151.91,153.18,147.5,150.97,206471
2020-08-19,150.87,152.3,148.75,150.465,181952
2020-08-20,150.015,157.96,150.015,155.975,136144
2020-08-21,156.37,159.06,153.16,155.14,317712
2020-08-24,158.65,158.73,151.155,151.615,205422
2020-08-25,151.7,155.615,149.17,155.04,184859
2020-08-26,156.27,158.39,151.78,153.82,100918
2020-08-27,156.73,161.52,155.55,155.55,185260
2020-08-28,158.845,158.845,154.08,155.96,119730
2020-08-31,156.73,160.71,156.11,159.58,58766
2020-09-01,165.11,170.44,162.31,166.55,200277
2020-09-02,170.19,170.19,158.7,162.89,149840
2020-09-03,156.885,156.885,149.51,152.95,1246613
2020-09-04,149.58,151.99,134.02,146.505,624025
2020-09-08,136.89,146.06,136.89,139.17,206335
2020-09-09,144.85,145.41,139.48,144.22,226081
2020-09-10,146.98,148.5,139.86,141.05,153660
2020-09-11,143.43,143.43,134.26,137.475,285813
2020-09-14,140.1,145.35,139.455,144.41,139247
2020-09-15,146.48,158.42,146.465,154.51,399411
2020-09-16,155.5,159.0,150.0,151.07,198048
2020-09-17,146.51,147.27,142.46,145.63,207643
2020-09-18,147.265,149.01,141.66,145.04,400422
2020-09-21,140.435,151.97,139.59,151.05,320241
2020-09-22,152.23,156.31,148.905,155.75,201774
2020-09-23,155.87,157.925,147.925,149.505,143953
2020-09-24,150.82,155.83,148.29,152.39,210252
2020-09-25,153.31,158.89,152.045,157.79,144985
2020-09-28,160.18,164.29,158.41,160.66,220195
2020-09-29,163.92,167.45,163.435,164.81,198536
2020-09-30,164.92,166.06,161.34,162.78,116198
2020-10-01,166.22,168.55,164.665,168.55,197092
2020-10-02,164.0,171.2,163.98,169.61,424507
2020-10-05,171.8,181.89,171.8,180.91,848330
2020-10-06,180.35,182.21,172.62,175.34,407166
2020-10-07,180.49,182.74,179.1,180.235,206721
2020-10-08,183.04,185.33,181.8,183.51,284278
2020-10-09,184.9,188.71,183.87,187.29,253053
2020-10-12,190.68,191.77,184.33,185.09,273519
2020-10-13,186.19,191.29,186.13,190.54,179568
2020-10-14,191.75,193.39,185.14,187.28,207509
2020-10-15,181.87,188.67,181.36,188.67,231384
2020-10-16,191.42,192.8,184.7,186.36,176875
2020-10-19,187.85,191.34,185.95,187.02,132152
2020-10-20,187.35,189.59,184.75,185.89,162299
2020-10-21,183.715,184.65,175.62,177.74,361280
2020-10-22,178.72,181.93,173.61,175.9,247170
2020-10-23,177.57,177.57,173.42,176.69,122202
2020-10-26,175.0,176.45,166.77,169.85,274310
2020-10-27,175.5,176.26,169.37,170.99,257506
2020-10-28,166.99,168.88,164.45,167.05,158348
2020-10-29,170.42,172.0,168.25,169.87,149326
2020-10-30,167.23,167.275,152.5,154.78,535353
2020-11-02,158.01,161.17,152.125,155.14,550845
2020-11-03,153.295,161.02,151.38,158.35,323478
2020-11-04,166.61,171.265,162.36,171.25,319719
2020-11-05,176.97,177.25,172.66,175.54,428279
2020-11-06,184.68,201.27,183.22,198.23,1124519
2020-11-09,190.82,196.94,182.05,184.02,500229
2020-11-10,182.95,183.4,167.26,172.1,606370
2020-11-11,179.11,183.76,177.925,183.32,308532
2020-11-12,184.19,184.95,177.03,178.46,355206
2020-11-13,180.63,180.74,175.555,177.29,944322
2020-11-16,175.19,179.15,173.2,179.15,337871
2020-11-17,180.83,190.67,180.565,187.94,340631
2020-11-18,187.49,187.49,182.39,185.68,179593
2020-11-19,190.53,194.0,185.74,191.75,371693
2020-11-20,193.58,200.92,191.85,196.13,296275
2020-11-23,200.14,209.3,199.46,207.85,583198
2020-11-24,207.955,207.99,199.87,203.11,402922
2020-11-25,207.42,214.39,204.69,212.55,391884
2020-11-27,214.14,214.14,206.4,212.38,144798
2020-11-30,212.99,213.5,200.37,210.825,412052
2020-12-01,212.435,212.86,200.555,202.96,564195
2020-12-02,200.13,203.865,195.28,202.07,638262
2020-12-03,206.685,208.555,204.19,205.52,222470
2020-12-04,206.39,209.72,204.06,207.93,238705
2020-12-07,209.68,213.62,208.415,212.55,158317
2020-12-08,212.795,213.79,208.31,212.91,126777
2020-12-09,213.655,220.5,205.07,206.71,342067
2020-12-10,205.46,217.61,203.81,217.205,206241
2020-12-11,217.9,222.11,213.4,216.49,155681
2020-12-14,218.0,220.245,214.58,215.81,212965
2020-12-15,218.415,221.69,216.74,219.9,145797
2020-12-16,223.76,227.9,220.29,227.08,254444
2020-12-17,230.24,237.09,227.91,230.595,264694
2020-12-18,234.96,236.34,231.21,235.62,175372
2020-12-21,236.09,241.65,232.27,233.525,362537
2020-12-22,236.5,243.3,236.06,241.56,334382
2020-12-23,240.31,240.66,230.74,230.8,1126960
2020-12-24,234.57,236.0,226.01,228.47,692768
2020-12-28,232.08,232.81,219.72,223.26,567684
2020-12-29,224.26,224.46,208.91,214.0,805947
2020-12-30,215.67,221.47,214.25,221.01,259011
