date,open,high,low,close,volume
2020-07-27,126.45,128.71,125.41,128.05,33040
2020-07-28,128.61,129.73,127.33,128.05,49446
2020-07-29,129.59,133.39,129.59,133.15,59131
2020-07-30,130.72,132.41,128.87,131.93,36207
2020-07-31,131.07,131.07,127.26,128.77,46277
2020-08-03,128.76,131.98,128.7,129.56,90385
2020-08-04,126.83,128.13,123.63,124.58,121448
2020-08-05,126.6,129.64,126.02,127.5,90013
2020-08-06,127.03,127.37,125.78,126.91,86860
2020-08-07,126.83,133.02,126.83,133.02,98206
2020-08-10,132.83,132.97,131.61,132.0,41964
2020-08-11,132.81,133.91,130.17,131.81,36406
2020-08-12,133.3,133.36,131.34,132.29,45869
2020-08-13,131.43,132.22,130.64,131.61,16133
2020-08-14,130.96,131.72,130.18,131.12,22648
2020-08-17,131.21,134.04,131.21,132.17,36014
2020-08-18,132.45,133.51,132.31,132.42,45501
2020-08-19,132.82,133.22,130.57,130.96,24951
2020-08-20,130.42,131.42,129.87,130.59,96808
2020-08-21,130.32,130.5,128.45,129.96,45383
2020-08-24,130.36,133.01,129.92,130.5,22666
2020-08-25,131.0,132.53,130.58,131.3,48429
2020-08-26,130.25,131.38,129.6,130.5,23572
2020-08-27,130.42,134.8,130.42,134.21,88188
2020-08-28,133.95,135.21,133.12,135.18,35177
2020-08-31,134.75,135.54,134.13,134.57,35679
2020-09-01,133.8,134.0,133.04,133.98,25641
2020-09-02,133.27,136.7,132.97,136.45,37171
2020-09-03,136.6,136.83,133.39,134.13,82381
2020-09-04,134.81,135.24,130.83,133.49,17547
2020-09-08,131.6,133.92,131.22,132.03,29508
2020-09-09,133.49,134.92,132.73,133.66,72879
2020-09-10,134.09,135.34,132.37,132.37,38367
2020-09-11,133.38,133.87,132.31,132.97,37961
2020-09-14,133.49,135.02,133.2,134.19,30837
2020-09-15,135.1,137.87,134.72,137.83,89124
2020-09-16,138.08,140.96,138.08,139.24,81734
2020-09-17,137.77,139.48,135.99,136.36,40521
2020-09-18,136.28,136.42,130.39,132.54,41102
2020-09-21,129.65,129.65,126.02,127.75,67860
2020-09-22,127.74,129.89,127.17,129.27,76909
2020-09-23,129.16,129.48,127.37,127.52,28246
2020-09-24,124.71,126.94,123.22,126.03,40597
2020-09-25,125.24,129.68,125.24,128.83,26115
2020-09-28,130.73,131.69,129.76,130.01,30978
2020-09-29,130.57,130.57,125.97,127.58,41212
2020-09-30,127.95,131.77,127.88,130.45,41969
2020-10-01,131.32,132.65,129.9,131.27,109401
2020-10-02,129.4,132.75,128.85,131.62,67062
2020-10-05,133.49,135.48,133.36,135.39,44428
2020-10-06,134.97,137.88,134.73,134.84,41105
2020-10-07,137.3,139.12,136.73,138.54,64697
2020-10-08,139.57,140.9,139.07,140.17,39630
2020-10-09,140.8,143.18,140.69,141.42,64796
2020-10-12,142.43,143.02,141.31,142.51,63103
2020-10-13,141.17,141.17,138.16,138.42,83692
2020-10-14,139.12,142.22,139.06,139.31,94322
2020-10-15,136.68,141.11,135.59,141.01,68065
2020-10-16,141.44,142.69,140.29,140.47,73993
2020-10-19,141.04,141.87,135.15,135.78,46898
