date,open,high,low,close,volume
2020-07-27,136.36,139.2,136.36,139.08,32959
2020-07-28,139.18,139.67,137.98,138.23,53213
2020-07-29,138.75,140.26,138.34,139.77,26354
2020-07-30,138.56,141.49,138.45,141.06,45419
2020-07-31,141.16,143.69,140.69,143.56,69620
2020-08-03,143.64,147.08,143.64,146.27,76205
2020-08-04,145.95,147.52,145.14,147.33,61053
2020-08-05,147.89,149.91,147.54,149.34,95058
2020-08-06,150.49,155.23,149.97,152.82,131333
2020-08-07,153.31,153.31,149.13,150.4,53563
2020-08-10,151.07,151.07,148.87,149.54,57296
2020-08-11,149.76,150.6,148.32,148.56,52856
2020-08-12,149.0,152.28,148.71,150.9,28515
2020-08-13,150.43,151.27,149.67,150.32,53088
2020-08-14,150.27,150.27,147.45,148.66,118583
2020-08-17,149.54,150.11,148.55,148.99,83767
2020-08-18,149.58,151.97,148.9,151.65,37099
2020-08-19,151.98,152.25,149.94,150.12,40684
2020-08-20,148.99,150.4,148.99,150.12,127632
2020-08-21,150.33,150.38,148.81,149.89,28132
2020-08-24,150.85,151.1,147.92,148.3,83488
2020-08-25,149.41,150.37,148.39,150.14,46057
2020-08-26,149.74,151.8,148.84,151.21,46119
2020-08-27,151.19,152.29,150.11,151.04,28631
2020-08-28,151.04,151.55,150.19,151.5,49388
2020-08-31,151.64,152.96,150.87,151.6,47944
2020-09-01,152.23,153.48,151.48,153.43,43936
2020-09-02,153.61,156.84,153.25,156.53,64133
2020-09-03,155.94,155.94,149.02,150.29,83911
2020-09-04,150.72,151.63,147.07,148.87,49067
2020-09-08,147.75,147.75,144.46,145.43,88884
2020-09-09,147.3,152.03,147.3,150.45,75002
2020-09-10,151.08,152.81,148.97,149.77,74705
2020-09-11,150.32,151.11,149.45,150.28,25079
2020-09-14,151.21,153.31,151.21,152.27,37840
2020-09-15,153.4,155.11,153.14,153.59,22945
2020-09-16,154.51,155.18,152.58,152.61,48369
2020-09-17,150.9,151.94,149.64,151.94,41781
2020-09-18,151.16,153.26,150.88,152.35,31264
